Time,L Foot Inversion,L Ankle Flexion,SSLeftPF,SSLeftINV,SSLeftDF,SSLeftEVR
1.23,-6.121511,10.180745,554.8815945711592,775.4879276154571,639.6225049575871,713.1584959095193
1.235,-5.821106,9.957634,555.0397210179076,777.5962802387685,636.5653936537857,710.3649286836318
1.24,-5.546252,9.682486,555.3348488402656,779.0150802959337,634.0803731832696,708.2935049702903
1.245,-5.303244,9.359799,555.7143764321632,780.009081131856,631.9477895716544,706.6669581478719
1.25,-5.093063,8.998017,556.0939040240609,781.0030819677783,629.8152059600394,705.0404113254538
1.255,-4.909768,8.608486,556.4734316159584,781.9970828037004,627.6826223484245,703.4138645030356
1.26,-4.740935,8.203502,556.852959207856,782.9910836396227,625.5500387368095,701.7873176806173
1.265,-4.569935,7.793769,557.2,783.9,623.6,700.3
1.27,-4.379069,7.385611,557.2,783.9,623.6,700.3
1.275,-4.152851,6.978361,557.2,783.9,623.6,700.3
1.28,-3.880983,6.562412,557.2,783.9,623.6,700.3
1.285,-3.560474,6.118721,557.2,783.9,623.6,700.3
1.29,-3.19608,5.620655,557.2,783.9,623.6,700.3
1.295,-2.798937,5.038256,557.2,783.9,623.6,700.3
1.3,-2.384405,4.343508,557.2,783.9,623.6,700.3
1.305,-1.970245,3.515145,557.2,783.9,623.6,700.3
1.31,-1.5750440000000001,2.543071,557.2,783.9,623.6,700.3
1.315,-1.216184,1.432883,557.2,783.9,623.6,700.3
1.32,-0.907403,0.209137,561.2016857306089,785.4117479426744,617.226944947549,696.8318723668057
1.325,-0.65689,-1.085843,568.0845310999549,788.0119339710941,606.2653763963683,690.8667397133725
1.33,-0.466621,-2.399703,570.7,789,602.1,688.6
1.335,-0.332938,-3.683265,570.7,789,602.1,688.6
1.34,-0.247961,-4.905397,570.7,789,602.1,688.6
1.345,-0.201231,-6.063628,570.7,789,602.1,688.6
1.35,-0.180659,-7.183849,581.4925495306579,788.4889321949271,592.4799001398036,684.6317088076689
