Time,R Foot Inversion,R Ankle Flexion,SSRightPF,SSRightINV,SSRightDF,SSRightEVR
4.405,8.400475,-21.793519,467.4,573.9,600.1,624.2
4.41,8.191221,-21.674489,467.4,573.9,600.1,624.2
4.415,7.997916,-21.526422,467.4,573.9,600.1,624.2
4.42,7.82728,-21.349357,467.4,573.9,600.1,624.2
4.425,7.67911,-21.138252,467.4,573.9,600.1,624.2
4.43,7.547192,-20.886182,467.182087247815,573.5368120796917,592.0856532251959,624.4663378082262
4.435,7.421133,-20.588515,466.70669828476434,572.7444971412739,574.6019035841111,625.0473687630657
4.44,7.2893,-20.24756,466.5,572.4,567,625.3
4.445,7.142928,-19.877098,466.5,572.4,567,625.3
4.45,6.981546,-19.505953,466.5,572.4,567,625.3
4.455,6.820031,-19.179437,466.5,572.4,567,625.3
4.46,6.693699,-18.956376,469.01910325558157,570.9638757141076,561.3732179618319,625.9592045902456
4.465,6.648251,-18.897014,474.61708913558743,567.7725005862538,548.8693055756505,627.4240980915556
4.47,6.709744,-19.04168,477.2,566.3,543.1,628.1
4.475,6.861056,-19.3935,477.2,566.3,543.1,628.1
4.48,7.049807,-19.917956,477.2,566.3,543.1,628.1
4.485,7.213917,-20.554769,477.2,566.3,543.1,628.1
4.49,7.300957,-21.231957,479.71122541156603,562.5918353735753,539.8846926973407,628.2173469818489
4.495,7.277229,-21.879289,485.6313199662303,553.8500135078094,532.3047585479108,628.4939869143099
4.5,7.132123,-22.441608,487.9,550.5,529.4,628.6
4.505,6.880051,-22.890187,487.9,550.5,529.4,628.6
4.51,6.554972,-23.22648,487.9,550.5,529.4,628.6
4.515,6.194394,-23.474457,487.9,550.5,529.4,628.6
4.52,5.823206,-23.666624,487.9,550.5,529.4,628.6
4.525,5.448925,-23.83187,487.9,550.5,529.4,628.6
4.53,5.06675,-23.988001,487.9,550.5,529.4,628.6
4.535,4.667187,-24.138771,487.9,550.5,529.4,628.6
4.54,4.242381,-24.275427,487.9,550.5,529.4,628.6
4.545,3.789848,-24.381807,487.9,550.5,529.4,628.6
4.55,3.313368,-24.440856,487.9,550.5,529.4,628.6
4.555,2.821635,-24.440213,487.9,550.5,529.4,628.6
4.56,2.325658,-24.375255,487.9,550.5,529.4,628.6
4.565,1.835969,-24.249205,487.9,550.5,529.4,628.6
4.57,1.360541,-24.071095,487.9,550.5,529.4,628.6
4.575,0.903978,-23.852943,487.9,550.5,529.4,628.6
4.58,0.467973,-23.607303,488.1066531774066,548.1441537775646,529.1726815048527,629.3852820741452
4.585,0.052591,-23.345742,488.58612823942286,542.6781380705788,528.6452589366347,631.207287309807
4.59,-0.342327,-23.078212,483.1,534.9,535.2,633.4
4.595,-0.716199,-22.813022,483.1,534.9,535.2,633.4
4.6,-1.067496,-22.556939,483.1,534.9,535.2,633.4
4.605,-1.39425,-22.315094,483.1,534.9,535.2,633.4
4.61,-1.694965,-22.090617,482.7484304323202,534.6773392738028,535.6980568875465,633.4644544207413
4.615,-1.969428,-21.884265,481.9566041155371,534.1758492731735,536.8198108363225,633.6096225788182
