Time,R Foot Inversion,R Ankle Flexion,SSRightPF,SSRightINV,SSRightDF,SSRightEVR
2.255,13.510772,-12.723933,485.8,656.8,566.7,651
2.26,13.197084,-12.889537,485.8,656.8,566.7,651
2.265,12.838085,-13.171459,485.8,656.8,566.7,651
2.27,12.444916,-13.586784,485.7948414694628,656.7509939598967,566.6761417962656,651.0186996731973
2.275,12.034542,-14.138605,485.6846336229123,655.704019417667,566.1664305059695,651.4182031169429
2.28,11.627658,-14.811915,485.5744257763618,654.6570448754372,565.6567192156734,651.8177065606884
2.285,11.245698,-15.572416,485.4642179298113,653.6100703332074,565.1470079253774,652.217210004434
2.29,10.90785,-16.369392,485.3540100832608,652.5630957909775,564.6372966350812,652.6167134481796
2.295,10.628856,-17.142735,485.2438022367103,651.5161212487478,564.1275853447851,653.0162168919252
2.3,10.418041,-17.832726,485.13359439015977,650.469146706518,563.617874054489,653.4157203356707
2.305,10.279617,-18.389993,485.02338654360926,649.4221721642882,563.1081627641929,653.8152237794163
2.31,10.213935,-18.78293,488.04442017456563,650.7765747332572,557.9440879243821,653.5194474781792
2.315,10.218991,-19.000906,491.9088979014307,652.7778221275266,551.5262945565526,653.0363877623212
2.32,10.291308,-19.053198,495.77337562829575,654.779069521796,545.108501188723,652.553328046463
2.325,10.425426999999999,-18.964815,496.2,655,544.4,652.5
2.33,10.611971,-18.77093,496.2,655,544.4,652.5
2.335,10.835167,-18.511216,495.83158475982736,656.9425530845465,543.3617388686044,651.2272928066764
2.34,11.071435,-18.224726,495.28464863198826,659.8263981222439,541.8203734174214,649.337877092323
2.345,11.290567,-17.945357,495.1,660.8,541.3,648.7
2.35,11.460124,-17.698016,495.1,660.8,541.3,648.7
2.355,11.552195,-17.495983,495.1,660.8,541.3,648.7
2.36,11.550409,-17.340252,495.1,660.8,541.3,648.7
2.365,11.454623,-17.221427,495.1,660.8,541.3,648.7
2.37,11.281527,-17.124061,495.1,660.8,541.3,648.7
2.375,11.060939,-17.032494,495.1,660.8,541.3,648.7
2.38,10.829105,-16.936487,495.1,660.8,541.3,648.7
2.385,10.62106,-16.834754,495.1,660.8,541.3,648.7
2.39,10.464193,-16.735083,494.8235824597844,660.8939819636732,541.6151159958457,648.6170747379354
2.395,10.374583,-16.651066,493.2566844240554,661.4267272958211,543.401379756577,648.1470053272167
2.4,10.356705,-16.59679,491.6897863883264,661.959472627969,545.1876435173078,647.676935916498
2.405,10.405893,-16.581428,490.1228883525975,662.4922179601168,546.9739072780388,647.2068665057793
2.41,10.512067,-16.605498,490.1,662.5,547,647.2
2.415,10.663178,-16.65975,490.1,662.5,547,647.2
2.42,10.84748,-16.726680000000002,490.1,662.5,547,647.2
2.425,11.054534,-16.783889,490.1,662.5,547,647.2
2.43,11.275383,-16.808158,490.1,662.5,547,647.2
2.435,11.502386,-16.779214,490.1,662.5,547,647.2
2.44,11.729066,-16.682573,490.1,662.5,547,647.2
2.445,11.950052,-16.5112,490.1,662.5,547,647.2
2.45,12.161097,-16.266002,490.1,662.5,547,647.2
2.455,12.359098,-15.955285,489.1538880551485,663.2621457333526,549.1813136506298,645.7545511953658
2.46,12.542101,-15.593391,488.2041686154388,664.0271975042299,551.3709445810717,644.3035909402537
2.465,12.709286,-15.19872,487.2544491757291,664.7922492751071,553.5605755115134,642.8526306851418
2.47,12.860927,-14.791342,484.4,677.3,555.9,635.5
2.475,12.998315,-14.39048,484.4,677.3,555.9,635.5
2.48,13.123619,-14.012272,484.4,677.3,555.9,635.5
2.485,13.239624,-13.668303,484.4,677.3,555.9,635.5
2.49,13.349262,-13.365225,484.4,677.3,555.9,635.5
2.495,13.454878,-13.105409,484.4,677.3,555.9,635.5
2.5,13.55736,-12.888184,484.4,677.3,555.9,635.5
2.505,13.655409,-12.71112,484.4,677.3,555.9,635.5
2.51,13.745396,-12.570912,484.2427441028698,677.6032792301796,556.0684884612109,635.3989069232734
2.515,13.82205,-12.463764,482.99263220642086,680.0142093161883,557.407894064549,634.5952635612706
2.52,13.879921,-12.385359,481.74252030997184,682.4251394021973,558.7472996678873,633.7916201992676
2.525,13.915102,-12.330583,481.46434023290624,682.3099781696054,559.4426390683751,633.8526172379806
2.53,13.92656,-12.2932,481.31122432738294,681.8697699412259,560.0551026904684,634.0248726316943
2.535,13.916627,-12.265706,481.1581084218596,681.4295617128464,560.6675663125616,634.197128025408
2.54,13.890548,-12.239602,481.0049925163363,680.9893534844668,561.2800299346549,634.3693834191217
2.545,13.855332,-12.206129,480.851876610813,680.5491452560873,561.8924935567481,634.5416388128355
2.55,13.818233,-12.157331,480.8,680.4,562.1,634.6
2.555,13.785221,-12.087216,480.8,680.4,562.1,634.6
2.56,13.759794,-11.99278,480.8,680.4,562.1,634.6
2.565,13.742406,-11.874733,480.8,680.4,562.1,634.6
2.57,13.730619,-11.737737,480.722645754717,680.1602018396226,562.4094169811322,634.9713003773585
2.575,13.719858,-11.589919,480.2280344339623,678.626906745283,564.387862264151,637.3454347169811
2.58,13.704467,-11.44156,479.8,677.3,566.1,639.4
2.585,13.678783,-11.303127,479.8,677.3,566.1,639.4
2.59,13.638037,-11.183105,479.8,677.3,566.1,639.4
2.595,13.578967,-11.086144000000001,479.8,677.3,566.1,639.4
2.6,13.500071,-11.011926,479.8,677.3,566.1,639.4
2.605,13.401456,-10.955007,479.8,677.3,566.1,639.4
2.61,13.284356,-10.905638,479.8,677.3,566.1,639.4
2.615,13.150566,-10.851354,479.8,677.3,566.1,639.4
2.62,13.002121,-10.778877,479.8,677.3,566.1,639.4
2.625,12.841322,-10.675948,479.8,677.3,566.1,639.4
2.63,12.671043,-10.532889,479.71663717397416,677.0627365720802,566.247488076815,639.5955820149068
2.635,12.495094,-10.343875,479.3643147165154,676.0599726546976,566.870827809242,640.42218470356
2.64,12.318454,-10.107869,479.0119922590567,675.0572087373151,567.494167541669,641.2487873922131
2.645,12.147255,-9.828968,478.65966980159794,674.0544448199325,568.117507274096,642.0753900808664
2.65,11.988473,-9.515887,478.3073473441392,673.05168090255,568.740847006523,642.9019927695196
2.655,11.849288,-9.180511,477.95502488668046,672.0489169851675,569.36418673895,643.7285954581728
2.66,11.736176,-8.835826,477.6027024292217,671.046153067785,569.987526471377,644.5551981468259
2.665,11.653959,-8.493861,477.250379971763,670.0433891504023,570.610866203804,645.3818008354791
2.67,11.605115,-8.164279,475.26334245263246,665.3094043321659,571.7400568309937,647.831161862572
2.675,11.589582,-7.853887,473.003548025981,659.9528545801031,572.9536501341954,650.5512847835414
2.68,11.605017,-7.566771,471.8,657.1,573.6,652
2.685,11.647315,-7.304537,471.8,657.1,573.6,652
