Time,R Foot Inversion,R Ankle Flexion,SSRightPF,SSRightINV,SSRightDF,SSRightEVR
1.875,-12.009053,-4.511978,473.9,549.4,564.5,642.8
1.88,-12.025043,-4.676931,473.9,549.4,564.5,642.8
1.885,-12.09838,-4.896413,474.0102442936459,549.6309880438296,564.5104994565377,642.8472475544196
1.89,-12.229458,-5.178774,475.3039839605182,552.341680679181,564.6337127581446,643.4017074116507
1.895,-12.413323,-5.528845,476,553.8,564.7,643.7
1.9,-12.639838,-5.946245,476,553.8,564.7,643.7
1.905,-12.894699,-6.424256,476,553.8,564.7,643.7
1.91,-13.161379,-6.949738,476,553.8,564.7,643.7
1.915,-13.423787,-7.504219,476.01896699491397,553.6879223027811,564.5974058002382,643.7836272048479
1.92,-13.669116,-8.06597,477.26713667352027,546.3123742019258,557.8459425386859,649.2869207877939
1.925,-13.890056,-8.612582,478.2,540.8,552.8,653.4
1.93,-14.085596,-9.123544,478.2,540.8,552.8,653.4
1.935,-14.25997,-9.582344,478.2,540.8,552.8,653.4
1.94,-14.420054,-9.977796,478.2,540.8,552.8,653.4
1.945,-14.572153,-10.304423,478.2,540.8,552.8,653.4
1.95,-14.719451,-10.561959,478.2,540.8,552.8,653.4
1.955,-14.861035,-10.754151,478.2,540.8,552.8,653.4
1.96,-14.992691,-10.887145,478.2,540.8,552.8,653.4
1.965,-15.108928,-10.967833,478.2,540.8,552.8,653.4
1.97,-15.205301,-11.002563,478.2,540.8,552.8,653.4
1.975,-15.280108,-10.996518,478.25918799547,540.5998882057919,552.6994743569002,653.4751593593269
1.98,-15.334866,-10.953833,481.82173386183456,528.5550902766546,546.6488012187889,657.9990271261391
1.985,-15.373557,-10.878173,484.5,519.5,542.1,661.4
1.99,-15.401105,-10.773398,484.5,519.5,542.1,661.4
1.995,-15.421833,-10.644011,484.5,519.5,542.1,661.4
2,-15.438516,-10.495338,484.5,519.5,542.1,661.4
2.005,-15.45233,-10.333515,484.15017781961535,518.9639088664235,542.2680963723926,661.581725807992
2.01,-15.463624,-10.165362,479.7440957721114,512.2117311832357,544.3853046289854,663.8705995989031
2.015,-15.473151,-9.998047,476.8,507.7,545.8,665.4
2.02,-15.483283,-9.838434,476.8,507.7,545.8,665.4
2.025,-15.498643,-9.692196,476.8,507.7,545.8,665.4
2.03,-15.525654,-9.562985,476.8,507.7,545.8,665.4
2.035,-15.570832,-9.452018,476.7556245643014,507.6542378319358,545.8540825622576,665.4055469294623
2.04,-15.638223,-9.358139,472.9979715833532,503.779158195333,550.4337221327883,665.8752535520808
2.045,-15.726824,-9.278237,470.4,501.1,553.6,666.2
2.05,-15.829029,-9.207781,470.4,501.1,553.6,666.2
2.055,-15.930863,-9.141364,470.4,501.1,553.6,666.2
2.06,-16.014256,-9.073318,470.4,501.1,553.6,666.2
2.065,-16.060967,-8.998508,470.4,501.1,553.6,666.2
2.07,-16.057153,-8.913179,470.4,501.1,553.6,666.2
2.075,-15.997299,-8.815544,470.4,501.1,553.6,666.2
2.08,-15.886277,-8.705814,470.4,501.1,553.6,666.2
2.085,-15.738705,-8.585698,470.4,501.1,553.6,666.2
2.09,-15.575579,-8.457739,470.4,501.1,553.6,666.2
2.095,-15.419087,-8.324878,470.37209628326485,501.0794825612242,553.6336485995923,666.2139518583676
2.1,-15.287409,-8.190318,468.38099946943674,499.6154407863506,556.0346771103851,667.2095002652816
2.105,-15.191426,-8.057379,467,498.6,557.7,667.9
2.11,-15.134297,-7.929004,467,498.6,557.7,667.9
2.115,-15.113374,-7.806941,467,498.6,557.7,667.9
2.12,-15.122971,-7.69099,467,498.6,557.7,667.9
2.125,-15.156637,-7.578756,467,498.6,557.7,667.9
2.13,-15.208355,-7.466142,465.66936370714666,497.95932326640394,560.016292806078,668.4421110822735
2.135,-15.272739,-7.348506,464.33337748625627,497.3160706415308,562.3418984498502,668.9864017648586
2.14,-15.344715,-7.222154,464.3,497.3,562.4,669
2.145,-15.4192,-7.085626,464.3,497.3,562.4,669
2.15,-15.491102,-6.9403,464.3,497.3,562.4,669
2.155,-15.555737,-6.790038,464.223574555271,497.2727051983111,562.6947838582405,669.0436716827023
2.16,-15.609445,-6.640062,463.4106686786184,496.9823816709351,565.8302779539005,669.5081893265037
2.165,-15.650128,-6.495492,462.9,496.8,567.8,669.8
2.17,-15.677415,-6.360044,462.9,496.8,567.8,669.8
2.175,-15.692369,-6.235203,462.9,496.8,567.8,669.8
2.18,-15.696885,-6.119941,462.9,496.8,567.8,669.8
2.185,-15.69308,-6.010904,462.9,496.8,567.8,669.8
2.19,-15.682936,-5.902933,462.9,496.8,567.8,669.8
2.195,-15.668293,-5.789848,462.9,496.8,567.8,669.8
2.2,-15.651054,-5.665395,462.9,496.8,567.8,669.8
2.205,-15.633348,-5.524289,462.9,496.8,567.8,669.8
2.21,-15.61745,-5.363225,462.9,496.8,567.8,669.8
2.215,-15.605423,-5.181676,462.8941001707616,496.80884974385754,567.8442487192876,669.8108163536036
2.22,-15.598633,-4.98232,462.5389466405114,497.34158003923284,570.5079001961642,670.4619311590624
2.225,-15.597421,-4.770867,462.3,497.7,572.3,670.9
2.23,-15.601079,-4.555148,462.3,497.7,572.3,670.9
2.235,-15.60815,-4.343552,462.3,497.7,572.3,670.9
2.24,-15.616919,-4.143126,462.3,497.7,572.3,670.9
2.245,-15.625941,-3.957907,462.29352524626484,497.6896403940237,572.3595677343636,670.9220141626996
2.25,-15.634514,-3.788009,462.0169765141825,497.247162422692,574.9038160695211,671.8622798517796
2.255,-15.642984,-3.629832,461.8,496.9,576.9,672.6
2.26,-15.652809,-3.477263,461.8,496.9,576.9,672.6
2.265,-15.666297,-3.323485,461.8,496.9,576.9,672.6
2.27,-15.68607,-3.162796,461.8,496.9,576.9,672.6
2.275,-15.714372,-2.991993,461.79739092215834,496.9086969261389,576.9252210858028,672.6226120079612
2.28,-15.752436,-2.810971,461.6234784940292,497.4884050199027,578.6063745577178,674.1298530517471
2.285,-15.800059,-2.622454,461.5,497.9,579.8,675.2
2.29,-15.855546,-2.431054,461.5,497.9,579.8,675.2
2.295,-15.915994,-2.242094,461.5,497.9,579.8,675.2
2.3,-15.977825,-2.06063,461.5,497.9,579.8,675.2
2.305,-16.037398,-1.890889,461.5,497.9,579.8,675.2
2.31,-16.091601,-1.736067,461.5,497.9,579.8,675.2
2.315,-16.138387,-1.598298,461.5,497.9,579.8,675.2
2.32,-16.17719,-1.478701,461.5,497.9,579.8,675.2
2.325,-16.209095,-1.377435,461.5,497.9,579.8,675.2
2.33,-16.236583,-1.293759,461.5,497.9,579.8,675.2
2.335,-16.262767,-1.226058,461.5,497.9,579.8,675.2
2.34,-16.290314,-1.171879,461.5,497.9,579.8,675.2
2.345,-16.320452,-1.127982,461.5,497.9,579.8,675.2
2.35,-16.352519,-1.090451,461.5,497.9,579.8,675.2
2.355,-16.384227,-1.054771,461.5,497.9,579.8,675.2
2.36,-16.412494,-1.01573,461.5,497.9,579.8,675.2
2.365,-16.434415,-0.967037,461.5,497.9,579.8,675.2
2.37,-16.448009,-0.900837,461.5,497.9,579.8,675.2
2.375,-16.452584,-0.807521,461.628645217562,499.5211610863379,584.9852899990187,678.2569030429237
2.38,-16.448779,-0.676266,461.2628137067847,500.84730031290553,587.0888211859881,679.4458554529498
2.385,-16.438422,-0.496478,461,501.8,588.6,680.3
2.39,-16.424334,-0.25982,461,501.8,588.6,680.3
2.395,-16.410055,0.03786,460.99732763833316,501.8062355105559,588.6074232268522,680.3029692907409
2.4,-16.399407,0.395305,460.87591627320563,502.0895286958536,588.9446770188733,680.4378708075493
2.405,-16.395792,0.805647,460.75450490807805,502.3728218811512,589.2819308108943,680.5727723243576
2.41,-16.401236,1.257154,460.6330935429505,502.6561150664488,589.6191846029153,680.7076738411661
2.415,-16.415479,1.734621,460.511682177823,502.93940825174644,589.9564383949363,680.8425753579745
2.42,-16.435545,2.221007,460.3902708126954,503.22270143704407,590.2936921869573,680.9774768747828
2.425,-16.456163,2.699088,460.2688594475678,503.50599462234175,590.6309459789783,681.1123783915913
2.43,-16.471039,3.153031,460.1474480824403,503.78928780763937,590.9681997709993,681.2472799083996
2.435,-16.474551,3.569684,460.1,503.9,591.1,681.3
2.44,-16.463208,3.939213,460.1,503.9,591.1,681.3
2.445,-16.436402,4.254845,460.1,503.9,591.1,681.3
2.45,-16.396298,4.511887,460.1,503.9,591.1,681.3
2.455,-16.347094,4.706726,460.06029630863634,504.194941707273,591.2020952063638,681.243280440909
2.46,-16.293985,4.836624,459.65270356642094,507.22277350658743,592.2501908292033,680.661005094887
2.465,-16.242129,4.9007,459.4,509.1,592.9,680.3
2.47,-16.195791,4.901793,459.4,509.1,592.9,680.3
2.475,-16.157775,4.848277,459.4,509.1,592.9,680.3
2.48,-16.129189,4.754691,459.4,509.1,592.9,680.3
2.485,-16.109594,4.640481,459.4,509.1,592.9,680.3
2.49,-16.097477,4.527126,459.4,509.1,592.9,680.3
2.495,-16.090886,4.434859,459.4,509.1,592.9,680.3
2.5,-16.087986,4.380207,459.4,509.1,592.9,680.3
2.505,-16.087448,4.37482,459.4,509.1,592.9,680.3
2.51,-16.088667,4.425266,459.4,509.1,592.9,680.3
2.515,-16.091844,4.533407,459.4,509.1,592.9,680.3
2.52,-16.097871,4.697211,459.53587144539796,511.1380716809694,594.4851668629761,679.1224474732177
2.525,-16.107978,4.911903,459.67702251388187,513.2553377082282,596.1319293286219,677.8991382130237
2.53,-16.123156,5.171176,459.2,518.4,599,674
2.535,-16.143518,5.46809,459.2,518.4,599,674
2.54,-16.167797,5.795413,459.2,518.4,599,674
2.545,-16.193154,6.145407,459.2,518.4,599,674
