Time,L Foot Inversion,L Ankle Flexion,SSLeftPF,SSLeftINV,SSLeftDF,SSLeftEVR
1.36,1.577433,-2.730588,532.8,612.2,573.4,577.1
1.365,1.676815,-2.60956,532.8,612.2,573.4,577.1
1.37,1.750593,-2.490601,532.8,612.2,573.4,577.1
1.375,1.793664,-2.409651,532.8,612.2,573.4,577.1
1.38,1.804679,-2.40382,532.8,612.2,573.4,577.1
1.385,1.787243,-2.502494,532.8,612.2,573.4,577.1
1.39,1.749808,-2.719062,532.818124037531,612.3359302814828,572.7928447427105,576.8553254933311
1.395,1.704428,-3.047885,532.8622430260444,612.6668226953338,571.3148586275088,576.2597191483991
1.4,1.664794,-3.468566,532.906362014558,612.997715109185,569.836872512307,575.664112803467
1.405,1.64384,-3.953911,532.9504810030714,613.3286075230362,568.3588863971053,575.0685064585349
1.41,1.651312,-4.476237,532.994599991585,613.6594999368873,566.8809002819036,574.4729001136029
1.415,1.692181,-5.010572,533,613.7,566.7,574.4
1.42,1.766941,-5.537256,533,613.7,566.7,574.4
1.425,1.873828,-6.04628,533,613.7,566.7,574.4
1.43,2.011181,-6.541815,533.0636554024748,614.877624945782,563.8991622911129,573.0950642492685
1.435,2.178106,-7.042485,533.1298100518127,616.1014859585341,560.9883577202432,571.7388939378405
1.44,2.373752,-7.576133,533.1959647011506,617.3253469712861,558.0775531493736,570.3827236264126
1.445,2.596207,-8.172609,533.2,617.4,557.9,570.3
1.45,2.8408350000000002,-8.857728,533.2,617.4,557.9,570.3
1.455,3.097752,-9.648473,533.2281133746917,617.6811337469165,555.8898937095463,569.5831089453626
1.46,3.34915,-10.548472,533.2844956278019,618.2449562780193,551.8585626121616,568.1453614910506
1.465,3.567839,-11.543759,533.3408778809122,618.8087788091221,547.8272315147766,566.7076140367385
1.47,3.718971,-12.602223,533.3972601340224,619.3726013402248,543.795900417392,565.2698665824265
1.475,3.76687,-13.683272,533.4,619.4,543.6,565.2
