Time,L Foot Inversion,L Ankle Flexion,SSLeftPF,SSLeftINV,SSLeftDF,SSLeftEVR
1.295,-24.143735,-5.997731,536.5,576.5,581.1,621.5
1.3,-24.002369,-5.881232,536.516407253864,576.9429958543275,581.116407253864,621.0241896379446
1.305,-23.863548,-5.765864,536.5386998320471,577.544895465272,581.1386998320471,620.3777048706338
1.31,-23.727409,-5.655544,536.5609924102303,578.1467950762167,581.1609924102303,619.7312201033229
1.315,-23.593674,-5.555122,536.5832849884134,578.7486946871612,581.1832849884134,619.0847353360122
1.32,-23.46173,-5.469748,536.6,579.2,581.2,618.6
1.325,-23.330476,-5.40437,536.6,579.2,581.2,618.6
1.33,-23.19785,-5.363527,536.6,579.2,581.2,618.6
1.335,-23.060185,-5.351412,536.4985029488945,580.1642219855024,580.8193860583544,617.6104037517213
1.34,-22.911766,-5.371903,536.3895288523994,581.1994759022059,580.4107331964977,616.547906310894
1.345,-22.74508,-5.428169,536.2805547559043,582.2347298189094,580.002080334641,615.4854088700667
1.35,-22.552018,-5.521686,536.1956710951754,583.1341960495645,579.5484883311369,614.5051992828903
1.355,-22.325887,-5.651071,536.1790718890618,583.6487714390872,578.9675161171597,613.7582350077766
1.36,-22.063634,-5.811475,536.1624726829481,584.16334682861,578.3865439031823,613.011270732663
1.365,-21.767495,-5.995139,536.1458734768345,584.6779222181327,577.805571689205,612.2643064575493
1.37,-21.44538,-6.193067,536.1292742707208,585.1924976076555,577.2245994752277,611.5173421824356
1.375,-21.109758,-6.39727,536.1126750646072,585.7070729971783,576.6436272612505,610.770377907322
1.38,-20.775285,-6.602825,536.1,586.1,576.2,610.2
1.385,-20.455826,-6.809193,536.1,586.1,576.2,610.2
1.39,-20.161696,-7.02054,536.1,586.1,576.2,610.2
1.395,-19.897929,-7.244999,536.1,586.1,576.2,610.2
1.4,-19.663987,-7.492961,536.1,586.1,576.2,610.2
1.405,-19.454804,-7.774731,536.1,586.1,576.2,610.2
1.41,-19.26261,-8.098226,536.1,586.1,576.2,610.2
1.415,-19.078898,-8.467603,536.1,586.1,576.2,610.2
1.42,-18.896119,-8.883291,536.1492378999051,586.8057432319724,574.9034019691669,609.0839409354854
1.425,-18.70896,-9.343113,536.2152417710962,587.7517987190449,573.1653000278012,607.5878531884871
1.43,-18.515201,-9.843662,536.2812456422872,588.6978542061173,571.4271980864356,606.0917654414889
1.435,-18.316145,-10.381414,536.3472495134783,589.6439096931897,569.6890961450699,604.5956776944906
1.44,-18.11653,-10.953633,536.4,590.4,568.3,603.4
1.445,-17.923762,-11.559341,536.4,590.4,568.3,603.4
1.45,-17.746495,-12.200263,536.3837435381663,590.6004963626154,567.5034333701492,602.8635367594883
1.455,-17.592796,-12.881292,536.3061033523172,591.558058654754,563.6990642635453,600.3014106264693
1.46,-17.468351,-13.610144,536.2284631664681,592.5156209468923,559.8946951569413,597.7392844934503
1.465,-17.375203,-14.396202,536.1508229806192,593.4731832390308,556.090326050337,595.177158360431
1.47,-17.311411,-15.248835,536.2316541508458,594.1973095897556,552.3006307720876,592.8245569652262
1.475,-17.271811,-16.175487,536.6128144041913,594.4790367335328,548.5387447934158,590.869039143714
1.48,-17.249766,-17.179744,536.9939746575369,594.76076387731,544.7768588147441,588.9135213222017
1.485,-17.239533,-18.2595,537.3751349108826,595.0424910210871,541.0149728360719,586.9580035006894
1.49,-17.238782,-19.405437,537.7562951642282,595.3242181648643,537.2530868574001,585.0024856791772
1.495,-17.250632,-20.600211,538.1374554175737,595.6059453086415,533.4912008787284,583.046967857665
1.5,-17.284478,-21.818999,538.4,595.8,530.9,581.7
1.505,-17.354984,-23.03184,538.4,595.8,530.9,581.7
1.51,-17.479205,-24.207522,538.4,595.8,530.9,581.7
1.515,-17.672477,-25.318011,538.4,595.8,530.9,581.7
1.52,-17.944163,-26.342103,538.4,595.8,530.9,581.7
1.525,-18.294359,-27.267277,538.4,595.8,530.9,581.7
1.53,-18.712349,-28.089267,538.4,595.8,530.9,581.7
1.535,-19.177204,-28.809607,538.4,595.8,530.9,581.7
1.54,-19.660434,-29.431976,539.6073901731814,594.6764563666228,527.6802928715161,580.1404543596407
1.545,-20.130177,-29.958517,541.2023594505093,593.1922488446648,523.4270414653083,578.0802857097588
1.55,-20.556071,-30.387248,542.7973287278375,591.7080413227068,519.1737900591002,576.0201170598766
1.555,-20.913754,-30.711244,544.3922980051653,590.2238338007489,514.9205386528923,573.9599484099947
1.56,-21.187985,-30.919668,545.6,589.1,511.7,572.4
1.565,-21.373817,-31.000282,545.6,589.1,511.7,572.4
1.57,-21.475837,-30.942773,545.5338234543319,589.0179410833716,511.6894117526931,572.3655881962526
1.575,-21.506073,-30.742094,545.2788982974616,588.7018338888524,511.6486237275939,572.23302711468
1.58,-21.48131,-30.40099,545.0239731405914,588.3857266943332,511.6078357024946,572.1004660331075
1.585,-21.420364,-29.93111,544.769047983721,588.069619499814,511.56704767739535,571.9679049515349
1.59,-21.341518,-29.352517,544.5141228268507,587.7535123052949,511.5262596522961,571.8353438699623
1.595,-21.260187,-28.691852,544.2591976699804,587.4374051107756,511.48547162719683,571.7027827883898
1.6,-21.186966,-27.979666,544.00427251311,587.1212979162564,511.4446836020976,571.5702217068172
1.605,-21.126499,-27.247412,543.7493473562397,586.8051907217372,511.40389557699837,571.4376606252447
1.61,-21.077617,-26.524481,543.4944221993694,586.489083527218,511.3631075518991,571.3050995436721
1.615,-21.034881,-25.835537,543.239497042499,586.1729763326988,511.32231952679984,571.1725384620995
1.62,-20.991088,-25.198457,541.9309677704091,585.6029701861767,513.726293306698,571.4308581781861
1.625,-20.939819,-24.623196,539.3491381517056,584.7261223911453,519.0848076096677,572.1615646740456
1.63,-20.87722,-24.111758,537.8,584.2,522.3,572.6
1.635,-20.802585,-23.659213,537.8,584.2,522.3,572.6
1.64,-20.717882,-23.255429,537.8,584.2,522.3,572.6
1.645,-20.626681,-22.887167,537.8,584.2,522.3,572.6
1.65,-20.533022,-22.540155,537.8,584.2,522.3,572.6
1.655,-20.440615,-22.200851,537.8,584.2,522.3,572.6
1.66,-20.352502,-21.857702,537.8,584.2,522.3,572.6
1.665,-20.271068,-21.501871,537.8,584.2,522.3,572.6
1.67,-20.198163,-21.127568,537.5100992134047,583.65240962532,524.2970943076564,571.7947200372354
1.675,-20.13513,-20.732195,537.1587030207121,582.9886612613451,526.7178236350943,570.8186195019781
1.68,-20.082685,-20.316511,536.9,582.5,528.5,570.1
1.685,-20.040736,-19.884905,536.9,582.5,528.5,570.1
1.69,-20.008235,-19.445662,536.8589320364046,582.4931553394008,529.0201942055417,570.1821359271909
1.695,-19.983177,-19.010991,536.7089399395641,582.468156656594,530.9200940988552,570.4821201208719
1.7,-19.962787,-18.596508,536.5589478427235,582.4431579737873,532.8199939921684,570.7821043145528
1.705,-19.943935,-18.219972,536.408955745883,582.4181592909805,534.7198938854817,571.0820885082339
1.71,-19.923642,-17.899248,536.2726007903251,582.4136996048375,536.3602924919117,571.3776310940789
1.715,-19.899506,-17.649611,536.1724538519394,582.4637730740303,537.3116884065757,571.6613807528383
1.72,-19.869881,-17.480667,536.0723069135537,582.5138465432232,538.2630843212397,571.9451304115978
1.725,-19.833761,-17.393467,535.972159975168,582.563920012416,539.2144802359037,572.2288800703573
1.73,-19.790454,-17.378658,535.8720130367824,582.6139934816089,540.1658761505677,572.5126297291166
1.735,-19.739243,-17.41667,535.7718660983967,582.6640669508017,541.1172720652316,572.7963793878761
1.74,-19.679293,-17.4804,535.7,582.7,541.8,573
1.745,-19.609916,-17.540024,535.7,582.7,541.8,573
1.75,-19.531075,-17.568731,535.7,582.7,541.8,573
1.755,-19.443744,-17.547892,535.7,582.7,541.8,573
1.76,-19.349797,-17.470398,535.7,582.7,541.8,573
1.765,-19.251415,-17.341321,535.7,582.7,541.8,573
1.77,-19.150323,-17.175905,535.7,582.7,541.8,573
1.775,-19.047203,-16.995699,535.7,582.7,541.8,573
1.78,-18.941505,-16.824182,535.6446177851393,582.8476859062952,542.6491939611972,573.53536141032
1.785,-18.831643,-16.68308,535.5782431135071,583.0246850306477,543.666938926224,574.1769832360977
1.79,-18.715452,-16.589961,535.511868441875,583.2016841550002,544.6846838912509,574.8186050618756
1.795,-18.590673,-16.557195,535.4454937702427,583.3786832793527,545.7024288562777,575.4602268876533
1.8,-18.455217,-16.592037,535.4,583.59954120361,546.3685659357021,576.0466923000567
1.805,-18.307125,-16.697443,535.4,583.9159554512644,546.2686456469692,576.5129869808106
1.81,-18.144336,-16.873168,535.4,584.2323696989189,546.1687253582361,576.9792816615646
1.815,-17.96447,-17.116758,535.4,584.5487839465733,546.0688050695031,577.4455763423185
1.82,-17.76479,-17.424234,535.4,584.8651981942277,545.9688847807702,577.9118710230725
1.825,-17.542381,-17.790448,535.4,585.1816124418822,545.8689644920372,578.3781657038264
