,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
1611424648954672,404.9,0.0,0.0,0.0,0.0
1611424648958672,408.3,0.0,0.0,0.0,0.0
1611424648962672,400.8,0.0,0.0,0.0,0.0
1611424648966672,401.8,0.0,0.0,0.0,0.0
1611424648970672,404.4,0.0,0.0,0.0,0.0
1611424648974672,402.2,0.0,0.0,0.0,0.0
1611424648978672,410.7,0.0,0.0,0.0,0.0
1611424648982672,399.3,0.0,0.0,0.0,0.0
1611424648986672,398.3,0.0,0.0,0.0,0.0
1611424648990672,398.8,0.0,0.0,0.0,0.0
1611424648994672,397.4,0.0,0.0,0.0,0.0
1611424648998672,406.5,0.0,0.0,0.0,0.0
1611424649002672,410.0,0.0,0.0,0.0,0.0
1611424649006672,404.2,0.0,0.0,0.0,0.0
1611424649010672,402.0,0.0,0.0,0.0,0.0
1611424649014672,401.3,0.0,0.0,0.0,0.0
1611424649018672,409.6,0.0,0.0,0.0,0.0
1611424649022672,405.6,0.0,0.0,0.0,0.0
1611424649026672,402.4,0.0,0.0,0.0,0.0
1611424649030672,400.8,0.0,0.0,0.0,0.0
1611424649034672,399.5,0.0,0.0,0.0,0.0
1611424649038672,399.2,0.0,0.0,0.0,0.0
1611424649042672,399.7,0.0,0.0,0.0,0.0
1611424649046672,399.0,0.0,0.0,0.0,0.0
1611424649050672,403.5,0.0,0.0,0.0,0.0
1611424649054672,407.5,0.0,0.0,0.0,0.0
1611424649058672,404.9,0.0,0.0,0.0,0.0
1611424649062672,411.3,0.0,0.0,0.0,0.0
1611424649066672,404.7,0.0,0.0,0.0,0.0
1611424649070672,404.2,0.0,0.0,0.0,0.0
1611424649074672,404.2,0.0,0.0,0.0,0.0
1611424649078672,404.2,0.0,0.0,0.0,0.0
1611424649082672,404.2,0.0,0.0,0.0,0.0
1611424649086672,404.3,0.0,0.0,0.0,0.0
1611424649090672,404.3,0.0,0.0,0.0,0.0
1611424649094672,404.3,0.0,0.0,0.0,0.0
1611424649098672,397.7,0.0,0.0,0.0,0.0
