,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
1611619504470519,409.4,0.0,0.0,0.0,0.0
1611619504474519,411.1,0.0,0.0,0.0,0.0
1611619504478519,412.6,0.0,0.0,0.0,0.0
1611619504482519,409.9,0.0,0.0,0.0,0.0
1611619504486519,410.0,0.0,0.0,0.0,0.0
1611619504490519,409.3,0.0,0.0,0.0,0.0
1611619504494519,409.9,0.0,0.0,0.0,0.0
1611619504498519,409.7,0.0,0.0,0.0,0.0
1611619504502519,409.4,0.0,0.0,0.0,0.0
1611619504506519,409.4,0.0,0.0,0.0,0.0
1611619504510519,409.2,0.0,0.0,0.0,0.0
1611619504514519,409.6,0.0,0.0,0.0,0.0
1611619504518519,410.1,0.0,0.0,0.0,0.0
1611619504522519,409.8,0.0,0.0,0.0,0.0
1611619504526519,409.6,0.0,0.0,0.0,0.0
1611619504530519,409.9,0.0,0.0,0.0,0.0
1611619504534519,409.5,0.0,0.0,0.0,0.0
1611619504538519,409.8,0.0,0.0,0.0,0.0
1611619504542519,409.7,0.0,0.0,0.0,0.0
1611619504546519,410.1,0.0,0.0,0.0,0.0
1611619504550519,409.8,0.0,0.0,0.0,0.0
1611619504554519,409.6,0.0,0.0,0.0,0.0
1611619504558519,409.8,0.0,0.0,0.0,0.0
1611619504562519,411.2,0.0,0.0,0.0,0.0
1611619504566519,409.7,0.0,0.0,0.0,0.0
1611619504570519,409.9,0.0,0.0,0.0,0.0
1611619504574519,409.4,0.0,0.0,0.0,0.0
1611619504578519,409.2,0.0,0.0,0.0,0.0
1611619504582519,409.6,0.0,0.0,0.0,0.0
1611619504586519,409.7,0.0,0.0,0.0,0.0
1611619504590519,409.8,0.0,0.0,0.0,0.0
1611619504594519,409.6,0.0,0.0,0.0,0.0
1611619504598519,409.8,0.0,0.0,0.0,0.0
1611619504602519,409.8,0.0,0.0,0.0,0.0
1611619504606519,410.3,0.0,0.0,0.0,0.0
1611619504610519,408.5,0.0,0.0,0.0,0.0
1611619504614519,409.3,0.0,0.0,0.0,0.0
1611619504618519,409.8,0.0,0.0,0.0,0.0
1611619504622519,409.5,0.0,0.0,0.0,0.0
1611619504626519,409.4,0.0,0.0,0.0,0.0
1611619504630519,409.8,0.0,0.0,0.0,0.0
1611619504634519,409.1,0.0,0.0,0.0,0.0
1611619504638519,409.5,0.0,0.0,0.0,0.0
1611619504642519,409.4,0.0,0.0,0.0,0.0
1611619504646519,410.0,0.0,0.0,0.0,0.0
1611619504650519,409.6,0.0,0.0,0.0,0.0
1611619504654519,409.1,0.0,0.0,0.0,0.0
1611619504658519,407.8,0.0,0.0,0.0,0.0
1611619504662364,409.8,0.0,0.0,0.0,0.0
1611619504666364,409.8,0.0,0.0,0.0,0.0
1611619504670364,409.6,0.0,0.0,0.0,0.0
1611619504674364,409.6,0.0,0.0,0.0,0.0
1611619504678364,409.3,0.0,0.0,0.0,0.0
1611619504682364,409.6,0.0,0.0,0.0,0.0
1611619504686364,409.4,0.0,0.0,0.0,0.0
1611619504690364,409.8,0.0,0.0,0.0,0.0
1611619504694364,409.6,0.0,0.0,0.0,0.0
1611619504698364,410.3,0.0,0.0,0.0,0.0
1611619504702364,409.4,0.0,0.0,0.0,0.0
1611619504706364,409.2,0.0,0.0,0.0,0.0
1611619504710364,409.2,0.0,0.0,0.0,0.0
1611619504714364,409.7,0.0,0.0,0.0,0.0
1611619504718364,409.3,0.0,0.0,0.0,0.0
1611619504722364,409.5,0.0,0.0,0.0,0.0
1611619504726364,409.4,0.0,0.0,0.0,0.0
1611619504730364,409.7,0.0,0.0,0.0,0.0
1611619504734364,409.1,0.0,0.0,0.0,0.0
1611619504738364,409.7,0.0,0.0,0.0,0.0
1611619504742364,408.9,0.0,0.0,0.0,0.0
1611619504746364,409.5,0.0,0.0,0.0,0.0
1611619504750364,409.5,0.0,0.0,0.0,0.0
1611619504754364,409.6,0.0,0.0,0.0,0.0
1611619504758364,409.2,0.0,0.0,0.0,0.0
1611619504762364,409.7,0.0,0.0,0.0,0.0
1611619504766364,409.9,0.0,0.0,0.0,0.0
