,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
1611782548688930,814.1,0.0,0.0,0.0,0.0
1611782548692930,815.1,0.0,0.0,0.0,0.0
1611782548696930,815.0,0.0,0.0,0.0,0.0
1611782548700930,814.6,0.0,0.0,0.0,0.0
1611782548704930,814.6,0.0,0.0,0.0,0.0
1611782548708930,813.8,0.0,0.0,0.0,0.0
1611782548712930,814.6,0.0,0.0,0.0,0.0
1611782548716930,815.7,0.0,0.0,0.0,0.0
1611782548720930,814.2,0.0,0.0,0.0,0.0
1611782548724930,812.6,0.0,0.0,0.0,0.0
1611782548728930,811.2,0.0,0.0,0.0,0.0
1611782548732930,811.7,0.0,0.0,0.0,0.0
1611782548736930,810.7,0.0,0.0,0.0,0.0
1611782548740930,810.9,0.0,0.0,0.0,0.0
1611782548744930,810.7,0.0,0.0,0.0,0.0
1611782548748930,811.1,0.0,0.0,0.0,0.0
1611782548752930,810.8,0.0,0.0,0.0,0.0
1611782548756930,812.8,0.0,0.0,0.0,0.0
1611782548760930,812.0,0.0,0.0,0.0,0.0
1611782548764930,810.2,0.0,0.0,0.0,0.0
1611782548768930,811.5,0.0,0.0,0.0,0.0
1611782548772930,810.4,0.0,0.0,0.0,0.0
1611782548776930,811.4,0.0,0.0,0.0,0.0
1611782548780930,812.1,0.0,0.0,0.0,0.0
1611782548784930,811.1,0.0,0.0,0.0,0.0
1611782548788930,811.3,0.0,0.0,0.0,0.0
1611782548792930,811.3,0.0,0.0,0.0,0.0
1611782548796930,813.4,0.0,0.0,0.0,0.0
1611782548800930,812.8,0.0,0.0,0.0,0.0
1611782548804930,815.2,0.0,0.0,0.0,0.0
1611782548808930,813.4,0.0,0.0,0.0,0.0
1611782548812930,813.6,0.0,0.0,0.0,0.0
1611782548816930,812.8,0.0,0.0,0.0,0.0
1611782548820930,812.4,0.0,0.0,0.0,0.0
1611782548824930,812.3,0.0,0.0,0.0,0.0
1611782548828930,812.0,0.0,0.0,0.0,0.0
1611782548832930,812.9,0.0,0.0,0.0,0.0
1611782548836930,813.2,0.0,0.0,0.0,0.0
1611782548840930,812.1,0.0,0.0,0.0,0.0
1611782548844930,812.4,0.0,0.0,0.0,0.0
1611782548848930,813.4,0.0,0.0,0.0,0.0
1611782548852930,813.3,0.0,0.0,0.0,0.0
1611782548856930,810.4,0.0,0.0,0.0,0.0
1611782548860930,811.8,0.0,0.0,0.0,0.0
1611782548864930,813.6,0.0,0.0,0.0,0.0
1611782548868930,813.8,0.0,0.0,0.0,0.0
1611782548872930,814.4,0.0,0.0,0.0,0.0
1611782548876930,811.6,0.0,0.0,0.0,0.0
1611782548880772,812.4,0.0,0.0,0.0,0.0
1611782548884772,811.0,0.0,0.0,0.0,0.0
1611782548888772,811.3,0.0,0.0,0.0,0.0
1611782548892772,810.9,0.0,0.0,0.0,0.0
1611782548896772,810.5,0.0,0.0,0.0,0.0
1611782548900772,810.5,0.0,0.0,0.0,0.0
1611782548904772,813.4,0.0,0.0,0.0,0.0
1611782548908772,812.6,0.0,0.0,0.0,0.0
1611782548912772,811.5,0.0,0.0,0.0,0.0
1611782548916772,812.2,0.0,0.0,0.0,0.0
1611782548920772,813.3,0.0,0.0,0.0,0.0
1611782548924772,812.2,0.0,0.0,0.0,0.0
1611782548928772,812.3,0.0,0.0,0.0,0.0
1611782548932772,812.6,0.0,0.0,0.0,0.0
1611782548936772,813.5,0.0,0.0,0.0,0.0
1611782548940772,812.8,0.0,0.0,0.0,0.0
1611782548944772,812.8,0.0,0.0,0.0,0.0
1611782548948772,815.4,0.0,0.0,0.0,0.0
1611782548952772,812.4,0.0,0.0,0.0,0.0
1611782548956772,813.2,0.0,0.0,0.0,0.0
1611782548960772,812.1,0.0,0.0,0.0,0.0
1611782548964772,812.8,0.0,0.0,0.0,0.0
1611782548968772,812.2,0.0,0.0,0.0,0.0
1611782548972772,813.3,0.0,0.0,0.0,0.0
1611782548976772,813.4,0.0,0.0,0.0,0.0
1611782548980772,814.3,0.0,0.0,0.0,0.0
1611782548984772,811.6,0.0,0.0,0.0,0.0
1611782548988772,813.6,0.0,0.0,0.0,0.0
1611782548992772,813.3,0.0,0.0,0.0,0.0
1611782548996772,814.2,0.0,0.0,0.0,0.0
1611782549000772,814.1,0.0,0.0,0.0,0.0
1611782549004772,813.8,0.0,0.0,0.0,0.0
1611782549008772,812.5,0.0,0.0,0.0,0.0
1611782549012772,811.6,0.0,0.0,0.0,0.0
1611782549016772,812.7,0.0,0.0,0.0,0.0
1611782549020772,811.3,0.0,0.0,0.0,0.0
1611782549024772,813.1,0.0,0.0,0.0,0.0
1611782549028772,812.1,0.0,0.0,0.0,0.0
1611782549032772,812.2,0.0,0.0,0.0,0.0
1611782549036772,811.3,0.0,0.0,0.0,0.0
1611782549040772,812.0,0.0,0.0,0.0,0.0
1611782549044772,811.1,0.0,0.0,0.0,0.0
1611782549048772,810.9,0.0,0.0,0.0,0.0
1611782549052772,810.9,0.0,0.0,0.0,0.0
1611782549056772,810.7,0.0,0.0,0.0,0.0
1611782549060772,810.2,0.0,0.0,0.0,0.0
1611782549064772,810.7,0.0,0.0,0.0,0.0
1611782549068772,811.8,0.0,0.0,0.0,0.0
1611782549072614,810.8,0.0,0.0,0.0,0.0
1611782549076614,810.6,0.0,0.0,0.0,0.0
1611782549080614,813.7,0.0,0.0,0.0,0.0
1611782549084614,815.6,0.0,0.0,0.0,0.0
1611782549088614,811.7,0.0,0.0,0.0,0.0
1611782549092614,812.0,0.0,0.0,0.0,0.0
1611782549096614,813.1,0.0,0.0,0.0,0.0
1611782549100614,814.1,0.0,0.0,0.0,0.0
1611782549104614,814.2,0.0,0.0,0.0,0.0
1611782549108614,814.5,0.0,0.0,0.0,0.0
1611782549112614,814.0,0.0,0.0,0.0,0.0
1611782549116614,817.6,0.0,0.0,0.0,0.0
1611782549120614,820.3,0.0,0.0,0.0,0.0
1611782549124614,821.9,0.0,0.0,0.0,0.0
1611782549128614,823.5,0.0,0.0,0.0,0.0
1611782549132614,823.8,0.0,0.0,0.0,0.0
1611782549136614,823.9,0.0,0.0,0.0,0.0
1611782549140614,826.1,0.0,0.0,0.0,0.0
1611782549144614,828.3,0.0,0.0,0.0,0.0
1611782549148614,831.0,0.0,0.0,0.0,0.0
1611782549152614,831.8,0.0,0.0,0.0,0.0
1611782549156614,833.7,0.0,0.0,0.0,0.0
1611782549160614,833.9,0.0,0.0,0.0,0.0
1611782549164614,838.9,0.0,0.0,0.0,0.0
1611782549168614,841.4,0.0,0.0,0.0,0.0
1611782549172614,841.8,0.0,0.0,0.0,0.0
1611782549176614,847.2,0.0,0.0,0.0,0.0
1611782549180614,847.1,0.0,0.0,0.0,0.0
1611782549184614,851.4,0.0,0.0,0.0,0.0
1611782549188614,855.4,0.0,0.0,0.0,0.0
1611782549192614,858.2,0.0,0.0,0.0,0.0
1611782549196614,861.9,0.0,0.0,0.0,0.0
1611782549200614,863.9,0.0,0.0,0.0,0.0
1611782549204614,864.7,0.0,0.0,0.0,0.0
1611782549208614,866.2,0.0,0.0,0.0,0.0
1611782549212614,869.2,0.0,0.0,0.0,0.0
1611782549216614,873.0,0.0,0.0,0.0,0.0
1611782549220614,874.0,0.0,0.0,0.0,0.0
1611782549224614,876.4,0.0,0.0,0.0,0.0
1611782549228614,879.1,0.0,0.0,0.0,0.0
1611782549232614,882.9,0.0,0.0,0.0,0.0
1611782549236614,884.1,0.0,0.0,0.0,0.0
1611782549240614,887.9,0.0,0.0,0.0,0.0
1611782549244614,891.0,0.0,0.0,0.0,0.0
1611782549248614,894.5,0.0,0.0,0.0,0.0
1611782549252614,896.3,0.0,0.0,0.0,0.0
1611782549256614,900.3,0.0,0.0,0.0,0.0
1611782549260614,901.6,0.0,0.0,0.0,0.0
1611782549264465,902.3,0.0,0.0,0.0,0.0
1611782549268465,907.9,0.0,0.0,0.0,0.0
1611782549272465,910.5,0.0,0.0,0.0,0.0
1611782549276465,911.0,0.0,0.0,0.0,0.0
1611782549280465,915.4,0.0,0.0,0.0,0.0
1611782549284465,918.9,0.0,0.0,0.0,0.0
1611782549288465,919.6,0.0,0.0,0.0,0.0
1611782549292465,923.4,0.0,0.0,0.0,0.0
1611782549296465,925.2,0.0,0.0,0.0,0.0
1611782549300465,927.3,0.0,0.0,0.0,0.0
1611782549304465,928.6,0.0,0.0,0.0,0.0
1611782549308465,932.8,0.0,0.0,0.0,0.0
1611782549312465,934.0,0.0,0.0,0.0,0.0
1611782549316465,937.7,0.0,0.0,0.0,0.0
1611782549320465,940.8,0.0,0.0,0.0,0.0
1611782549324465,942.6,0.0,0.0,0.0,0.0
1611782549328465,944.1,0.0,0.0,0.0,0.0
1611782549332465,946.3,0.0,0.0,0.0,0.0
1611782549336465,948.1,0.0,0.0,0.0,0.0
1611782549340465,950.5,0.0,0.0,0.0,0.0
1611782549344465,953.1,0.0,0.0,0.0,0.0
