Sequence, Sample Number, Time, Sensor Value,,,,,,,,,
0,206,0,607.2,687.4,481.2,602.4,0,0,0,0,0,89.64149904
0,207,0.030133963,607,687.6,481.6,602.5,0,0,0,0,0,89.67163301
0,208,0.090247989,607.1,688.2,481.2,602.5,0,0,0,0,0,89.73174703
0,209,0.120409012,606.9,687.9,481.1,602.3,0,0,0,0,0,89.76190805
0,210,0.150189042,607.2,687.7,481.7,602.3,0,0,0,0,0,89.79168808
0,211,0.210245013,607.3,688,481.4,602.6,0,0,0,0,0,89.85174406
0,212,0.240906954,607.1,688.2,481,603,0,0,0,0,0,89.882406
0,213,0.270324945,607.5,687.8,481.2,602.7,0,0,0,0,0,89.91182399
0,214,0.330549955,607,688,481.2,602.3,0,0,0,0,0,89.972049
0,215,0.359825969,607.2,688.3,480.9,602.4,0,0,0,0,0,90.00132501
0,216,0.390504956,607,688.6,481.1,602.4,0,0,0,0,0,90.032004
0,217,0.45027101,607.2,688.5,481.4,601.7,0,0,0,0,0,90.09177005
0,218,0.48029995,607.8,688.3,480.9,602.6,0,0,0,0,0,90.12179899
0,219,0.510123968,607.7,687.7,480.8,602.5,0,0,0,0,0,90.15162301
0,220,0.570302963,607.4,687.8,481.3,602.6,0,0,0,0,0,90.21180201
0,221,0.600278974,607.6,687.6,481.3,602.3,0,0,0,0,0,90.24177802
0,222,0.630341053,607,688.3,481,602.3,0,0,0,0,0,90.2718401
0,223,0.690279007,607.1,687.9,480.9,602.1,0,0,0,0,0,90.33177805
0,224,0.72003901,607.4,687.9,481.3,601.9,0,0,0,0,0,90.36153805
0,225,0.750267029,607.7,688.2,481.3,602.4,0,0,0,0,0,90.39176607
0,226,0.810250998,607.3,687.8,480.9,602.7,0,0,0,0,0,90.45175004
0,227,0.840232968,607.6,687.7,481.3,602.8,0,0,0,0,0,90.48173201
0,228,0.87074399,606.9,688,481.4,602.4,0,0,0,0,0,90.51224303
0,229,0.960548997,607.3,687.8,481.2,602,0,0,0,0,0,90.60204804
0,230,0.961699009,607,688.1,481,602.5,0,0,0,0,0,90.60319805
0,231,0.995661974,607.2,687.7,481.4,602.3,0,0,0,0,0,90.63716102
0,232,1.050009012,607.6,687.9,481.1,602.4,0,0,0,0,0,90.69150805
0,233,1.079738975,606.9,687.8,481.4,602.6,0,0,0,0,0,90.72123802
0,234,1.110133052,606.8,688,481.1,602.1,0,0,0,0,0,90.75163209
0,235,1.170328975,606.8,688.5,481.3,602.5,0,0,0,0,0,90.81182802
0,236,1.200296044,606.7,687.6,481.1,602.4,0,0,0,0,0,90.84179509
0,237,1.230191946,606.6,687.9,481.3,602.7,0,0,0,0,0,90.87169099
0,238,1.290287971,607.2,687.5,481.1,602.4,0,0,0,0,0,90.93178701
0,239,1.320448041,606.5,687.7,481.2,602.6,0,0,0,0,0,90.96194708
0,240,1.380566001,604.3,687.1,481.4,602.9,0,0,0,0,0,91.02206504
0,241,1.410280943,603.2,686,482.2,603.4,0,0,0,0,0,91.05177999
0,242,1.440765977,601.1,685.7,482.6,603.5,0,0,0,0,0,91.08226502
0,243,1.470397949,596.5,684.9,485.9,604.2,0,0,0,0,0,91.11189699
0,244,1.530307055,589.4,683.2,492,603.7,0,0,0,0,0,91.1718061
0,245,1.559867978,581.4,680.9,501.1,604.7,0,0,0,0,0,91.20136702
0,246,1.590481043,567.3,675.1,521,608.5,0,0,0,0,0,91.23198009
0,247,1.650581956,555.4,669.6,545.5,611.9,0,0,0,0,0,91.292081
0,248,1.680544019,552.8,664.2,565.5,614.6,0,0,0,0,0,91.32204306
0,249,1.710523963,551.9,660.4,585.4,616.5,0,0,0,0,0,91.35202301
0,250,1.770884037,551.3,655.7,602.2,617.3,0,0,0,0,0,91.41238308
0,251,1.800209045,550.8,652.8,618.4,618,0,0,0,0,0,91.44170809
0,252,1.830312014,550.5,649.9,634.6,618.3,0,0,0,0,0,91.47181106
0,253,1.890272975,549.9,647.5,647.9,618.4,0,0,0,0,0,91.53177202
0,254,1.920737982,550.4,645.6,662.6,618.1,0,0,0,0,0,91.56223702
0,255,1.950500011,549.5,644.5,678.1,617.7,0,0,0,0,0,91.59199905
0,256,2.010956049,549.1,643.3,691.7,617.6,0,0,0,0,0,91.65245509
0,257,2.04083395,549.5,642.1,700.1,617.3,0,0,0,0,0,91.68233299
0,258,2.070263028,549.4,641.4,706.9,617.2,0,0,0,0,0,91.71176207
