Time,R_IEV,R_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL
2020-09-22 20:39:37.180870+00:00,,,,,,,
2020-09-22 20:39:37.188870+00:00,,,,,,,
2020-09-22 20:39:37.196870+00:00,,,,,,,
2020-09-22 20:39:37.204870+00:00,,,,,,,
2020-09-22 20:39:37.212870+00:00,,,,,,,
2020-09-22 20:39:37.220870+00:00,,,,,,,
2020-09-22 20:39:37.228870+00:00,,,,,,,
2020-09-22 20:39:37.236870+00:00,,,,,,,
2020-09-22 20:39:37.244870+00:00,,,,,,,
2020-09-22 20:39:37.252870+00:00,,,,,,,
2020-09-22 20:39:37.260870+00:00,,,,,,,
2020-09-22 20:39:37.268870+00:00,,,,,,,
2020-09-22 20:39:37.276870+00:00,,,,,,,
2020-09-22 20:39:37.284870+00:00,,,,,,,
2020-09-22 20:39:37.292870+00:00,,,,,,,
2020-09-22 20:39:37.300870+00:00,,,,,,,
2020-09-22 20:39:37.308870+00:00,,,,,,,
2020-09-22 20:39:37.316870+00:00,,,,,,,
2020-09-22 20:39:37.324870+00:00,,,,,,,
2020-09-22 20:39:37.332870+00:00,,,,,,,
2020-09-22 20:39:37.340870+00:00,,,,,,,
2020-09-22 20:39:37.348870+00:00,,,,,,,
2020-09-22 20:39:37.356870+00:00,,,,,,,
2020-09-22 20:39:37.364870+00:00,,,,,,,
2020-09-22 20:39:37.372870+00:00,,,,,,,
2020-09-22 20:39:37.380870+00:00,,,,,,,
2020-09-22 20:39:37.388870+00:00,,,,,,,
2020-09-22 20:39:37.396870+00:00,,,,,,,
2020-09-22 20:39:37.404870+00:00,,,,,,,
2020-09-22 20:39:37.412870+00:00,,,,,,,
2020-09-22 20:39:37.420870+00:00,,,,,,,
2020-09-22 20:39:37.428870+00:00,,,,,,,
2020-09-22 20:39:37.436870+00:00,,,,,,,
2020-09-22 20:39:37.444870+00:00,,,,,,,
2020-09-22 20:39:37.452870+00:00,,,,,,,
2020-09-22 20:39:37.460870+00:00,,,,,,,
2020-09-22 20:39:37.468870+00:00,,,,,,,
2020-09-22 20:39:37.476870+00:00,,,,,,,
2020-09-22 20:39:37.484870+00:00,,,,,,,
2020-09-22 20:39:37.492870+00:00,,,,,,,
2020-09-22 20:39:37.500870+00:00,,,,,,,
2020-09-22 20:39:37.508870+00:00,,,,,,,
2020-09-22 20:39:37.516870+00:00,,,,,,,
2020-09-22 20:39:37.524870+00:00,,,,,,,
2020-09-22 20:39:37.532870+00:00,,,,,,,
2020-09-22 20:39:37.540870+00:00,,,,,,,
2020-09-22 20:39:37.548870+00:00,,,,,,,
2020-09-22 20:39:37.556870+00:00,,,,,,,
2020-09-22 20:39:37.564870+00:00,,,,,,,
2020-09-22 20:39:37.572870+00:00,,,,,,,
2020-09-22 20:39:37.580870+00:00,,,,,,,
2020-09-22 20:39:37.588870+00:00,,,,,,,
2020-09-22 20:39:37.596870+00:00,,,,,,,
2020-09-22 20:39:37.604870+00:00,,,,,,,
2020-09-22 20:39:37.612870+00:00,,,,,,,
2020-09-22 20:39:37.620870+00:00,,,,,,,
2020-09-22 20:39:37.628870+00:00,,,,,,,
2020-09-22 20:39:37.636870+00:00,,,,,,,
2020-09-22 20:39:37.644870+00:00,,,,,,,
2020-09-22 20:39:37.652870+00:00,,,,,,,
2020-09-22 20:39:37.660870+00:00,,,,,,,
2020-09-22 20:39:37.668870+00:00,,,,,,,
2020-09-22 20:39:37.676870+00:00,,,,,,,
2020-09-22 20:39:37.684870+00:00,,,,,,,
2020-09-22 20:39:37.692870+00:00,,,,,,,
2020-09-22 20:39:37.700870+00:00,,,,,,,
2020-09-22 20:39:37.708870+00:00,,,,,,,
2020-09-22 20:39:37.716870+00:00,,,,,,,
2020-09-22 20:39:37.724870+00:00,,,567.0,550.1,562.9,600.3,369.9
2020-09-22 20:39:37.732870+00:00,,,567.7,549.8,562.8,599.8,370.1
2020-09-22 20:39:37.740870+00:00,,,567.7,549.9,563.3,600.3,370.1
2020-09-22 20:39:37.748870+00:00,,,566.1,549.6,563.8,601.0,369.7
2020-09-22 20:39:37.756870+00:00,,,567.8,550.2,563.2,600.2,370.1
2020-09-22 20:39:37.764870+00:00,,,567.7,550.2,562.8,600.1,369.9
2020-09-22 20:39:37.772870+00:00,,,567.7,549.8,563.0,600.1,369.9
2020-09-22 20:39:37.780870+00:00,,,567.5,549.7,562.9,600.0,370.1
2020-09-22 20:39:37.788870+00:00,,,566.9,549.5,562.9,600.7,370.5
2020-09-22 20:39:37.796870+00:00,,,567.2,550.3,563.3,599.9,369.6
2020-09-22 20:39:37.804870+00:00,,,567.5,550.4,563.3,599.9,369.7
2020-09-22 20:39:37.812870+00:00,,,567.6,549.8,562.9,600.4,370.4
2020-09-22 20:39:37.820870+00:00,,,567.0,549.8,562.7,599.8,369.8
2020-09-22 20:39:37.828870+00:00,,,567.1,550.5,562.7,599.9,370.2
2020-09-22 20:39:37.836870+00:00,,,565.3,548.7,563.6,601.2,369.6
2020-09-22 20:39:37.844870+00:00,,,567.4,550.3,563.1,599.9,369.9
2020-09-22 20:39:37.852870+00:00,,,567.4,549.9,563.4,600.3,370.0
2020-09-22 20:39:37.860870+00:00,,,567.0,550.2,563.2,600.2,370.0
2020-09-22 20:39:37.868870+00:00,,,567.4,550.2,563.2,600.6,369.8
2020-09-22 20:39:37.876870+00:00,,,566.9,550.3,563.0,600.5,370.0
2020-09-22 20:39:37.884870+00:00,,,567.4,550.7,562.2,599.3,370.4
2020-09-22 20:39:37.892870+00:00,,,567.4,550.3,562.9,600.1,369.8
2020-09-22 20:39:37.900870+00:00,,,567.4,549.6,562.8,600.3,370.0
2020-09-22 20:39:37.908870+00:00,,,567.2,549.6,562.9,600.3,370.2
2020-09-22 20:39:37.916870+00:00,,,567.8,550.1,562.9,600.1,370.3
2020-09-22 20:39:37.924870+00:00,,,567.4,549.5,562.4,600.3,370.2
2020-09-22 20:39:37.932870+00:00,,,566.6,550.2,563.1,600.2,370.4
2020-09-22 20:39:37.940870+00:00,,,567.2,549.9,562.7,600.1,369.5
2020-09-22 20:39:37.948870+00:00,,,567.6,550.0,562.8,600.3,369.8
2020-09-22 20:39:37.956870+00:00,,,567.6,550.6,563.2,599.8,369.9
2020-09-22 20:39:37.964870+00:00,,,567.2,550.2,563.3,600.2,369.9
2020-09-22 20:39:37.972870+00:00,,,567.3,549.1,562.9,601.6,369.8
2020-09-22 20:39:37.980870+00:00,,,567.9,550.1,562.9,600.4,370.3
2020-09-22 20:39:37.988870+00:00,,,567.8,550.6,562.8,600.4,370.3
2020-09-22 20:39:37.996870+00:00,,,567.6,550.4,563.4,600.3,369.7
2020-09-22 20:39:38.004870+00:00,,,567.5,550.2,563.3,600.5,369.6
2020-09-22 20:39:38.012870+00:00,,,567.4,550.7,563.5,600.4,369.5
2020-09-22 20:39:38.020870+00:00,,,566.9,551.9,565.4,600.0,367.4
2020-09-22 20:39:38.028870+00:00,,,567.3,550.1,563.2,600.2,370.1
2020-09-22 20:39:38.036870+00:00,,,568.0,550.4,563.2,600.3,370.0
2020-09-22 20:39:38.044870+00:00,,,567.8,550.4,563.0,600.2,370.0
2020-09-22 20:39:38.052870+00:00,,,567.4,550.3,563.1,600.7,369.8
2020-09-22 20:39:38.060870+00:00,,,568.1,550.4,563.0,600.9,369.6
2020-09-22 20:39:38.068870+00:00,,,567.7,550.3,563.3,600.4,370.2
2020-09-22 20:39:38.076870+00:00,,,567.7,550.2,563.2,600.3,369.6
2020-09-22 20:39:38.084870+00:00,,,567.6,550.2,563.1,600.3,370.3
2020-09-22 20:39:38.092870+00:00,,,567.8,550.1,562.9,599.8,370.1
2020-09-22 20:39:38.100870+00:00,,,567.8,550.3,563.0,600.5,370.1
2020-09-22 20:39:38.108870+00:00,,,566.99,548.5,562.18,601.2,371.09
2020-09-22 20:39:38.116870+00:00,,,567.53,550.35,562.41,600.69,369.99
2020-09-22 20:39:38.124870+00:00,,,567.69,549.97,562.5,600.78,370.61
2020-09-22 20:39:38.132870+00:00,,,567.3,549.8,562.71,600.0,369.98
2020-09-22 20:39:38.140870+00:00,,,567.39,550.01,563.12,600.94,369.91
2020-09-22 20:39:38.148870+00:00,,,567.33,550.19,563.28,600.95,370.21
2020-09-22 20:39:38.156870+00:00,,,568.19,549.91,562.48,599.7,370.31
2020-09-22 20:39:38.164870+00:00,,,567.29,550.4,562.73,600.6,370.27
2020-09-22 20:39:38.172870+00:00,,,567.82,550.1,563.31,599.79,369.3
2020-09-22 20:39:38.180870+00:00,,,567.89,550.41,563.3,600.51,370.0
2020-09-22 20:39:38.188870+00:00,,,567.71,549.85,562.95,600.41,370.06
2020-09-22 20:39:38.196870+00:00,,,568.2,548.8,561.5,600.99,371.99
2020-09-22 20:39:38.204870+00:00,,,567.78,549.84,562.75,600.08,370.05
2020-09-22 20:39:38.212870+00:00,,,567.6,550.31,563.09,600.21,370.3
2020-09-22 20:39:38.220870+00:00,,,567.6,550.4,562.9,600.2,369.58
2020-09-22 20:39:38.228870+00:00,,,567.59,550.42,562.78,600.2,369.81
2020-09-22 20:39:38.236870+00:00,,,567.3,550.67,562.52,600.41,369.91
2020-09-22 20:39:38.244870+00:00,,,567.6,549.48,563.2,600.81,370.1
2020-09-22 20:39:38.252870+00:00,,,567.51,549.92,562.57,600.68,370.01
2020-09-22 20:39:38.260870+00:00,,,568.12,550.13,562.41,600.19,370.29
2020-09-22 20:39:38.268870+00:00,,,568.2,550.89,563.02,600.41,369.69
2020-09-22 20:39:38.276870+00:00,,,567.86,549.86,563.19,600.71,370.04
2020-09-22 20:39:38.284870+00:00,,,566.77,549.72,563.01,600.9,370.58
2020-09-22 20:39:38.292870+00:00,,,566.93,550.41,563.6,600.7,369.58
2020-09-22 20:39:38.300870+00:00,,,567.71,550.3,563.08,600.7,370.03
2020-09-22 20:39:38.308870+00:00,,,567.7,550.49,562.8,600.49,370.38
2020-09-22 20:39:38.316870+00:00,,,567.79,549.78,563.13,600.73,369.48
