Time,R_IEV,R_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL
2020-09-24 20:43:21.865992+00:00,,,,,,,
2020-09-24 20:43:21.873992+00:00,,,,,,,
2020-09-24 20:43:21.881992+00:00,,,,,,,
2020-09-24 20:43:21.889992+00:00,,,,,,,
2020-09-24 20:43:21.897992+00:00,,,,,,,
2020-09-24 20:43:21.905992+00:00,,,,,,,
2020-09-24 20:43:21.913992+00:00,,,,,,,
2020-09-24 20:43:21.921992+00:00,,,,,,,
2020-09-24 20:43:21.929992+00:00,,,,,,,
2020-09-24 20:43:21.937992+00:00,,,,,,,
2020-09-24 20:43:21.945992+00:00,,,,,,,
2020-09-24 20:43:21.953992+00:00,,,,,,,
2020-09-24 20:43:21.961992+00:00,,,,,,,
2020-09-24 20:43:21.969992+00:00,,,,,,,
2020-09-24 20:43:21.977992+00:00,,,,,,,
2020-09-24 20:43:21.985992+00:00,,,,,,,
2020-09-24 20:43:21.993992+00:00,,,,,,,
2020-09-24 20:43:22.001992+00:00,,,,,,,
2020-09-24 20:43:22.009992+00:00,,,,,,,
2020-09-24 20:43:22.017992+00:00,,,,,,,
2020-09-24 20:43:22.025992+00:00,,,,,,,
2020-09-24 20:43:22.033992+00:00,,,,,,,
2020-09-24 20:43:22.041992+00:00,,,,,,,
2020-09-24 20:43:22.049992+00:00,,,,,,,
2020-09-24 20:43:22.057992+00:00,,,,,,,
2020-09-24 20:43:22.065992+00:00,,,,,,,
2020-09-24 20:43:22.073992+00:00,,,,,,,
2020-09-24 20:43:22.081992+00:00,,,,,,,
2020-09-24 20:43:22.089992+00:00,,,,,,,
2020-09-24 20:43:22.097992+00:00,,,,,,,
2020-09-24 20:43:22.105992+00:00,,,,,,,
2020-09-24 20:43:22.113992+00:00,,,,,,,
2020-09-24 20:43:22.121992+00:00,,,,,,,
2020-09-24 20:43:22.129992+00:00,,,,,,,
2020-09-24 20:43:22.137992+00:00,,,,,,,
2020-09-24 20:43:22.145992+00:00,,,,,,,
2020-09-24 20:43:22.153992+00:00,,,,,,,
2020-09-24 20:43:22.161992+00:00,,,,,,,
2020-09-24 20:43:22.169992+00:00,,,,,,,
2020-09-24 20:43:22.177992+00:00,,,,,,,
2020-09-24 20:43:22.185992+00:00,,,,,,,
2020-09-24 20:43:22.193992+00:00,,,,,,,
2020-09-24 20:43:22.201992+00:00,,,,,,,
2020-09-24 20:43:22.209992+00:00,,,,,,,
2020-09-24 20:43:22.217992+00:00,,,,,,,
2020-09-24 20:43:22.225992+00:00,,,,,,,
2020-09-24 20:43:22.233992+00:00,,,,,,,
2020-09-24 20:43:22.241992+00:00,,,,,,,
2020-09-24 20:43:22.249992+00:00,,,,,,,
2020-09-24 20:43:22.257992+00:00,,,,,,,
2020-09-24 20:43:22.265992+00:00,,,,,,,
2020-09-24 20:43:22.273992+00:00,,,,,,,
2020-09-24 20:43:22.281992+00:00,,,,,,,
2020-09-24 20:43:22.289992+00:00,,,,,,,
2020-09-24 20:43:22.297992+00:00,,,,,,,
2020-09-24 20:43:22.305992+00:00,,,,,,,
2020-09-24 20:43:22.313992+00:00,,,,,,,
2020-09-24 20:43:22.321992+00:00,,,,,,,
2020-09-24 20:43:22.329992+00:00,,,,,,,
2020-09-24 20:43:22.337992+00:00,,,,,,,
2020-09-24 20:43:22.345992+00:00,,,,,,,
2020-09-24 20:43:22.353992+00:00,,,,,,,
2020-09-24 20:43:22.361992+00:00,,,,,,,
2020-09-24 20:43:22.369992+00:00,,,,,,,
2020-09-24 20:43:22.377992+00:00,,,,,,,
2020-09-24 20:43:22.385992+00:00,,,,,,,
2020-09-24 20:43:22.393992+00:00,,,,,,,
2020-09-24 20:43:22.401992+00:00,,,,,,,
2020-09-24 20:43:22.409992+00:00,,,,,,,
2020-09-24 20:43:22.417992+00:00,,,,,,,
2020-09-24 20:43:22.425992+00:00,,,,,,,
2020-09-24 20:43:22.433992+00:00,,,,,,,
2020-09-24 20:43:22.441992+00:00,,,,,,,
2020-09-24 20:43:22.449992+00:00,,,,,,,
2020-09-24 20:43:22.457992+00:00,,,,,,,
2020-09-24 20:43:22.465992+00:00,,,,,,,
2020-09-24 20:43:22.473992+00:00,,,,,,,
2020-09-24 20:43:22.481992+00:00,,,,,,,
2020-09-24 20:43:22.489992+00:00,,,,,,,
2020-09-24 20:43:22.497992+00:00,,,,,,,
2020-09-24 20:43:22.505992+00:00,,,,,,,
2020-09-24 20:43:22.513992+00:00,,,,,,,
2020-09-24 20:43:22.521992+00:00,,,,,,,
2020-09-24 20:43:22.529992+00:00,,,,,,,
2020-09-24 20:43:22.537992+00:00,,,,,,,
2020-09-24 20:43:22.545992+00:00,,,,,,,
2020-09-24 20:43:22.553992+00:00,,,,,,,
2020-09-24 20:43:22.561992+00:00,,,,,,,
2020-09-24 20:43:22.569992+00:00,,,,,,,
2020-09-24 20:43:22.577992+00:00,,,,,,,
2020-09-24 20:43:22.585992+00:00,,,,,,,
2020-09-24 20:43:22.593992+00:00,,,,,,,
2020-09-24 20:43:22.601992+00:00,,,,,,,
2020-09-24 20:43:22.609992+00:00,,,,,,,
2020-09-24 20:43:22.617992+00:00,,,537.4,544.0,564.3,584.1,368.9
2020-09-24 20:43:22.625992+00:00,,,537.0,544.3,564.8,584.2,369.4
2020-09-24 20:43:22.633992+00:00,,,537.2,544.1,565.0,583.7,368.6
2020-09-24 20:43:22.641992+00:00,,,537.0,543.5,565.3,586.1,369.1
2020-09-24 20:43:22.649992+00:00,,,531.6,535.3,557.9,579.3,367.5
2020-09-24 20:43:22.657992+00:00,,,535.4,542.1,564.9,585.2,371.1
2020-09-24 20:43:22.665992+00:00,,,536.8,542.1,564.0,584.8,369.0
2020-09-24 20:43:22.673992+00:00,,,537.2,542.4,563.2,582.1,367.2
2020-09-24 20:43:22.681992+00:00,,,536.6,543.7,565.9,583.7,369.4
2020-09-24 20:43:22.689992+00:00,,,537.9,543.4,565.2,584.8,368.5
2020-09-24 20:43:22.697992+00:00,,,535.4,540.3,559.9,578.5,364.6
2020-09-24 20:43:22.705992+00:00,,,537.6,542.8,564.1,585.4,369.0
2020-09-24 20:43:22.713992+00:00,,,538.7,543.7,565.1,585.9,368.3
2020-09-24 20:43:22.721992+00:00,,,537.4,543.7,565.2,584.6,369.3
2020-09-24 20:43:22.729992+00:00,,,535.5,542.8,566.0,584.2,370.0
2020-09-24 20:43:22.737992+00:00,,,536.8,543.2,563.8,583.9,369.3
2020-09-24 20:43:22.745992+00:00,,,539.9,545.1,567.0,585.6,369.2
2020-09-24 20:43:22.753992+00:00,,,538.1,543.4,565.1,584.5,368.6
2020-09-24 20:43:22.761992+00:00,,,538.2,543.3,565.3,584.7,368.8
2020-09-24 20:43:22.769992+00:00,,,538.1,543.5,565.7,584.4,368.8
2020-09-24 20:43:22.777992+00:00,,,537.7,543.8,565.3,584.2,369.1
2020-09-24 20:43:22.785992+00:00,,,531.9,537.4,559.4,578.0,362.5
2020-09-24 20:43:22.793992+00:00,,,549.9,553.4,573.8,592.6,372.0
2020-09-24 20:43:22.801992+00:00,,,536.6,543.0,564.8,584.5,370.3
2020-09-24 20:43:22.809992+00:00,,,536.3,542.7,565.3,584.2,369.9
2020-09-24 20:43:22.817992+00:00,,,537.5,542.6,564.8,585.3,369.3
2020-09-24 20:43:22.825992+00:00,,,536.2,542.5,564.9,584.7,370.0
2020-09-24 20:43:22.833992+00:00,,,536.2,542.4,564.9,584.1,369.1
2020-09-24 20:43:22.841992+00:00,,,537.6,544.0,564.4,584.9,369.2
2020-09-24 20:43:22.849992+00:00,,,536.4,543.3,564.6,584.1,370.0
2020-09-24 20:43:22.857992+00:00,,,537.6,544.7,565.8,585.1,368.5
2020-09-24 20:43:22.865992+00:00,,,537.2,542.9,566.3,586.2,368.8
2020-09-24 20:43:22.873992+00:00,,,538.3,542.0,563.2,582.9,367.4
2020-09-24 20:43:22.881992+00:00,,,537.3,542.7,566.2,583.9,368.7
2020-09-24 20:43:22.889992+00:00,,,537.3,543.2,564.6,585.2,369.5
2020-09-24 20:43:22.897992+00:00,,,537.2,543.5,564.1,584.8,369.1
2020-09-24 20:43:22.905992+00:00,,,537.6,542.5,563.9,583.3,368.3
2020-09-24 20:43:22.913992+00:00,,,537.7,542.9,564.1,584.1,369.2
2020-09-24 20:43:22.921992+00:00,,,539.9,546.0,567.7,586.8,370.3
2020-09-24 20:43:22.929992+00:00,,,538.1,543.9,564.4,585.1,368.5
2020-09-24 20:43:22.937992+00:00,,,538.6,543.8,565.8,585.4,369.2
2020-09-24 20:43:22.945992+00:00,,,538.2,543.1,565.3,585.4,368.1
2020-09-24 20:43:22.953992+00:00,,,537.7,543.0,566.1,584.8,369.8
2020-09-24 20:43:22.961992+00:00,,,536.5,543.6,565.7,585.2,370.4
2020-09-24 20:43:22.969992+00:00,,,539.9,545.0,568.1,585.9,368.3
2020-09-24 20:43:22.977992+00:00,,,538.3,543.9,565.5,582.4,367.7
2020-09-24 20:43:22.985992+00:00,,,538.1,542.5,564.2,583.5,368.8
2020-09-24 20:43:22.993992+00:00,,,538.1,542.5,564.6,583.1,368.2
2020-09-24 20:43:23.001992+00:00,,,538.38,544.31,563.83,584.25,367.85
2020-09-24 20:43:23.009992+00:00,,,537.15,543.16,566.07,585.02,369.51
2020-09-24 20:43:23.017992+00:00,,,536.5,543.54,566.18,585.17,368.81
2020-09-24 20:43:23.025992+00:00,,,536.69,543.75,565.78,584.2,370.13
2020-09-24 20:43:23.033992+00:00,,,536.63,542.3,565.06,584.47,369.11
2020-09-24 20:43:23.041992+00:00,,,538.27,543.65,564.85,583.21,367.73
2020-09-24 20:43:23.049992+00:00,,,538.75,543.65,565.83,583.81,368.83
2020-09-24 20:43:23.057992+00:00,,,536.97,542.84,563.32,581.05,365.92
2020-09-24 20:43:23.065992+00:00,,,537.75,544.49,566.14,585.28,369.27
2020-09-24 20:43:23.073992+00:00,,,538.72,542.66,564.34,583.73,367.84
2020-09-24 20:43:23.081992+00:00,,,538.69,543.43,564.75,584.04,368.04
2020-09-24 20:43:23.089992+00:00,,,538.37,543.49,565.83,584.7,368.8
2020-09-24 20:43:23.097992+00:00,,,537.13,543.18,565.66,584.18,368.61
2020-09-24 20:43:23.105992+00:00,,,535.35,542.69,564.6,584.33,369.56
2020-09-24 20:43:23.113992+00:00,,,535.46,542.59,565.32,585.22,370.38
2020-09-24 20:43:23.121992+00:00,,,536.88,542.09,565.08,584.97,369.29
2020-09-24 20:43:23.129992+00:00,,,535.64,542.21,564.8,584.3,369.91
2020-09-24 20:43:23.137992+00:00,,,537.9,542.28,564.69,584.35,368.69
2020-09-24 20:43:23.145992+00:00,,,537.57,543.15,565.64,583.58,366.72
2020-09-24 20:43:23.153992+00:00,,,543.09,546.67,569.3,587.04,369.18
2020-09-24 20:43:23.161992+00:00,,,537.45,542.6,566.11,585.23,369.17
2020-09-24 20:43:23.169992+00:00,,,537.81,543.0,566.2,584.88,368.37
2020-09-24 20:43:23.177992+00:00,,,538.03,543.14,566.86,585.79,369.12
2020-09-24 20:43:23.185992+00:00,,,537.16,542.21,565.78,584.94,368.72
2020-09-24 20:43:23.193992+00:00,,,521.51,525.66,548.68,566.8,358.58
2020-09-24 20:43:23.201992+00:00,,,536.88,543.07,567.53,587.15,370.61
2020-09-24 20:43:23.209992+00:00,,,537.3,541.04,566.35,584.79,368.88
2020-09-24 20:43:23.217992+00:00,,,537.33,541.45,566.42,584.11,369.14
2020-09-24 20:43:23.225992+00:00,,,537.29,541.17,565.8,584.27,369.28
2020-09-24 20:43:23.233992+00:00,,,537.32,541.25,566.85,587.06,368.67
2020-09-24 20:43:23.241992+00:00,,,537.68,542.93,567.07,586.0,368.64
2020-09-24 20:43:23.249992+00:00,,,537.01,542.59,566.64,584.07,369.45
2020-09-24 20:43:23.257992+00:00,,,538.01,542.46,568.0,584.64,367.61
2020-09-24 20:43:23.265992+00:00,,,536.83,540.76,567.0,585.43,369.76
2020-09-24 20:43:23.273992+00:00,,,536.59,541.36,568.13,586.35,369.58
2020-09-24 20:43:23.281992+00:00,,,539.66,542.4,567.78,587.07,369.37
2020-09-24 20:43:23.289992+00:00,1.3630936257890545,-1.3843197964210603,538.18,541.46,567.59,585.25,368.51
2020-09-24 20:43:23.297992+00:00,1.2693972317602986,-1.1298056211182752,536.09,540.55,567.08,585.43,369.52
2020-09-24 20:43:23.305992+00:00,1.319735939771508,-1.0126687443589308,537.01,539.74,567.03,585.8,369.53
2020-09-24 20:43:23.313992+00:00,1.1014057469027716,-1.0938300205193126,535.71,540.5,567.35,585.24,369.92
2020-09-24 20:43:23.321992+00:00,1.0949005849741253,-0.8533241949033507,537.02,539.15,568.07,586.26,368.22
2020-09-24 20:43:23.329992+00:00,1.0576389106332948,-1.1066663387031468,545.18,548.03,575.47,593.21,373.43
2020-09-24 20:43:23.337992+00:00,1.0522639503399551,-0.975556400184978,537.39,540.57,568.03,587.32,369.04
2020-09-24 20:43:23.345992+00:00,1.0925403058818033,-0.8405848614912201,537.94,540.74,570.08,587.22,368.43
2020-09-24 20:43:23.353992+00:00,0.882251087444706,-0.9638710993892632,537.55,540.88,569.27,586.59,368.69
2020-09-24 20:43:23.361992+00:00,0.8378343829092731,-0.7608553922350156,537.77,541.92,568.93,587.56,369.1
2020-09-24 20:43:23.369992+00:00,0.808581709374691,-0.8253690020147967,530.27,534.79,566.48,588.49,371.7
2020-09-24 20:43:23.377992+00:00,0.7246630488979061,-1.0543488337786462,536.39,538.28,568.39,587.79,369.45
2020-09-24 20:43:23.385992+00:00,0.6073628589539812,-0.833329299918997,536.93,540.02,569.39,588.1,369.76
2020-09-24 20:43:23.393992+00:00,0.6091269675580605,-0.9791078615600847,538.43,539.52,569.0,587.7,368.23
2020-09-24 20:43:23.401992+00:00,0.5286975323563619,-0.9814442487553747,538.18,539.42,569.8,588.38,368.29
2020-09-24 20:43:23.409992+00:00,0.21881922512824142,-1.0565959316517841,538.69,539.95,570.09,588.98,368.04
2020-09-24 20:43:23.417992+00:00,0.024370601499986627,-0.978393995486017,535.31,535.76,568.41,588.52,368.78
2020-09-24 20:43:23.425992+00:00,-0.0015710835764693593,-1.004323357540556,538.82,538.87,570.09,589.1,367.5
2020-09-24 20:43:23.433992+00:00,-0.4471254542061722,-0.9341902385170948,539.07,537.94,569.85,589.09,367.12
