Time,R_IEV,R_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL
2020-09-24 21:44:18.385805+00:00,,,,,,,
2020-09-24 21:44:18.393805+00:00,,,,,,,
2020-09-24 21:44:18.401805+00:00,,,,,,,
2020-09-24 21:44:18.409805+00:00,,,,,,,
2020-09-24 21:44:18.417805+00:00,,,,,,,
2020-09-24 21:44:18.425805+00:00,,,,,,,
2020-09-24 21:44:18.433805+00:00,,,,,,,
2020-09-24 21:44:18.441805+00:00,,,,,,,
2020-09-24 21:44:18.449805+00:00,,,,,,,
2020-09-24 21:44:18.457805+00:00,,,,,,,
2020-09-24 21:44:18.465805+00:00,,,,,,,
2020-09-24 21:44:18.473805+00:00,,,,,,,
2020-09-24 21:44:18.481805+00:00,,,,,,,
2020-09-24 21:44:18.489805+00:00,,,,,,,
2020-09-24 21:44:18.497805+00:00,,,,,,,
2020-09-24 21:44:18.505805+00:00,,,,,,,
2020-09-24 21:44:18.513805+00:00,,,,,,,
2020-09-24 21:44:18.521805+00:00,,,,,,,
2020-09-24 21:44:18.529805+00:00,,,,,,,
2020-09-24 21:44:18.537805+00:00,,,,,,,
2020-09-24 21:44:18.545805+00:00,,,,,,,
2020-09-24 21:44:18.553805+00:00,,,,,,,
2020-09-24 21:44:18.561805+00:00,,,,,,,
2020-09-24 21:44:18.569805+00:00,,,,,,,
2020-09-24 21:44:18.577805+00:00,,,,,,,
2020-09-24 21:44:18.585805+00:00,,,,,,,
2020-09-24 21:44:18.593805+00:00,,,,,,,
2020-09-24 21:44:18.601805+00:00,,,,,,,
2020-09-24 21:44:18.609805+00:00,,,,,,,
2020-09-24 21:44:18.617805+00:00,,,,,,,
2020-09-24 21:44:18.625805+00:00,,,,,,,
2020-09-24 21:44:18.633805+00:00,,,,,,,
2020-09-24 21:44:18.641805+00:00,,,,,,,
2020-09-24 21:44:18.649805+00:00,,,,,,,
2020-09-24 21:44:18.657805+00:00,,,,,,,
2020-09-24 21:44:18.665805+00:00,,,,,,,
2020-09-24 21:44:18.673805+00:00,,,,,,,
2020-09-24 21:44:18.681805+00:00,,,,,,,
2020-09-24 21:44:18.689805+00:00,,,,,,,
2020-09-24 21:44:18.697805+00:00,,,,,,,
2020-09-24 21:44:18.705805+00:00,,,,,,,
2020-09-24 21:44:18.713805+00:00,,,,,,,
2020-09-24 21:44:18.721805+00:00,,,,,,,
2020-09-24 21:44:18.729805+00:00,,,,,,,
2020-09-24 21:44:18.737805+00:00,,,,,,,
2020-09-24 21:44:18.745805+00:00,,,,,,,
2020-09-24 21:44:18.753805+00:00,,,,,,,
2020-09-24 21:44:18.761805+00:00,,,,,,,
2020-09-24 21:44:18.769805+00:00,,,,,,,
2020-09-24 21:44:18.777805+00:00,,,,,,,
2020-09-24 21:44:18.785805+00:00,,,,,,,
2020-09-24 21:44:18.793805+00:00,,,,,,,
2020-09-24 21:44:18.801805+00:00,,,,,,,
2020-09-24 21:44:18.809805+00:00,,,,,,,
2020-09-24 21:44:18.817805+00:00,,,,,,,
2020-09-24 21:44:18.825805+00:00,,,,,,,
2020-09-24 21:44:18.833805+00:00,,,,,,,
2020-09-24 21:44:18.841805+00:00,,,,,,,
2020-09-24 21:44:18.849805+00:00,,,,,,,
2020-09-24 21:44:18.857805+00:00,,,,,,,
2020-09-24 21:44:18.865805+00:00,,,,,,,
2020-09-24 21:44:18.873805+00:00,,,,,,,
2020-09-24 21:44:18.881805+00:00,,,,,,,
2020-09-24 21:44:18.889805+00:00,,,,,,,
2020-09-24 21:44:18.897805+00:00,,,,,,,
2020-09-24 21:44:18.905805+00:00,,,,,,,
2020-09-24 21:44:18.913805+00:00,,,,,,,
2020-09-24 21:44:18.921805+00:00,,,,,,,
2020-09-24 21:44:18.929805+00:00,,,,,,,
2020-09-24 21:44:18.937805+00:00,,,,,,,
2020-09-24 21:44:18.945805+00:00,,,,,,,
2020-09-24 21:44:18.953805+00:00,,,,,,,
2020-09-24 21:44:18.961805+00:00,,,,,,,
2020-09-24 21:44:18.969805+00:00,,,,,,,
2020-09-24 21:44:18.977805+00:00,,,,,,,
2020-09-24 21:44:18.985805+00:00,,,,,,,
2020-09-24 21:44:18.993805+00:00,,,,,,,
2020-09-24 21:44:19.001805+00:00,,,,,,,
2020-09-24 21:44:19.009805+00:00,,,,,,,
2020-09-24 21:44:19.017805+00:00,,,,,,,
2020-09-24 21:44:19.025805+00:00,,,,,,,
2020-09-24 21:44:19.033805+00:00,,,,,,,
2020-09-24 21:44:19.041805+00:00,,,,,,,
2020-09-24 21:44:19.049805+00:00,,,,,,,
2020-09-24 21:44:19.057805+00:00,,,,,,,
2020-09-24 21:44:19.065805+00:00,,,,,,,
2020-09-24 21:44:19.073805+00:00,,,,,,,
2020-09-24 21:44:19.081805+00:00,,,,,,,
2020-09-24 21:44:19.089805+00:00,,,,,,,
2020-09-24 21:44:19.097805+00:00,,,,,,,
2020-09-24 21:44:19.105805+00:00,,,,,,,
2020-09-24 21:44:19.113805+00:00,,,,,,,
2020-09-24 21:44:19.121805+00:00,,,,,,,
2020-09-24 21:44:19.129805+00:00,,,,,,,
2020-09-24 21:44:19.137805+00:00,,,,,,,
2020-09-24 21:44:19.145805+00:00,,,,,,,
2020-09-24 21:44:19.153805+00:00,,,554.2,534.7,514.1,562.0,365.0
2020-09-24 21:44:19.161805+00:00,,,554.7,534.1,512.7,561.3,366.1
2020-09-24 21:44:19.169805+00:00,,,555.3,534.1,512.5,560.9,365.8
2020-09-24 21:44:19.177805+00:00,,,555.0,534.1,512.7,560.7,366.2
2020-09-24 21:44:19.185805+00:00,,,555.0,534.2,513.1,561.7,365.6
2020-09-24 21:44:19.193805+00:00,,,554.6,534.1,514.1,562.2,367.1
2020-09-24 21:44:19.201805+00:00,,,555.5,534.3,512.6,560.9,365.9
2020-09-24 21:44:19.209805+00:00,,,554.9,533.9,513.1,562.1,365.8
2020-09-24 21:44:19.217805+00:00,,,555.5,534.0,512.7,560.2,365.9
2020-09-24 21:44:19.225805+00:00,,,555.6,534.4,513.2,561.1,365.5
2020-09-24 21:44:19.233805+00:00,,,555.3,533.8,512.2,560.7,365.4
2020-09-24 21:44:19.241805+00:00,,,554.7,534.8,514.0,560.9,364.7
2020-09-24 21:44:19.249805+00:00,,,555.0,534.2,512.5,561.3,366.0
2020-09-24 21:44:19.257805+00:00,,,555.1,533.9,512.4,561.4,366.2
2020-09-24 21:44:19.265805+00:00,,,555.0,533.9,512.5,561.9,365.7
2020-09-24 21:44:19.273805+00:00,,,555.1,533.8,512.2,561.3,366.6
2020-09-24 21:44:19.281805+00:00,,,556.0,534.2,512.4,560.9,366.1
2020-09-24 21:44:19.289805+00:00,,,556.2,535.4,512.6,560.9,364.7
2020-09-24 21:44:19.297805+00:00,,,556.1,533.1,511.4,560.9,366.2
2020-09-24 21:44:19.305805+00:00,,,554.0,533.3,512.4,562.3,366.2
2020-09-24 21:44:19.313805+00:00,,,554.7,533.2,511.2,560.9,366.9
2020-09-24 21:44:19.321805+00:00,,,555.4,534.9,514.1,562.1,365.5
2020-09-24 21:44:19.329805+00:00,,,555.4,533.2,512.3,560.4,364.8
2020-09-24 21:44:19.337805+00:00,,,565.6,544.0,521.8,572.3,372.7
2020-09-24 21:44:19.345805+00:00,,,555.7,534.5,512.3,561.3,366.0
2020-09-24 21:44:19.353805+00:00,,,555.4,534.1,512.5,561.2,366.1
2020-09-24 21:44:19.361805+00:00,,,555.8,534.5,512.4,560.8,365.5
2020-09-24 21:44:19.369805+00:00,,,555.4,533.4,512.1,561.6,366.6
2020-09-24 21:44:19.377805+00:00,,,554.2,533.6,512.5,560.7,364.5
2020-09-24 21:44:19.385805+00:00,,,555.7,534.6,512.3,560.8,365.4
2020-09-24 21:44:19.393805+00:00,,,555.6,533.7,512.0,560.4,366.1
2020-09-24 21:44:19.401805+00:00,,,555.9,534.3,512.2,561.0,365.5
2020-09-24 21:44:19.409805+00:00,,,555.2,534.0,512.2,561.8,366.1
2020-09-24 21:44:19.417805+00:00,,,556.3,534.0,510.8,560.7,365.8
2020-09-24 21:44:19.425805+00:00,,,555.7,534.1,512.0,561.4,366.0
2020-09-24 21:44:19.433805+00:00,,,555.5,533.7,511.7,561.1,366.3
2020-09-24 21:44:19.441805+00:00,,,555.7,533.7,511.9,560.8,366.1
2020-09-24 21:44:19.449805+00:00,,,555.7,534.1,512.0,561.0,365.9
2020-09-24 21:44:19.457805+00:00,,,555.6,534.1,512.5,561.2,365.7
2020-09-24 21:44:19.465805+00:00,,,553.8,533.3,512.6,562.8,367.2
2020-09-24 21:44:19.473805+00:00,,,555.7,533.5,511.1,561.3,365.9
2020-09-24 21:44:19.481805+00:00,,,555.5,533.8,512.1,561.7,366.3
2020-09-24 21:44:19.489805+00:00,,,555.9,534.4,511.7,560.8,365.9
2020-09-24 21:44:19.497805+00:00,,,555.3,533.8,511.8,560.9,366.0
2020-09-24 21:44:19.505805+00:00,,,555.4,534.2,512.1,561.5,366.5
2020-09-24 21:44:19.513805+00:00,,,553.6,532.3,511.1,561.6,366.1
2020-09-24 21:44:19.521805+00:00,,,555.4,533.2,511.0,561.3,366.3
2020-09-24 21:44:19.529805+00:00,,,556.1,534.0,511.5,561.2,366.1
2020-09-24 21:44:19.537805+00:00,,,555.89,533.49,512.11,561.1,366.2
2020-09-24 21:44:19.545805+00:00,,,555.8,533.39,511.89,561.21,366.2
2020-09-24 21:44:19.553805+00:00,,,555.81,533.32,511.58,561.39,366.2
2020-09-24 21:44:19.561805+00:00,,,556.12,534.22,511.2,561.1,366.1
