Time,R_IEV,R_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL
2020-09-29 21:44:12.222183+00:00,,,548.0,516.19,507.7,568.72,367.41
2020-09-29 21:44:12.230183+00:00,,,548.0,515.18,507.37,569.21,367.71
2020-09-29 21:44:12.238183+00:00,,,548.21,515.5,506.69,568.97,367.8
2020-09-29 21:44:12.246183+00:00,,,548.3,515.0,507.02,568.4,367.59
2020-09-29 21:44:12.254183+00:00,,,548.32,515.72,507.29,568.69,367.4
2020-09-29 21:44:12.262183+00:00,,,548.23,515.37,507.56,568.66,367.18
2020-09-29 21:44:12.270183+00:00,,,545.98,515.02,508.97,570.4,366.73
2020-09-29 21:44:12.278183+00:00,,,547.85,515.75,507.11,568.7,367.65
2020-09-29 21:44:12.286183+00:00,,,548.61,515.77,507.32,568.75,367.82
2020-09-29 21:44:12.294183+00:00,,,548.6,515.41,507.07,568.96,368.08
2020-09-29 21:44:12.302183+00:00,,,548.45,515.69,507.17,568.41,367.46
2020-09-29 21:44:12.310183+00:00,,,547.78,515.42,507.99,569.03,367.31
2020-09-29 21:44:12.318183+00:00,,,548.01,515.77,507.18,568.89,367.5
2020-09-29 21:44:12.326183+00:00,,,548.15,515.22,507.36,568.64,367.39
2020-09-29 21:44:12.334183+00:00,,,548.78,516.02,506.5,567.9,367.52
2020-09-29 21:44:12.342183+00:00,,,547.84,515.58,507.6,568.77,367.68
2020-09-29 21:44:12.350183+00:00,,,547.95,515.46,507.93,568.96,367.43
2020-09-29 21:44:12.358183+00:00,,,548.49,515.05,506.8,568.41,367.99
2020-09-29 21:44:12.366183+00:00,,,547.99,516.0,507.74,569.13,367.39
2020-09-29 21:44:12.374183+00:00,,,548.21,515.29,507.36,568.85,367.82
2020-09-29 21:44:12.382183+00:00,,,548.09,515.69,507.08,568.39,367.69
2020-09-29 21:44:12.390183+00:00,,,548.22,515.22,507.26,568.52,367.83
2020-09-29 21:44:12.398183+00:00,,,548.51,515.89,508.11,568.82,367.84
2020-09-29 21:44:12.406183+00:00,,,548.39,515.18,507.58,568.87,367.02
2020-09-29 21:44:12.414183+00:00,,,548.41,515.52,507.58,568.51,368.15
2020-09-29 21:44:12.422183+00:00,,,548.5,515.38,507.07,568.65,367.98
2020-09-29 21:44:12.430183+00:00,,,548.53,515.43,507.13,567.92,367.88
2020-09-29 21:44:12.438183+00:00,,,548.76,516.07,507.64,568.57,367.23
2020-09-29 21:44:12.446183+00:00,,,547.88,516.09,507.91,568.35,367.47
2020-09-29 21:44:12.454183+00:00,,,548.32,514.38,508.0,570.93,369.56
2020-09-29 21:44:12.462183+00:00,,,548.18,515.7,507.99,568.97,367.2
2020-09-29 21:44:12.470183+00:00,,,548.22,515.98,507.9,568.81,367.73
2020-09-29 21:44:12.478183+00:00,,,548.39,515.58,507.76,568.8,367.37
2020-09-29 21:44:12.486183+00:00,,,548.32,515.74,507.44,569.02,367.04
2020-09-29 21:44:12.494183+00:00,,,548.57,516.21,508.21,569.09,366.45
2020-09-29 21:44:12.502183+00:00,,,548.0,515.86,507.69,568.88,367.76
2020-09-29 21:44:12.510183+00:00,,,548.51,515.61,508.01,568.7,367.46
2020-09-29 21:44:12.518183+00:00,,,548.06,515.77,507.55,569.04,367.42
2020-09-29 21:44:12.526183+00:00,,,548.05,515.09,507.1,569.28,367.72
2020-09-29 21:44:12.534183+00:00,,,547.84,515.16,507.8,569.17,367.8
2020-09-29 21:44:12.542183+00:00,,,545.85,514.63,508.68,570.06,367.79
2020-09-29 21:44:12.550183+00:00,,,548.4,515.75,507.76,568.64,367.71
2020-09-29 21:44:12.558183+00:00,,,547.76,515.59,508.03,569.04,367.67
2020-09-29 21:44:12.566183+00:00,,,548.01,515.93,508.1,568.97,367.08
2020-09-29 21:44:12.574183+00:00,,,547.68,515.73,507.84,568.96,367.46
2020-09-29 21:44:12.582183+00:00,,,547.85,514.92,506.86,569.79,368.1
2020-09-29 21:44:12.590183+00:00,,,548.41,515.83,507.17,568.83,367.68
2020-09-29 21:44:12.598183+00:00,,,548.32,515.74,507.92,568.37,367.59
2020-09-29 21:44:12.606183+00:00,,,548.57,516.5,507.8,568.12,367.29
2020-09-29 21:44:12.614183+00:00,,,547.77,515.75,507.77,568.62,367.55
2020-09-29 21:44:12.622183+00:00,,,547.78,515.85,507.66,568.98,368.11
2020-09-29 21:44:12.630183+00:00,,,547.43,516.28,508.7,569.87,367.78
2020-09-29 21:44:12.638183+00:00,,,548.23,515.56,507.48,568.41,367.7
2020-09-29 21:44:12.646183+00:00,,,548.34,515.88,506.95,568.21,367.47
2020-09-29 21:44:12.654183+00:00,,,548.76,516.68,507.92,568.43,367.36
2020-09-29 21:44:12.662183+00:00,,,547.82,515.84,507.51,568.46,367.61
2020-09-29 21:44:12.670183+00:00,,,547.57,515.89,508.03,568.26,366.73
2020-09-29 21:44:12.678183+00:00,,,547.45,515.57,507.49,569.01,367.76
2020-09-29 21:44:12.686183+00:00,,,548.15,515.64,506.93,568.45,367.48
2020-09-29 21:44:12.694183+00:00,,,548.2,515.89,507.66,568.53,367.47
2020-09-29 21:44:12.702183+00:00,,,547.89,515.56,507.83,568.85,367.24
2020-09-29 21:44:12.710183+00:00,,,547.54,515.54,507.81,568.67,367.69
2020-09-29 21:44:12.718183+00:00,,,548.85,515.78,506.87,567.73,367.18
2020-09-29 21:44:12.726183+00:00,-1.434374650937891,-10.26565077526591,547.47,515.24,507.37,568.75,367.56
2020-09-29 21:44:12.734183+00:00,-1.8036399707509916,-10.011471960942274,548.62,515.12,507.46,568.23,367.91
2020-09-29 21:44:12.742183+00:00,-1.5839816058148908,-11.127227398780828,548.78,515.42,507.08,567.99,367.62
2020-09-29 21:44:12.750183+00:00,-1.5143510662820123,-10.416446272946157,548.15,515.51,507.35,568.29,367.1
2020-09-29 21:44:12.758183+00:00,-1.1315432354931565,-11.046529950526601,547.51,515.73,507.45,569.02,367.84
2020-09-29 21:44:12.766183+00:00,-1.166733973532538,-11.109936906317943,549.33,516.06,506.89,568.25,368.3
2020-09-29 21:44:12.774183+00:00,-1.1001545087047657,-11.040571739710986,549.01,516.4,507.08,567.4,366.95
2020-09-29 21:44:12.782183+00:00,-1.0191424902841755,-10.760539633179445,548.47,516.19,506.83,567.95,367.43
2020-09-29 21:44:12.790183+00:00,-1.1263911340659116,-9.587207148166927,548.37,516.04,507.28,568.16,367.31
2020-09-29 21:44:12.798183+00:00,-1.2123806599931621,-10.05416954921933,547.96,515.78,507.2,569.01,367.74
2020-09-29 21:44:12.806183+00:00,-1.1561906762620822,-10.279322054016685,547.79,515.46,507.18,568.67,367.66
2020-09-29 21:44:12.814183+00:00,-0.90384489649835,-11.259308500527826,547.83,512.54,504.2,567.09,367.41
2020-09-29 21:44:12.822183+00:00,-1.020916397577063,-11.665349301215311,548.52,515.54,506.4,569.2,367.74
2020-09-29 21:44:12.830183+00:00,-1.1382106083613988,-10.751560974036366,549.31,515.46,505.3,568.42,367.91
2020-09-29 21:44:12.838183+00:00,-0.7962447048457384,-11.508707529376538,549.42,515.75,505.14,568.38,367.76
2020-09-29 21:44:12.846183+00:00,-0.5862086672330815,-12.421423781367228,550.34,515.62,504.35,568.24,367.51
2020-09-29 21:44:12.854183+00:00,-0.6798096116082883,-12.712572028771268,549.19,515.02,504.39,568.96,367.54
2020-09-29 21:44:12.862183+00:00,-0.8666584302962257,-12.82159829933672,550.45,515.63,503.64,569.11,367.01
2020-09-29 21:44:12.870183+00:00,-1.7727205357642852,-12.35963908181496,551.17,515.5,502.3,569.07,367.51
2020-09-29 21:44:12.878183+00:00,-2.1464236413089006,-12.30345825740584,552.17,515.57,501.68,568.78,367.18
2020-09-29 21:44:12.886183+00:00,-1.4977204838785407,-12.66472738210586,553.63,515.05,499.69,568.67,367.58
2020-09-29 21:44:12.894183+00:00,-2.245783008881343,-11.693900013417652,554.54,515.58,498.0,569.09,367.15
2020-09-29 21:44:12.902183+00:00,-2.8085994564110917,-11.619775403613572,556.62,517.05,498.08,570.44,365.36
2020-09-29 21:44:12.910183+00:00,-2.252368015408955,-12.074945549429499,558.81,516.42,494.53,568.68,367.44
2020-09-29 21:44:12.918183+00:00,-1.3240723834888528,-12.715099559455176,559.54,516.19,492.33,568.81,367.17
2020-09-29 21:44:12.926183+00:00,-0.6003327592238915,-15.587298546763659,563.02,515.95,489.84,568.59,367.29
2020-09-29 21:44:12.934183+00:00,-0.3425302437077412,-16.232841899409014,565.9,515.6,487.56,568.72,367.26
2020-09-29 21:44:12.942183+00:00,-0.10311791461737907,-16.291250371408015,568.53,515.95,484.66,568.54,367.64
2020-09-29 21:44:12.950183+00:00,0.02929880825653044,-17.827094340311607,571.27,516.33,484.02,568.23,366.8
2020-09-29 21:44:12.958183+00:00,0.19257250888124644,-18.970091461408245,573.51,516.51,483.59,568.7,367.41
2020-09-29 21:44:12.966183+00:00,0.20429516420019525,-18.46112848858511,576.7,516.49,481.23,568.53,366.84
2020-09-29 21:44:12.974183+00:00,0.34627273825493515,-18.827974245214186,580.11,516.27,480.71,568.85,366.96
2020-09-29 21:44:12.982183+00:00,0.6254569267766952,-20.34236830671024,582.9,516.1,479.76,568.35,367.26
2020-09-29 21:44:12.990183+00:00,0.8720433560320915,-21.024420731877242,584.93,516.35,479.88,569.08,366.57
2020-09-29 21:44:12.998183+00:00,0.8589840871739766,-22.374857867428908,589.67,516.73,479.08,568.12,366.7
2020-09-29 21:44:13.006183+00:00,0.7422381643775646,-22.821806460249928,592.41,516.65,478.36,568.13,366.49
2020-09-29 21:44:13.014183+00:00,1.1057900019777764,-23.415966042748046,595.21,516.44,478.41,568.16,366.47
2020-09-29 21:44:13.022183+00:00,1.7618887231480884,-23.73231850059599,597.71,516.6,478.4,567.94,366.77
2020-09-29 21:44:13.030183+00:00,1.5887827113428956,-23.796774492908273,600.97,516.47,478.27,567.39,367.23
2020-09-29 21:44:13.038183+00:00,1.397579452241581,-25.047048052380376,604.45,518.84,477.65,565.03,364.46
2020-09-29 21:44:13.046183+00:00,1.7785608949201384,-25.06238442064464,605.76,516.67,477.16,567.06,366.67
2020-09-29 21:44:13.054183+00:00,1.724969682661929,-24.85898203750205,607.76,517.6,477.94,566.54,366.74
2020-09-29 21:44:13.062183+00:00,1.7909389595694614,-25.79846712111573,609.14,517.37,477.67,566.56,366.61
2020-09-29 21:44:13.070183+00:00,2.085900910067027,-26.242931909007684,611.3,517.39,478.0,566.05,366.84
2020-09-29 21:44:13.078183+00:00,2.416984907923992,-26.693283012321185,613.24,517.31,478.37,566.28,366.86
2020-09-29 21:44:13.086183+00:00,2.5563408639982144,-27.215131794927892,613.63,517.24,477.99,566.42,366.6
2020-09-29 21:44:13.094183+00:00,2.4315175708659433,-26.71759769732542,615.0,516.92,478.35,565.79,366.83
2020-09-29 21:44:13.102183+00:00,2.7254040614292006,-27.038589746342193,616.41,517.63,478.36,565.95,366.6
2020-09-29 21:44:13.110183+00:00,2.8196223487323877,-27.6774602441259,617.96,517.65,478.08,565.67,366.43
2020-09-29 21:44:13.118183+00:00,2.8007282239905966,-27.677905962267193,618.25,516.71,477.79,565.66,367.1
2020-09-29 21:44:13.126183+00:00,3.00017770344911,-28.196353301542874,620.36,517.14,477.37,564.3,365.99
2020-09-29 21:44:13.134183+00:00,2.9286032893905904,-28.293989904041332,620.21,516.24,478.56,565.98,366.9
2020-09-29 21:44:13.142183+00:00,2.8380780454003127,-27.690329127399043,620.95,516.41,478.87,565.4,366.9
2020-09-29 21:44:13.150183+00:00,2.8164486405745963,-27.648657119888142,621.98,516.17,478.89,565.9,366.69
2020-09-29 21:44:13.158183+00:00,2.5245474690363414,-28.338394167997937,623.33,516.23,479.65,565.5,366.29
2020-09-29 21:44:13.166183+00:00,2.585254556787163,-27.834475314277597,624.84,515.94,479.62,566.1,367.24
2020-09-29 21:44:13.174183+00:00,2.473841072768762,-27.29309157694132,626.64,514.99,479.92,566.26,366.88
2020-09-29 21:44:13.182183+00:00,1.931138051194144,-29.158736208043855,629.06,515.55,480.08,565.73,366.98
2020-09-29 21:44:13.190183+00:00,2.25944897317586,-30.543034847800715,631.25,515.38,481.09,565.47,366.54
2020-09-29 21:44:13.198183+00:00,2.850360355300021,-29.48862840506293,633.71,515.4,481.95,565.25,366.41
2020-09-29 21:44:13.206183+00:00,2.9543106209467647,-29.33225186920516,636.74,515.26,482.38,565.29,366.66
2020-09-29 21:44:13.214183+00:00,3.0538878619840766,-31.762593913410505,639.56,514.49,482.94,564.86,367.04
2020-09-29 21:44:13.222183+00:00,3.1591323248812615,-33.047545416708445,641.45,513.65,482.1,562.97,366.95
2020-09-29 21:44:13.230183+00:00,3.515977920810994,-33.610629435577906,645.54,514.56,484.79,564.97,366.56
