Time,R_IEV,R_FLX,L_IEV,L_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL,L_HEEL,L_EVR,L_DFX,L_INV,L_PFX
2020-09-29 21:49:04.740530+00:00,,,,,536.57,498.4,494.1,558.91,383.39,397.4,603.77,518.22,575.03,730.22
2020-09-29 21:49:04.748530+00:00,,,,,536.26,498.43,493.94,558.49,383.61,396.98,605.46,520.96,577.27,729.89
2020-09-29 21:49:04.756530+00:00,,,,,536.25,498.58,493.91,558.54,383.68,397.01,605.8,520.37,577.28,729.9
2020-09-29 21:49:04.764530+00:00,,,,,536.6,498.78,494.43,558.65,383.24,397.18,605.88,520.62,576.9,729.69
2020-09-29 21:49:04.772530+00:00,,,,,536.91,498.42,493.99,558.7,383.25,396.49,605.52,520.8,576.78,729.49
2020-09-29 21:49:04.780530+00:00,,,,,537.07,498.32,493.38,558.09,383.6,397.13,606.4,520.47,576.31,729.53
2020-09-29 21:49:04.788530+00:00,,,,,536.72,498.76,494.0,558.01,383.55,397.38,605.47,519.8,577.12,730.3
2020-09-29 21:49:04.796530+00:00,,,,,536.65,498.72,494.82,558.52,383.17,396.48,605.73,520.53,577.31,729.7
2020-09-29 21:49:04.804530+00:00,,,,,536.84,498.87,494.36,558.25,382.47,396.82,606.2,520.69,577.37,730.3
2020-09-29 21:49:04.812530+00:00,,,,,535.46,498.47,494.57,559.32,384.11,396.98,605.79,520.4,576.73,729.93
2020-09-29 21:49:04.820530+00:00,,,,,535.93,497.79,494.82,559.03,384.29,396.62,606.12,520.62,577.21,730.09
2020-09-29 21:49:04.828530+00:00,,,,,537.04,498.87,493.65,558.02,382.66,397.72,606.39,520.79,573.9,726.51
2020-09-29 21:49:04.836530+00:00,,,,,536.51,498.68,493.63,558.58,383.03,397.26,605.88,520.19,577.1,730.21
2020-09-29 21:49:04.844530+00:00,,,,,536.88,498.65,493.76,558.29,382.64,396.71,605.7,520.09,577.08,730.39
2020-09-29 21:49:04.852530+00:00,,,,,536.18,498.64,493.9,558.4,383.31,397.31,605.92,519.92,577.0,730.71
2020-09-29 21:49:04.860530+00:00,,,,,539.7,500.76,495.3,558.8,383.16,396.97,606.17,520.6,576.81,730.83
2020-09-29 21:49:04.868530+00:00,,,,,540.01,500.89,494.76,558.43,383.01,396.3,605.09,519.99,577.32,731.48
2020-09-29 21:49:04.876530+00:00,,,,,536.2,498.68,493.34,557.64,383.4,396.82,606.04,520.1,577.39,730.27
2020-09-29 21:49:04.884530+00:00,,,,,537.33,499.71,493.51,558.03,383.11,397.01,606.18,519.8,576.89,730.31
2020-09-29 21:49:04.892530+00:00,,,,,536.91,499.64,493.98,558.49,383.1,397.42,605.8,520.12,576.9,730.62
2020-09-29 21:49:04.900530+00:00,,,,,535.8,498.58,493.81,558.0,383.12,397.49,606.21,520.27,576.81,731.1
2020-09-29 21:49:04.908530+00:00,,,,,536.23,498.25,493.63,558.27,383.04,397.1,606.32,519.5,576.99,730.57
2020-09-29 21:49:04.916530+00:00,,,,,537.06,498.91,493.56,558.68,383.38,397.4,607.0,520.32,576.61,730.2
2020-09-29 21:49:04.924530+00:00,,,,,537.08,498.85,493.55,558.52,383.44,396.96,606.35,519.97,577.19,730.65
2020-09-29 21:49:04.932530+00:00,,,,,536.87,499.06,494.15,558.22,383.24,396.94,606.35,519.92,576.48,731.1
2020-09-29 21:49:04.940530+00:00,,,,,537.14,499.19,494.37,558.18,383.08,397.39,606.89,520.1,576.96,730.91
2020-09-29 21:49:04.948530+00:00,,,,,535.06,499.29,493.69,557.62,382.81,397.02,606.52,520.02,577.29,731.21
2020-09-29 21:49:04.956530+00:00,,,,,534.79,498.46,493.26,557.81,383.47,397.23,607.08,520.42,576.99,731.09
2020-09-29 21:49:04.964530+00:00,,,,,537.09,498.4,493.74,558.81,383.56,396.12,606.17,520.26,577.1,731.11
2020-09-29 21:49:04.972530+00:00,,,,,536.97,499.02,492.99,558.34,383.27,397.57,606.66,519.92,576.99,731.33
2020-09-29 21:49:04.980530+00:00,,,,,537.56,499.08,493.06,557.95,383.18,397.26,607.11,520.41,577.0,731.46
2020-09-29 21:49:04.988530+00:00,,,,,537.03,499.22,493.71,558.33,382.6,397.08,606.84,520.07,576.89,730.93
2020-09-29 21:49:04.996530+00:00,,,,,537.03,499.19,493.86,558.71,382.77,396.91,606.19,520.03,576.79,731.57
2020-09-29 21:49:05.004530+00:00,,,,,537.12,499.26,493.9,558.33,383.12,397.21,606.65,520.51,576.82,730.47
2020-09-29 21:49:05.012530+00:00,,,,,536.79,499.24,493.57,558.44,383.32,397.22,607.11,520.05,576.99,731.16
2020-09-29 21:49:05.020530+00:00,,,,,537.22,499.33,493.22,558.28,383.29,397.48,607.12,519.83,576.58,731.38
2020-09-29 21:49:05.028530+00:00,,,,,537.47,499.51,493.43,558.24,382.99,396.87,607.64,520.41,576.61,730.98
2020-09-29 21:49:05.036530+00:00,,,,,537.23,499.62,493.47,557.6,382.46,396.93,607.66,519.82,576.46,731.13
2020-09-29 21:49:05.044530+00:00,,,,,537.17,499.85,493.71,557.79,382.68,396.83,607.21,520.11,576.38,731.25
2020-09-29 21:49:05.052530+00:00,,,,,536.96,499.71,493.82,558.63,382.95,395.9,607.33,522.8,578.0,730.87
2020-09-29 21:49:05.060530+00:00,,,,,537.06,499.1,493.03,558.49,383.22,396.9,606.21,520.11,577.65,732.1
2020-09-29 21:49:05.068530+00:00,,,,,537.52,499.2,492.66,558.02,383.39,397.49,607.47,519.77,575.65,730.81
2020-09-29 21:49:05.076530+00:00,,,,,537.86,500.11,492.95,557.68,382.86,396.85,607.48,520.62,576.35,730.86
2020-09-29 21:49:05.084530+00:00,,,,,538.1,500.23,492.91,557.15,382.58,396.62,607.65,520.28,576.15,731.4
2020-09-29 21:49:05.092530+00:00,,,,,536.89,499.34,493.5,558.06,382.82,396.9,607.69,520.66,576.7,731.49
2020-09-29 21:49:05.100530+00:00,,,,,536.4,499.14,493.75,559.02,383.35,396.84,606.21,521.06,578.83,732.79
2020-09-29 21:49:05.108530+00:00,,,,,537.38,499.78,492.9,558.03,383.16,397.38,607.79,520.18,575.85,731.31
2020-09-29 21:49:05.116530+00:00,,,,,537.15,499.53,493.05,557.8,382.87,396.69,607.9,520.5,576.14,730.98
2020-09-29 21:49:05.124530+00:00,,,,,536.84,499.72,493.29,558.31,382.8,397.11,608.11,520.32,576.11,730.83
2020-09-29 21:49:05.132530+00:00,,,,,537.32,500.15,492.9,558.08,383.11,396.92,608.11,520.67,576.28,731.53
2020-09-29 21:49:05.140530+00:00,,,,,537.35,500.25,493.22,557.61,382.96,397.39,608.18,519.89,575.68,731.37
2020-09-29 21:49:05.148530+00:00,,,,,537.01,500.31,493.81,558.16,382.34,396.89,607.9,520.56,575.92,731.09
2020-09-29 21:49:05.156530+00:00,,,,,537.26,499.91,493.61,558.0,382.52,397.2,608.23,520.67,576.0,731.25
2020-09-29 21:49:05.164530+00:00,,,,,537.1,499.74,492.91,557.45,383.3,396.89,608.52,520.32,576.0,731.68
2020-09-29 21:49:05.172530+00:00,,,,,536.89,499.66,492.83,557.99,382.31,397.24,608.59,520.81,575.88,730.71
2020-09-29 21:49:05.180530+00:00,,,,,537.12,499.9,493.29,558.68,382.22,397.13,608.4,520.6,576.08,731.09
2020-09-29 21:49:05.188530+00:00,,,,,537.56,500.55,493.49,558.07,383.13,396.19,608.61,520.93,576.84,733.37
2020-09-29 21:49:05.196530+00:00,,,,,537.27,500.14,493.03,557.23,382.79,396.97,608.59,520.97,575.25,730.86
2020-09-29 21:49:05.204530+00:00,,,,,537.15,500.08,492.96,557.91,383.12,397.3,608.49,520.6,575.85,730.92
2020-09-29 21:49:05.212530+00:00,,,,,537.37,500.22,492.22,557.36,382.79,397.09,608.41,521.03,575.87,730.8
2020-09-29 21:49:05.220530+00:00,,,,,536.38,500.92,494.83,560.58,385.68,397.24,608.71,520.59,575.23,730.87
2020-09-29 21:49:05.228530+00:00,-1.8658856718123864,-6.586425682863501,0.42181385484100453,-9.196504342337883,536.91,501.19,494.61,560.26,384.97,397.56,608.84,519.54,574.59,730.27
2020-09-29 21:49:05.236530+00:00,-1.4909146211078217,-6.752561399534805,0.17026373629466532,-9.109629587023353,537.5,501.15,492.24,556.27,381.94,396.55,609.52,521.18,575.18,730.44
2020-09-29 21:49:05.244530+00:00,-1.2243867348538016,-6.516911533995886,0.09529366262894703,-9.144894726743836,537.03,501.46,493.09,556.95,382.48,396.86,609.39,520.85,575.79,730.91
2020-09-29 21:49:05.252530+00:00,-0.9548769295527558,-6.242822446703713,-0.12014949761000882,-8.92342533995075,537.37,500.97,492.71,556.76,382.53,397.4,609.39,520.61,575.28,730.79
2020-09-29 21:49:05.260530+00:00,-0.7413155544854076,-5.8888011255638,-0.38198932611507513,-8.919242059502656,537.26,500.62,492.53,556.06,381.67,396.96,609.09,520.91,575.16,730.79
2020-09-29 21:49:05.268530+00:00,-0.5505784723561313,-6.24201948579427,-0.1636999133774395,-9.370981392967494,537.4,500.52,492.1,555.94,382.06,396.81,609.47,521.15,574.73,729.96
2020-09-29 21:49:05.276530+00:00,-0.3716908580152565,-6.314325507587422,-0.3425679752990359,-9.196455383352044,537.91,501.07,490.91,555.93,383.25,397.02,610.21,521.79,575.38,728.63
2020-09-29 21:49:05.284530+00:00,-0.15275641988271033,-6.574583180279941,-0.2406261097527045,-9.358588328846809,537.61,501.59,491.38,555.72,382.68,397.09,609.65,521.18,574.58,730.03
2020-09-29 21:49:05.292530+00:00,0.006799248071022958,-6.665426800793265,-0.1922168510134442,-9.350695892837225,536.79,501.82,492.43,555.71,382.56,396.66,609.64,521.55,575.15,729.14
