Time,R_IEV,R_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL
2020-10-20 20:47:32.060410+00:00,,,,,,,
2020-10-20 20:47:32.068410+00:00,,,,,,,
2020-10-20 20:47:32.076410+00:00,,,,,,,
2020-10-20 20:47:32.084410+00:00,,,,,,,
2020-10-20 20:47:32.092410+00:00,,,,,,,
2020-10-20 20:47:32.100410+00:00,,,,,,,
2020-10-20 20:47:32.108410+00:00,,,,,,,
2020-10-20 20:47:32.116410+00:00,,,,,,,
2020-10-20 20:47:32.124410+00:00,,,,,,,
2020-10-20 20:47:32.132410+00:00,,,,,,,
2020-10-20 20:47:32.140410+00:00,,,,,,,
2020-10-20 20:47:32.148410+00:00,,,,,,,
2020-10-20 20:47:32.156410+00:00,,,,,,,
2020-10-20 20:47:32.164410+00:00,,,,,,,
2020-10-20 20:47:32.172410+00:00,,,,,,,
2020-10-20 20:47:32.180410+00:00,,,,,,,
2020-10-20 20:47:32.188410+00:00,,,,,,,
2020-10-20 20:47:32.196410+00:00,,,,,,,
2020-10-20 20:47:32.204410+00:00,,,,,,,
2020-10-20 20:47:32.212410+00:00,,,,,,,
2020-10-20 20:47:32.220410+00:00,,,,,,,
2020-10-20 20:47:32.228410+00:00,,,,,,,
2020-10-20 20:47:32.236410+00:00,,,,,,,
2020-10-20 20:47:32.244410+00:00,,,,,,,
2020-10-20 20:47:32.252410+00:00,,,,,,,
2020-10-20 20:47:32.260410+00:00,,,,,,,
2020-10-20 20:47:32.268410+00:00,,,,,,,
2020-10-20 20:47:32.276410+00:00,,,,,,,
2020-10-20 20:47:32.284410+00:00,,,,,,,
2020-10-20 20:47:32.292410+00:00,,,,,,,
2020-10-20 20:47:32.300410+00:00,,,,,,,
2020-10-20 20:47:32.308410+00:00,,,,,,,
2020-10-20 20:47:32.316410+00:00,,,,,,,
2020-10-20 20:47:32.324410+00:00,,,,,,,
2020-10-20 20:47:32.332410+00:00,,,,,,,
2020-10-20 20:47:32.340410+00:00,,,,,,,
2020-10-20 20:47:32.348410+00:00,,,,,,,
2020-10-20 20:47:32.356410+00:00,,,,,,,
2020-10-20 20:47:32.364410+00:00,,,,,,,
2020-10-20 20:47:32.372410+00:00,,,,,,,
2020-10-20 20:47:32.380410+00:00,,,,,,,
2020-10-20 20:47:32.388410+00:00,,,,,,,
2020-10-20 20:47:32.396410+00:00,,,,,,,
2020-10-20 20:47:32.404410+00:00,,,,,,,
2020-10-20 20:47:32.412410+00:00,,,,,,,
2020-10-20 20:47:32.420410+00:00,,,,,,,
2020-10-20 20:47:32.428410+00:00,,,,,,,
2020-10-20 20:47:32.436410+00:00,,,,,,,
2020-10-20 20:47:32.444410+00:00,,,,,,,
2020-10-20 20:47:32.452410+00:00,,,,,,,
2020-10-20 20:47:32.460410+00:00,,,,,,,
2020-10-20 20:47:32.468410+00:00,,,,,,,
2020-10-20 20:47:32.476410+00:00,,,,,,,
2020-10-20 20:47:32.484410+00:00,,,,,,,
2020-10-20 20:47:32.492410+00:00,,,,,,,
2020-10-20 20:47:32.500410+00:00,,,,,,,
2020-10-20 20:47:32.508410+00:00,,,,,,,
2020-10-20 20:47:32.516410+00:00,,,,,,,
2020-10-20 20:47:32.524410+00:00,,,,,,,
2020-10-20 20:47:32.532410+00:00,,,,,,,
2020-10-20 20:47:32.540410+00:00,,,,,,,
2020-10-20 20:47:32.548410+00:00,,,,,,,
2020-10-20 20:47:32.556410+00:00,,,,,,,
2020-10-20 20:47:32.564410+00:00,,,,,,,
2020-10-20 20:47:32.572410+00:00,,,,,,,
2020-10-20 20:47:32.580410+00:00,,,,,,,
2020-10-20 20:47:32.588410+00:00,,,,,,,
2020-10-20 20:47:32.596410+00:00,,,,,,,
2020-10-20 20:47:32.604410+00:00,,,,,,,
2020-10-20 20:47:32.612410+00:00,,,,,,,
2020-10-20 20:47:32.620410+00:00,,,,,,,
2020-10-20 20:47:32.628410+00:00,,,,,,,
2020-10-20 20:47:32.636410+00:00,,,,,,,
2020-10-20 20:47:32.644410+00:00,,,,,,,
2020-10-20 20:47:32.652410+00:00,,,,,,,
2020-10-20 20:47:32.660410+00:00,,,,,,,
2020-10-20 20:47:32.668410+00:00,,,,,,,
2020-10-20 20:47:32.676410+00:00,,,,,,,
2020-10-20 20:47:32.684410+00:00,,,,,,,
2020-10-20 20:47:32.692410+00:00,,,,,,,
2020-10-20 20:47:32.700410+00:00,,,,,,,
2020-10-20 20:47:32.708410+00:00,,,,,,,
2020-10-20 20:47:32.716410+00:00,,,,,,,
2020-10-20 20:47:32.724410+00:00,,,,,,,
2020-10-20 20:47:32.732410+00:00,,,,,,,
2020-10-20 20:47:32.740410+00:00,,,,,,,
2020-10-20 20:47:32.748410+00:00,,,,,,,
2020-10-20 20:47:32.756410+00:00,,,,,,,
2020-10-20 20:47:32.764410+00:00,,,,,,,
2020-10-20 20:47:32.772410+00:00,,,,,,,
2020-10-20 20:47:32.780410+00:00,,,,,,,
2020-10-20 20:47:32.788410+00:00,,,,,,,
2020-10-20 20:47:32.796410+00:00,,,,,,,
