Time,R_IEV,R_FLX,R_INV,R_DFX,R_EVR,R_PFX,R_HEEL
2020-10-20 21:33:28.757004+00:00,,,,,,,
2020-10-20 21:33:28.765004+00:00,,,,,,,
2020-10-20 21:33:28.773004+00:00,,,,,,,
2020-10-20 21:33:28.781004+00:00,,,,,,,
2020-10-20 21:33:28.789004+00:00,,,,,,,
2020-10-20 21:33:28.797004+00:00,,,,,,,
2020-10-20 21:33:28.805004+00:00,,,,,,,
2020-10-20 21:33:28.813004+00:00,,,,,,,
2020-10-20 21:33:28.821004+00:00,,,,,,,
2020-10-20 21:33:28.829004+00:00,,,,,,,
2020-10-20 21:33:28.837004+00:00,,,,,,,
2020-10-20 21:33:28.845004+00:00,,,,,,,
2020-10-20 21:33:28.853004+00:00,,,,,,,
2020-10-20 21:33:28.861004+00:00,,,,,,,
2020-10-20 21:33:28.869004+00:00,,,,,,,
2020-10-20 21:33:28.877004+00:00,,,,,,,
2020-10-20 21:33:28.885004+00:00,,,,,,,
2020-10-20 21:33:28.893004+00:00,,,,,,,
2020-10-20 21:33:28.901004+00:00,,,,,,,
2020-10-20 21:33:28.909004+00:00,,,,,,,
2020-10-20 21:33:28.917004+00:00,,,,,,,
2020-10-20 21:33:28.925004+00:00,,,,,,,
2020-10-20 21:33:28.933004+00:00,,,,,,,
2020-10-20 21:33:28.941004+00:00,,,,,,,
2020-10-20 21:33:28.949004+00:00,,,,,,,
2020-10-20 21:33:28.957004+00:00,,,,,,,
2020-10-20 21:33:28.965004+00:00,,,,,,,
2020-10-20 21:33:28.973004+00:00,,,,,,,
2020-10-20 21:33:28.981004+00:00,,,,,,,
2020-10-20 21:33:28.989004+00:00,,,,,,,
2020-10-20 21:33:28.997004+00:00,,,,,,,
2020-10-20 21:33:29.005004+00:00,,,,,,,
2020-10-20 21:33:29.013004+00:00,,,,,,,
2020-10-20 21:33:29.021004+00:00,,,,,,,
2020-10-20 21:33:29.029004+00:00,,,,,,,
2020-10-20 21:33:29.037004+00:00,,,,,,,
2020-10-20 21:33:29.045004+00:00,,,,,,,
2020-10-20 21:33:29.053004+00:00,,,,,,,
2020-10-20 21:33:29.061004+00:00,,,,,,,
2020-10-20 21:33:29.069004+00:00,,,,,,,
2020-10-20 21:33:29.077004+00:00,,,,,,,
2020-10-20 21:33:29.085004+00:00,,,,,,,
2020-10-20 21:33:29.093004+00:00,,,,,,,
2020-10-20 21:33:29.101004+00:00,,,,,,,
2020-10-20 21:33:29.109004+00:00,,,,,,,
2020-10-20 21:33:29.117004+00:00,,,,,,,
2020-10-20 21:33:29.125004+00:00,,,,,,,
2020-10-20 21:33:29.133004+00:00,,,,,,,
2020-10-20 21:33:29.141004+00:00,,,,,,,
2020-10-20 21:33:29.149004+00:00,,,,,,,
2020-10-20 21:33:29.157004+00:00,,,,,,,
2020-10-20 21:33:29.165004+00:00,,,,,,,
2020-10-20 21:33:29.173004+00:00,,,,,,,
2020-10-20 21:33:29.181004+00:00,,,,,,,
2020-10-20 21:33:29.189004+00:00,,,,,,,
2020-10-20 21:33:29.197004+00:00,,,,,,,
2020-10-20 21:33:29.205004+00:00,,,,,,,
2020-10-20 21:33:29.213004+00:00,,,,,,,
2020-10-20 21:33:29.221004+00:00,,,,,,,
2020-10-20 21:33:29.229004+00:00,,,,,,,
2020-10-20 21:33:29.237004+00:00,,,,,,,
2020-10-20 21:33:29.245004+00:00,,,,,,,
2020-10-20 21:33:29.253004+00:00,,,,,,,
2020-10-20 21:33:29.261004+00:00,,,,,,,
2020-10-20 21:33:29.269004+00:00,,,,,,,
2020-10-20 21:33:29.277004+00:00,,,,,,,
2020-10-20 21:33:29.285004+00:00,,,,,,,
2020-10-20 21:33:29.293004+00:00,,,,,,,
2020-10-20 21:33:29.301004+00:00,,,,,,,
2020-10-20 21:33:29.309004+00:00,,,,,,,
2020-10-20 21:33:29.317004+00:00,,,,,,,
2020-10-20 21:33:29.325004+00:00,,,,,,,
2020-10-20 21:33:29.333004+00:00,,,,,,,
2020-10-20 21:33:29.341004+00:00,,,,,,,
2020-10-20 21:33:29.349004+00:00,,,,,,,
2020-10-20 21:33:29.357004+00:00,,,,,,,
2020-10-20 21:33:29.365004+00:00,,,,,,,
2020-10-20 21:33:29.373004+00:00,,,,,,,
2020-10-20 21:33:29.381004+00:00,,,,,,,
2020-10-20 21:33:29.389004+00:00,,,,,,,
2020-10-20 21:33:29.397004+00:00,,,,,,,
2020-10-20 21:33:29.405004+00:00,,,,,,,
2020-10-20 21:33:29.413004+00:00,,,,,,,
2020-10-20 21:33:29.421004+00:00,,,,,,,
2020-10-20 21:33:29.429004+00:00,,,,,,,
2020-10-20 21:33:29.437004+00:00,,,,,,,
2020-10-20 21:33:29.445004+00:00,,,,,,,
2020-10-20 21:33:29.453004+00:00,,,,,,,
2020-10-20 21:33:29.461004+00:00,,,,,,,
2020-10-20 21:33:29.469004+00:00,,,,,,,
2020-10-20 21:33:29.477004+00:00,,,,,,,
2020-10-20 21:33:29.485004+00:00,,,,,,,
2020-10-20 21:33:29.493004+00:00,,,,,,,
2020-10-20 21:33:29.501004+00:00,,,,,,,
2020-10-20 21:33:29.509004+00:00,,,,,,,
2020-10-20 21:33:29.517004+00:00,,,,,,,
2020-10-20 21:33:29.525004+00:00,,,,,,,
2020-10-20 21:33:29.533004+00:00,,,,,,,
2020-10-20 21:33:29.541004+00:00,,,,,,,
2020-10-20 21:33:29.549004+00:00,,,,,,,
2020-10-20 21:33:29.557004+00:00,,,,,,,
2020-10-20 21:33:29.565004+00:00,,,,,,,
2020-10-20 21:33:29.573004+00:00,,,,,,,
2020-10-20 21:33:29.581004+00:00,,,,,,,
2020-10-20 21:33:29.589004+00:00,,,,,,,
2020-10-20 21:33:29.597004+00:00,,,,,,,
2020-10-20 21:33:29.605004+00:00,,,,,,,
2020-10-20 21:33:29.613004+00:00,,,,,,,
2020-10-20 21:33:29.621004+00:00,,,,,,,
2020-10-20 21:33:29.629004+00:00,,,,,,,
2020-10-20 21:33:29.637004+00:00,,,,,,,
2020-10-20 21:33:29.645004+00:00,,,,,,,
2020-10-20 21:33:29.653004+00:00,,,,,,,
2020-10-20 21:33:29.661004+00:00,,,,,,,
2020-10-20 21:33:29.669004+00:00,,,,,,,
2020-10-20 21:33:29.677004+00:00,,,,,,,
2020-10-20 21:33:29.685004+00:00,,,,,,,
2020-10-20 21:33:29.693004+00:00,,,,,,,
2020-10-20 21:33:29.701004+00:00,,,,,,,
2020-10-20 21:33:29.709004+00:00,,,,,,,
2020-10-20 21:33:29.717004+00:00,,,,,,,
2020-10-20 21:33:29.725004+00:00,,,,,,,
2020-10-20 21:33:29.733004+00:00,,,,,,,
