Time,R_IEV,R_FLX,R_INV,R_DFX,R_EVR,R_PFX,R_HEEL
2020-10-20 21:53:08.123026+00:00,,,,,,,
2020-10-20 21:53:08.131026+00:00,,,,,,,
2020-10-20 21:53:08.139026+00:00,,,,,,,
2020-10-20 21:53:08.147026+00:00,,,,,,,
2020-10-20 21:53:08.155026+00:00,,,,,,,
2020-10-20 21:53:08.163026+00:00,,,,,,,
2020-10-20 21:53:08.171026+00:00,,,,,,,
2020-10-20 21:53:08.179026+00:00,,,,,,,
2020-10-20 21:53:08.187026+00:00,,,,,,,
2020-10-20 21:53:08.195026+00:00,,,,,,,
2020-10-20 21:53:08.203026+00:00,,,,,,,
2020-10-20 21:53:08.211026+00:00,,,,,,,
2020-10-20 21:53:08.219026+00:00,,,,,,,
2020-10-20 21:53:08.227026+00:00,,,,,,,
2020-10-20 21:53:08.235026+00:00,,,,,,,
2020-10-20 21:53:08.243026+00:00,,,,,,,
2020-10-20 21:53:08.251026+00:00,,,,,,,
2020-10-20 21:53:08.259026+00:00,,,,,,,
2020-10-20 21:53:08.267026+00:00,,,,,,,
2020-10-20 21:53:08.275026+00:00,,,,,,,
2020-10-20 21:53:08.283026+00:00,,,,,,,
2020-10-20 21:53:08.291026+00:00,,,,,,,
2020-10-20 21:53:08.299026+00:00,,,,,,,
2020-10-20 21:53:08.307026+00:00,,,,,,,
2020-10-20 21:53:08.315026+00:00,,,,,,,
2020-10-20 21:53:08.323026+00:00,,,,,,,
2020-10-20 21:53:08.331026+00:00,,,,,,,
2020-10-20 21:53:08.339026+00:00,,,,,,,
2020-10-20 21:53:08.347026+00:00,,,,,,,
2020-10-20 21:53:08.355026+00:00,,,,,,,
2020-10-20 21:53:08.363026+00:00,,,,,,,
2020-10-20 21:53:08.371026+00:00,,,,,,,
2020-10-20 21:53:08.379026+00:00,,,,,,,
2020-10-20 21:53:08.387026+00:00,,,,,,,
2020-10-20 21:53:08.395026+00:00,,,,,,,
2020-10-20 21:53:08.403026+00:00,,,,,,,
2020-10-20 21:53:08.411026+00:00,,,,,,,
2020-10-20 21:53:08.419026+00:00,,,,,,,
2020-10-20 21:53:08.427026+00:00,,,,,,,
2020-10-20 21:53:08.435026+00:00,,,,,,,
2020-10-20 21:53:08.443026+00:00,,,,,,,
2020-10-20 21:53:08.451026+00:00,,,,,,,
2020-10-20 21:53:08.459026+00:00,,,,,,,
2020-10-20 21:53:08.467026+00:00,,,,,,,
2020-10-20 21:53:08.475026+00:00,,,,,,,
2020-10-20 21:53:08.483026+00:00,,,,,,,
2020-10-20 21:53:08.491026+00:00,,,,,,,
2020-10-20 21:53:08.499026+00:00,,,,,,,
2020-10-20 21:53:08.507026+00:00,,,,,,,
2020-10-20 21:53:08.515026+00:00,,,,,,,
2020-10-20 21:53:08.523026+00:00,,,,,,,
2020-10-20 21:53:08.531026+00:00,,,,,,,
2020-10-20 21:53:08.539026+00:00,,,,,,,
2020-10-20 21:53:08.547026+00:00,,,,,,,
2020-10-20 21:53:08.555026+00:00,,,,,,,
2020-10-20 21:53:08.563026+00:00,,,,,,,
2020-10-20 21:53:08.571026+00:00,,,,,,,
2020-10-20 21:53:08.579026+00:00,,,,,,,
2020-10-20 21:53:08.587026+00:00,,,,,,,
2020-10-20 21:53:08.595026+00:00,,,,,,,
2020-10-20 21:53:08.603026+00:00,,,,,,,
2020-10-20 21:53:08.611026+00:00,,,,,,,
2020-10-20 21:53:08.619026+00:00,,,,,,,
2020-10-20 21:53:08.627026+00:00,,,,,,,
2020-10-20 21:53:08.635026+00:00,,,,,,,
2020-10-20 21:53:08.643026+00:00,,,,,,,
2020-10-20 21:53:08.651026+00:00,,,,,,,
2020-10-20 21:53:08.659026+00:00,,,,,,,
2020-10-20 21:53:08.667026+00:00,,,,,,,
2020-10-20 21:53:08.675026+00:00,,,,,,,
2020-10-20 21:53:08.683026+00:00,,,,,,,
2020-10-20 21:53:08.691026+00:00,,,,,,,
2020-10-20 21:53:08.699026+00:00,,,,,,,
2020-10-20 21:53:08.707026+00:00,,,,,,,
2020-10-20 21:53:08.715026+00:00,,,,,,,
2020-10-20 21:53:08.723026+00:00,,,,,,,
2020-10-20 21:53:08.731026+00:00,,,,,,,
2020-10-20 21:53:08.739026+00:00,,,,,,,
2020-10-20 21:53:08.747026+00:00,,,,,,,
2020-10-20 21:53:08.755026+00:00,,,,,,,
2020-10-20 21:53:08.763026+00:00,,,,,,,
2020-10-20 21:53:08.771026+00:00,,,,,,,
2020-10-20 21:53:08.779026+00:00,,,,,,,
2020-10-20 21:53:08.787026+00:00,,,,,,,
2020-10-20 21:53:08.795026+00:00,,,,,,,
2020-10-20 21:53:08.803026+00:00,,,,,,,
2020-10-20 21:53:08.811026+00:00,,,,,,,
2020-10-20 21:53:08.819026+00:00,,,,,,,
2020-10-20 21:53:08.827026+00:00,,,,,,,
2020-10-20 21:53:08.835026+00:00,,,,,,,
2020-10-20 21:53:08.843026+00:00,,,,,,,
2020-10-20 21:53:08.851026+00:00,,,,,,,
2020-10-20 21:53:08.859026+00:00,,,,,,,
2020-10-20 21:53:08.867026+00:00,,,,,,,
