Time,R_IEV,R_FLX,L_IEV,L_FLX,R_INV,R_EVR,R_DFX,R_PFX,R_HEEL,L_HEEL,L_EVR,L_DFX,L_INV,L_PFX
2020-10-20 21:37:47.417566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.425566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.433566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.441566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.449566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.457566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.465566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.473566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.481566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.489566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.497566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.505566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.513566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.521566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.529566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.537566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.545566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.553566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.561566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.569566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.577566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.585566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.593566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.601566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.609566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.617566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.625566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.633566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.641566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.649566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.657566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.665566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.673566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.681566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.689566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.697566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.705566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.713566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.721566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.729566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.737566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.745566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.753566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.761566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.769566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.777566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.785566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.793566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.801566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.809566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.817566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.825566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.833566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.841566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.849566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.857566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.865566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.873566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.881566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.889566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.897566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.905566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.913566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.921566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.929566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.937566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.945566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.953566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.961566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.969566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.977566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.985566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:47.993566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.001566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.009566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.017566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.025566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.033566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.041566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.049566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.057566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.065566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.073566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.081566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.089566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.097566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.105566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.113566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.121566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.129566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.137566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.145566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.153566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.161566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.169566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.177566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.185566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.193566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.201566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.209566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.217566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.225566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.233566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.241566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.249566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.257566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.265566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.273566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.281566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.289566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.297566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.305566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.313566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.321566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.329566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.337566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.345566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.353566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.361566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.369566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.377566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.385566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.393566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.401566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.409566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.417566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.425566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.433566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.441566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.449566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.457566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.465566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.473566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.481566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.489566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.497566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.505566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.513566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.521566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.529566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.537566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.545566+00:00,,,,,,,,,,,,,,
2020-10-20 21:37:48.553566+00:00,,,,,,,,,,395.3,592.4,552.4,588.2,683.4
2020-10-20 21:37:48.561566+00:00,,,,,,,,,,394.8,592.0,552.4,588.4,683.5
2020-10-20 21:37:48.569566+00:00,,,,,,,,,,395.0,592.0,552.9,588.3,682.5
2020-10-20 21:37:48.577566+00:00,,,,,,,,,,395.1,592.1,552.8,588.1,682.4
2020-10-20 21:37:48.585566+00:00,,,,,,,,,,396.8,594.1,552.6,587.6,682.3
2020-10-20 21:37:48.593566+00:00,,,,,,,,,,395.7,592.3,552.6,588.1,683.2
2020-10-20 21:37:48.601566+00:00,,,,,,,,,,395.2,592.7,552.8,588.1,682.6
2020-10-20 21:37:48.609566+00:00,,,,,,,,,,395.3,592.5,552.6,588.5,682.5
2020-10-20 21:37:48.617566+00:00,,,,,,,,,,395.4,592.7,552.6,588.9,682.5
2020-10-20 21:37:48.625566+00:00,,,,,,,,,,395.2,592.5,552.5,588.4,682.6
2020-10-20 21:37:48.633566+00:00,,,,,,,,,,394.8,592.3,552.4,588.9,683.0
2020-10-20 21:37:48.641566+00:00,,,,,,,,,,395.0,592.7,552.3,588.5,682.8
2020-10-20 21:37:48.649566+00:00,,,,,,,,,,394.5,592.0,552.2,588.5,682.4
2020-10-20 21:37:48.657566+00:00,,,,,,,,,,395.0,592.3,552.3,589.0,682.0
2020-10-20 21:37:48.665566+00:00,,,,,,,,,,394.5,592.1,552.5,588.8,681.2
2020-10-20 21:37:48.673566+00:00,,,,,,,,,,394.1,590.8,551.4,590.6,682.7
2020-10-20 21:37:48.681566+00:00,,,,,,,,,,395.1,590.7,551.5,588.6,679.0
2020-10-20 21:37:48.689566+00:00,,,,,521.84,507.21,583.44,644.22,376.24,395.1,591.2,551.9,588.4,678.4
2020-10-20 21:37:48.697566+00:00,,,,,521.37,506.78,582.98,645.2,376.86,394.9,591.2,552.6,589.2,676.9
2020-10-20 21:37:48.705566+00:00,,,,,521.31,506.57,582.52,645.66,376.67,394.9,591.0,552.4,589.1,676.3
