Time,R_IEV,R_FLX,L_IEV,L_FLX,R_INV,R_EVR,R_DFX,R_PFX,R_HEEL,L_HEEL,L_EVR,L_DFX,L_INV,L_PFX
2020-10-20 21:56:22.506317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.514317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.522317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.530317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.538317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.546317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.554317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.562317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.570317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.578317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.586317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.594317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.602317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.610317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.618317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.626317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.634317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.642317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.650317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.658317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.666317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.674317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.682317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.690317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.698317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.706317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.714317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.722317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.730317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.738317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.746317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.754317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.762317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.770317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.778317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.786317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.794317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.802317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.810317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.818317+00:00,,,,,,,,,,,,,,
2020-10-20 21:56:22.826317+00:00,,,,,,,,,,,,,,
