Time,R_IEV,R_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL
2020-10-21 20:17:38.156257+00:00,,,,,,,
2020-10-21 20:17:38.164257+00:00,,,,,,,
2020-10-21 20:17:38.172257+00:00,,,,,,,
2020-10-21 20:17:38.180257+00:00,,,,,,,
2020-10-21 20:17:38.188257+00:00,,,,,,,
2020-10-21 20:17:38.196257+00:00,,,,,,,
2020-10-21 20:17:38.204257+00:00,,,,,,,
2020-10-21 20:17:38.212257+00:00,,,,,,,
2020-10-21 20:17:38.220257+00:00,,,,,,,
2020-10-21 20:17:38.228257+00:00,,,,,,,
2020-10-21 20:17:38.236257+00:00,,,,,,,
2020-10-21 20:17:38.244257+00:00,,,,,,,
2020-10-21 20:17:38.252257+00:00,,,,,,,
2020-10-21 20:17:38.260257+00:00,,,,,,,
2020-10-21 20:17:38.268257+00:00,,,,,,,
2020-10-21 20:17:38.276257+00:00,,,,,,,
2020-10-21 20:17:38.284257+00:00,,,,,,,
2020-10-21 20:17:38.292257+00:00,,,,,,,
2020-10-21 20:17:38.300257+00:00,,,,,,,
2020-10-21 20:17:38.308257+00:00,,,,,,,
2020-10-21 20:17:38.316257+00:00,,,,,,,
2020-10-21 20:17:38.324257+00:00,,,,,,,
2020-10-21 20:17:38.332257+00:00,,,,,,,
2020-10-21 20:17:38.340257+00:00,,,,,,,
2020-10-21 20:17:38.348257+00:00,,,,,,,
2020-10-21 20:17:38.356257+00:00,,,,,,,
2020-10-21 20:17:38.364257+00:00,,,,,,,
2020-10-21 20:17:38.372257+00:00,,,,,,,
2020-10-21 20:17:38.380257+00:00,,,,,,,
2020-10-21 20:17:38.388257+00:00,,,,,,,
2020-10-21 20:17:38.396257+00:00,,,,,,,
2020-10-21 20:17:38.404257+00:00,,,,,,,
2020-10-21 20:17:38.412257+00:00,,,,,,,
2020-10-21 20:17:38.420257+00:00,,,,,,,
2020-10-21 20:17:38.428257+00:00,,,,,,,
2020-10-21 20:17:38.436257+00:00,,,,,,,
2020-10-21 20:17:38.444257+00:00,,,,,,,
2020-10-21 20:17:38.452257+00:00,,,,,,,
2020-10-21 20:17:38.460257+00:00,,,,,,,
2020-10-21 20:17:38.468257+00:00,,,,,,,
