Time,R_IEV,R_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL
2020-10-21 21:24:01.337732+00:00,,,,,,,
2020-10-21 21:24:01.345732+00:00,,,,,,,
2020-10-21 21:24:01.353732+00:00,,,,,,,
2020-10-21 21:24:01.361732+00:00,,,,,,,
2020-10-21 21:24:01.369732+00:00,,,,,,,
2020-10-21 21:24:01.377732+00:00,,,,,,,
2020-10-21 21:24:01.385732+00:00,,,,,,,
2020-10-21 21:24:01.393732+00:00,,,,,,,
2020-10-21 21:24:01.401732+00:00,,,,,,,
2020-10-21 21:24:01.409732+00:00,,,,,,,
2020-10-21 21:24:01.417732+00:00,,,,,,,
2020-10-21 21:24:01.425732+00:00,,,,,,,
2020-10-21 21:24:01.433732+00:00,,,,,,,
2020-10-21 21:24:01.441732+00:00,,,,,,,
2020-10-21 21:24:01.449732+00:00,,,,,,,
2020-10-21 21:24:01.457732+00:00,,,,,,,
2020-10-21 21:24:01.465732+00:00,,,,,,,
2020-10-21 21:24:01.473732+00:00,,,,,,,
2020-10-21 21:24:01.481732+00:00,,,,,,,
2020-10-21 21:24:01.489732+00:00,,,,,,,
2020-10-21 21:24:01.497732+00:00,,,,,,,
2020-10-21 21:24:01.505732+00:00,,,,,,,
2020-10-21 21:24:01.513732+00:00,,,,,,,
2020-10-21 21:24:01.521732+00:00,,,,,,,
2020-10-21 21:24:01.529732+00:00,,,,,,,
2020-10-21 21:24:01.537732+00:00,,,,,,,
2020-10-21 21:24:01.545732+00:00,,,,,,,
2020-10-21 21:24:01.553732+00:00,,,,,,,
2020-10-21 21:24:01.561732+00:00,,,,,,,
2020-10-21 21:24:01.569732+00:00,,,,,,,
2020-10-21 21:24:01.577732+00:00,,,,,,,
2020-10-21 21:24:01.585732+00:00,,,,,,,
2020-10-21 21:24:01.593732+00:00,,,,,,,
2020-10-21 21:24:01.601732+00:00,,,,,,,
2020-10-21 21:24:01.609732+00:00,,,,,,,
2020-10-21 21:24:01.617732+00:00,,,,,,,
2020-10-21 21:24:01.625732+00:00,,,,,,,
2020-10-21 21:24:01.633732+00:00,,,,,,,
2020-10-21 21:24:01.641732+00:00,,,,,,,
2020-10-21 21:24:01.649732+00:00,,,,,,,
2020-10-21 21:24:01.657732+00:00,,,,,,,
2020-10-21 21:24:01.665732+00:00,,,,,,,
2020-10-21 21:24:01.673732+00:00,,,,,,,
2020-10-21 21:24:01.681732+00:00,,,,,,,
2020-10-21 21:24:01.689732+00:00,,,,,,,
2020-10-21 21:24:01.697732+00:00,,,,,,,
2020-10-21 21:24:01.705732+00:00,,,,,,,
2020-10-21 21:24:01.713732+00:00,,,,,,,
2020-10-21 21:24:01.721732+00:00,,,,,,,
2020-10-21 21:24:01.729732+00:00,,,,,,,
2020-10-21 21:24:01.737732+00:00,,,,,,,
2020-10-21 21:24:01.745732+00:00,,,,,,,
2020-10-21 21:24:01.753732+00:00,,,,,,,
2020-10-21 21:24:01.761732+00:00,,,,,,,
2020-10-21 21:24:01.769732+00:00,,,,,,,
2020-10-21 21:24:01.777732+00:00,,,,,,,
2020-10-21 21:24:01.785732+00:00,,,,,,,
2020-10-21 21:24:01.793732+00:00,,,,,,,
2020-10-21 21:24:01.801732+00:00,,,,,,,
2020-10-21 21:24:01.809732+00:00,,,,,,,
2020-10-21 21:24:01.817732+00:00,,,,,,,
2020-10-21 21:24:01.825732+00:00,,,,,,,
2020-10-21 21:24:01.833732+00:00,,,,,,,
2020-10-21 21:24:01.841732+00:00,,,,,,,
2020-10-21 21:24:01.849732+00:00,,,,,,,
2020-10-21 21:24:01.857732+00:00,,,,,,,
2020-10-21 21:24:01.865732+00:00,,,,,,,
2020-10-21 21:24:01.873732+00:00,,,,,,,
2020-10-21 21:24:01.881732+00:00,,,,,,,
2020-10-21 21:24:01.889732+00:00,,,,,,,
2020-10-21 21:24:01.897732+00:00,,,,,,,
2020-10-21 21:24:01.905732+00:00,,,,,,,
2020-10-21 21:24:01.913732+00:00,,,,,,,
2020-10-21 21:24:01.921732+00:00,,,,,,,
2020-10-21 21:24:01.929732+00:00,,,,,,,
2020-10-21 21:24:01.937732+00:00,,,,,,,
2020-10-21 21:24:01.945732+00:00,,,,,,,
2020-10-21 21:24:01.953732+00:00,,,,,,,
2020-10-21 21:24:01.961732+00:00,,,,,,,
2020-10-21 21:24:01.969732+00:00,,,,,,,
2020-10-21 21:24:01.977732+00:00,,,,,,,
2020-10-21 21:24:01.985732+00:00,,,,,,,
2020-10-21 21:24:01.993732+00:00,,,,,,,
2020-10-21 21:24:02.001732+00:00,,,,,,,
2020-10-21 21:24:02.009732+00:00,,,,,,,
2020-10-21 21:24:02.017732+00:00,,,,,,,
2020-10-21 21:24:02.025732+00:00,,,,,,,
2020-10-21 21:24:02.033732+00:00,,,,,,,
2020-10-21 21:24:02.041732+00:00,,,,,,,
2020-10-21 21:24:02.049732+00:00,,,,,,,
2020-10-21 21:24:02.057732+00:00,,,,,,,
2020-10-21 21:24:02.065732+00:00,,,,,,,
2020-10-21 21:24:02.073732+00:00,,,,,,,
2020-10-21 21:24:02.081732+00:00,,,,,,,
2020-10-21 21:24:02.089732+00:00,,,,,,,
2020-10-21 21:24:02.097732+00:00,,,,,,,
2020-10-21 21:24:02.105732+00:00,,,,,,,
2020-10-21 21:24:02.113732+00:00,,,,,,,
2020-10-21 21:24:02.121732+00:00,,,,,,,
2020-10-21 21:24:02.129732+00:00,,,,,,,
2020-10-21 21:24:02.137732+00:00,,,,,,,
2020-10-21 21:24:02.145732+00:00,,,,,,,
2020-10-21 21:24:02.153732+00:00,,,,,,,
2020-10-21 21:24:02.161732+00:00,,,,,,,
2020-10-21 21:24:02.169732+00:00,,,,,,,
2020-10-21 21:24:02.177732+00:00,,,,,,,
2020-10-21 21:24:02.185732+00:00,,,,,,,
2020-10-21 21:24:02.193732+00:00,,,,,,,
2020-10-21 21:24:02.201732+00:00,,,,,,,
2020-10-21 21:24:02.209732+00:00,,,,,,,
2020-10-21 21:24:02.217732+00:00,,,,,,,
2020-10-21 21:24:02.225732+00:00,,,,,,,
2020-10-21 21:24:02.233732+00:00,,,,,,,
2020-10-21 21:24:02.241732+00:00,,,,,,,
2020-10-21 21:24:02.249732+00:00,,,,,,,
2020-10-21 21:24:02.257732+00:00,,,,,,,
2020-10-21 21:24:02.265732+00:00,,,,,,,
2020-10-21 21:24:02.273732+00:00,,,,,,,
2020-10-21 21:24:02.281732+00:00,,,,,,,
2020-10-21 21:24:02.289732+00:00,,,,,,,
2020-10-21 21:24:02.297732+00:00,,,,,,,
2020-10-21 21:24:02.305732+00:00,,,,,,,
2020-10-21 21:24:02.313732+00:00,,,,,,,
2020-10-21 21:24:02.321732+00:00,,,,,,,
2020-10-21 21:24:02.329732+00:00,,,,,,,
2020-10-21 21:24:02.337732+00:00,,,,,,,
2020-10-21 21:24:02.345732+00:00,,,,,,,
2020-10-21 21:24:02.353732+00:00,,,,,,,
2020-10-21 21:24:02.361732+00:00,,,,,,,
2020-10-21 21:24:02.369732+00:00,,,,,,,
2020-10-21 21:24:02.377732+00:00,,,,,,,
2020-10-21 21:24:02.385732+00:00,,,,,,,
2020-10-21 21:24:02.393732+00:00,,,,,,,
2020-10-21 21:24:02.401732+00:00,,,,,,,
2020-10-21 21:24:02.409732+00:00,,,,,,,
2020-10-21 21:24:02.417732+00:00,,,,,,,
2020-10-21 21:24:02.425732+00:00,,,,,,,
2020-10-21 21:24:02.433732+00:00,,,,,,,
2020-10-21 21:24:02.441732+00:00,,,,,,,
2020-10-21 21:24:02.449732+00:00,,,,,,,
2020-10-21 21:24:02.457732+00:00,,,,,,,
2020-10-21 21:24:02.465732+00:00,,,,,,,
2020-10-21 21:24:02.473732+00:00,,,,,,,
2020-10-21 21:24:02.481732+00:00,,,,,,,
2020-10-21 21:24:02.489732+00:00,,,,,,,
2020-10-21 21:24:02.497732+00:00,,,,,,,
2020-10-21 21:24:02.505732+00:00,,,,,,,
2020-10-21 21:24:02.513732+00:00,,,,,,,
2020-10-21 21:24:02.521732+00:00,,,,,,,
2020-10-21 21:24:02.529732+00:00,,,,,,,
2020-10-21 21:24:02.537732+00:00,,,,,,,
2020-10-21 21:24:02.545732+00:00,,,,,,,
2020-10-21 21:24:02.553732+00:00,,,,,,,
2020-10-21 21:24:02.561732+00:00,,,,,,,
