Time,R_IEV,R_FLX,L_IEV,L_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL,L_HEEL,L_EVR,L_DFX,L_INV,L_PFX
2020-10-21 21:30:17.588497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.596497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.604497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.612497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.620497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.628497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.636497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.644497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.652497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.660497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.668497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.676497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.684497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.692497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.700497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.708497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.716497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.724497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.732497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.740497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.748497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.756497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.764497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.772497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.780497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.788497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.796497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.804497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.812497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.820497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.828497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.836497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.844497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.852497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.860497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.868497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.876497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.884497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.892497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.900497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.908497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.916497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.924497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.932497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.940497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.948497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.956497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.964497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.972497+00:00,,,,,,,,,,,,,,
2020-10-21 21:30:17.980497+00:00,,,,,,,,,,,,,,
