Time,R Foot Inversion,R Ankle Flexion,SSRightPF,SSRightINV,SSRightDF,SSRightEVR
1.18,10.245943,-12.422287,479.9,583.7,555,588.1
1.185,9.886571,-12.584735,480.1868707122893,583.8753098797324,555.1434353561447,588.5462433302279
1.19,9.621518,-12.764999,480.5865143135428,584.1195365249429,555.3432571567714,589.1679111543999
1.195,9.475196,-12.95401,480.9861579147963,584.3637631701533,555.5430789573982,589.7895789785721
1.2,9.455736,-13.143782,481.3858015160498,584.6079898153637,555.7429007580249,590.4112468027441
1.205,9.553424,-13.328678,481.7,584.8,555.9,590.9
1.21,9.741421,-13.505204,481.7,584.8,555.9,590.9
1.215,9.979428,-13.670087,481.68231705960164,584.7876219417211,555.9088414701991,590.9229878225178
1.22,10.220242,-13.81738,481.42304770853167,584.6061333959722,556.0384761457342,591.2600379789088
1.225,10.418403,-13.936387,481.16377835746164,584.4246448502231,556.1681108212691,591.5970881352998
1.23,10.539183,-14.012755,480.9045090063916,584.2431563044742,556.2977454968042,591.9341382916909
1.235,10.564743,-14.033023,480.5943876395341,584.0577550558137,556.4985715364348,592.2316837081398
1.24,10.495195,-13.989554,480.0943533843849,583.857741353754,556.9652701745741,592.3816939846846
1.245,10.345889,-13.882926,479.59431912923566,583.6577276516942,557.4319688127133,592.5317042612294
1.25,10.143692,-13.721874,479.0942848740865,583.4577139496346,557.8986674508526,592.681714537774
1.255,9.922877,-13.521933,478.5942506189373,583.2577002475749,558.3653660889919,592.8317248143188
1.26,9.719429,-13.302996,478.09421636378806,583.0576865455153,558.8320647271312,592.9817350908636
1.265,9.563312,-13.085227,477.7,582.9,559.2,593.1
1.27,9.47077,-12.883789,477.7,582.9,559.2,593.1
1.275,9.441143,-12.705751,477.7,582.9,559.2,593.1
1.28,9.460993,-12.552091,477.7,582.9,559.2,593.1
1.285,9.511835,-12.421824,477.7,582.9,559.2,593.1
1.29,9.575497,-12.313557,477.7,582.9,559.2,593.1
1.295,9.63622,-12.224628,477.7,582.9,559.2,593.1
1.3,9.681668,-12.150347,477.7,582.9,559.2,593.1
