Time,R Foot Inversion,R Ankle Flexion,SSRightPF,SSRightINV,SSRightDF,SSRightEVR
2.36,0.606006,-26.738925,509.3,696.4,683.4,609.5
2.365,0.62772,-26.614018,509.3,696.4,683.4,609.5
2.37,0.671352,-26.587255,509.028327519168,696.259781945377,683.0582184918565,609.5963999125534
2.375,0.722876,-26.682957,508.0131381501897,695.7358132388075,681.78104476959345,609.9566283983198
2.38,0.760792,-26.912502,506.99794878121145,695.2118445322382,680.5038710473306,610.3168568840863
2.385,0.760557,-27.271401,506.55893559842605,694.8861445436222,678.8467372108646,610.7005019675593
2.39,0.699873,-27.738426,508.2362814729501,695.288707553508,675.79396771923075,611.170158812426
2.395,0.563316,-28.277387,509.9136273474742,695.6912705633938,672.741198227597,611.6398156572927
2.4,0.345033,-28.841715,511.5909732219983,696.0938335732795,669.6884287359632,612.1094725021595
2.405,0.048931,-29.381337,513.2683190965225,696.4963965831654,666.6356592443291,612.5791293470263
2.41,-0.313321,-29.850664,514.9456649710465,696.8989595930512,663.5828897526952,613.048786191893
2.415,-0.725501,-30.216021,516.2,697.2,661.3,613.4
2.42,-1.170251,-30.46085,516.2,697.2,661.3,613.4
2.425,-1.63205,-30.587492,516.2,697.2,661.3,613.4
2.43,-2.099461,-30.615201,516.2556849002078,697.240498109242,661.4822414915891,613.5771792279339
2.435,-2.566441,-30.575091,516.6229882733201,697.5076278351419,662.6843252581382,614.7458717787455
2.44,-3.032452,-30.503467,516.9902916464322,697.7747575610416,663.8864090246873,615.9145643295572
2.445,-3.501174,-30.435222,517.3,698,664.9,616.9
2.45,-3.978102,-30.398555000000002,517.3,698,664.9,616.9
2.455,-4.467836,-30.411507,517.3,698,664.9,616.9
2.46,-4.972035,-30.480337,517.3,698,664.9,616.9
2.465,-5.48856,-30.59962,517.3,698,664.9,616.9
2.47,-6.011696,-30.753969,517.3,698,664.9,616.9
2.475,-6.533042,-30.921077,517.3,698,664.9,616.9
2.48,-7.042628,-31.075477,517.3,698,664.9,616.9
2.485,-7.529963,-31.192296,517.3,698,664.9,616.9
2.49,-7.984806,-31.25049,517.1777984461709,697.7323204058981,665.1211266212146,617.02802067544
2.495,-8.397691,-31.235265,516.4795236403995,696.2027660694466,666.3846715078485,617.7595466624385
2.5,-8.760426,-31.139517,515.7812488346282,694.673211732995,667.6482163944823,618.4910726494371
2.505,-9.066758,-30.964167,515.0443682081817,693.4055582782792,668.91677285289,619.1138956956981
2.51,-9.313217,-30.71741,514.1157387924866,693.4387236145541,670.2102209676082,619.1968090363852
2.515,-9.499905,-30.413045,513.1871093767915,693.4718889508289,671.5036690823263,619.2797223770722
2.52,-9.6309,-30.068212,512.2584799610964,693.5050542871037,672.7971171970443,619.3626357177593
2.525,-9.713998,-29.700959,511.32985054540137,693.5382196233785,674.0905653117624,619.4455490584463
2.53,-9.75971,-29.328088,510.40122112970624,693.5713849596534,675.3840134264806,619.5284623991334
2.535,-9.779692,-28.963586,509.6,693.6,676.5,619.6
2.54,-9.785054,-28.617743,509.6,693.6,676.5,619.6
2.545,-9.785042,-28.296899,509.6,693.6,676.5,619.6
2.55,-9.786453,-28.003655,509.41201419041755,693.6398757777903,676.6993788889511,619.6028482698422
2.555,-9.793857,-27.737326,507.1951693640738,694.1101155894389,679.0505779471945,619.6364368278171
2.56,-9.810372,-27.494553,504.9783245377303,694.5803554010876,681.4017770054376,619.670025385792
2.565,-9.838576,-27.270035,503,695,683.5,619.7
2.57,-9.881125,-27.057463,503,695,683.5,619.7
2.575,-9.940869,-26.850632,503,695,683.5,619.7
2.58,-10.020528,-26.644571,503,695,683.5,619.7
2.585,-10.122125,-26.43637,503,695,683.5,619.7
2.59,-10.24637,-26.225503,503,695,683.5,619.7
2.595,-10.392069,-26.013632,503,695,683.5,619.7
2.6,-10.555633,-25.804087,503,695,683.5,619.7
2.605,-10.730974,-25.601113,503,695,683.5,619.7
