Time,R Foot Inversion,R Ankle Flexion,SSRightPF,SSRightINV,SSRightDF,SSRightEVR
4.74,3.331302,-27.21206,528.9294258524981,687.4970172878662,582.4658372720062,714.70448183981
4.745,3.252997,-27.272524,529.3132150308058,681.0237731470746,581.2377119014212,719.2843660342832
4.75,3.033753,-27.433571,529.6970042091137,674.5505290062829,580.0095865308363,723.8642502287563
4.755,2.655155,-27.715369,529.7,674.5,580,723.9
4.76,2.111835,-28.127013,529.7009650715697,674.4950367747846,579.9956709646733,723.9043290353267
4.765,1.413198,-28.663254,530.0449320621294,672.7260636804776,578.4527333213055,725.4472666786945
4.77,0.584621,-29.302486,530.3888990526891,670.9570905861707,576.9097956779377,726.9902043220623
4.775,-0.332546,-30.006821,530.7328660432488,669.1881174918634,575.3668580345698,728.5331419654302
4.78,-1.283448,-30.724974,531.0768330338085,667.4191443975565,573.823920391202,730.076079608798
4.785,-2.205717,-31.398332,531.4208000243682,665.6501713032495,572.2809827478343,731.6190172521657
4.79,-3.038933,-31.969748,531.7647670149279,663.8811982089426,570.7380451044666,733.1619548955334
4.795,-3.735697,-32.393382,532.1087340054876,662.1122251146356,569.1951074610988,734.7048925389012
4.8,-4.271085,-32.643018,532.4527009960473,660.3432520203287,567.6521698177311,736.2478301822689
4.805,-4.647282,-32.716298,532.796667986607,658.5742789260216,566.1092321743633,737.7907678256366
4.81,-4.89182,-32.633535,533.1406349771667,656.8053058317147,564.5662945309956,739.3337054690044
4.815,-5.05009,-32.431567,533.2,656.5,564.3,739.6
4.82,-5.174617,-32.154854,533.2,656.5,564.3,739.6
4.825,-5.314188,-31.846754,532.3060932737567,656.4361495195541,565.3216076871352,740.6216076871352
4.83,-5.505462,-31.543328,530.8299960156608,656.3307140011186,567.008575982102,742.308575982102
4.835,-5.76857,-31.270571,529.3538987575649,656.2252784826832,568.6955442770687,743.9955442770687
4.84,-6.107044,-31.04447,527.877801499469,656.1198429642478,570.3825125720355,745.6825125720355
4.845,-6.511316,-30.872569,527.6,656.1,570.7,746
4.85,-6.964323,-30.75583,527.6,656.1,570.7,746
4.855,-7.447335,-30.690133,526.7275243757432,655.4710059453033,571.5116052318668,747.2579881093935
4.86,-7.944431,-30.667217,525.6333758159624,654.6822011696473,572.5294178456164,748.8355976607054
4.865,-8.444768,-30.675228,524.5392272561818,653.8933963939916,573.5472304593658,750.4132072120169
4.87,-8.94275,-30.699125,523.4450786964012,653.1045916183358,574.5650430731152,751.9908167633286
4.875,-9.436768,-30.721203,523.3,653,574.7,752.2
4.88,-9.927367,-30.722047,523.2556269036603,652.9751241732641,574.7497516534718,752.2322713427925
4.885,-10.41546,-30.682125,522.6068377371225,652.6114090344475,575.477181931105,752.7041180093654
4.89,-10.900856,-30.584081,521.9580485705849,652.2476938956308,576.2046122087382,753.1759646759383
4.895,-11.381154,-30.415426,521.3092594040471,651.8839787568143,576.9320424863714,753.6478113425112
4.9,-11.851051,-30.170945,520.6604702375092,651.5202636179976,577.6594727640048,754.1196580090842
4.905,-12.302397,-29.853954,520.0116810709715,651.156548479181,578.3869030416381,754.5915046756571
4.91,-12.725294,-29.47577,519.3628919044338,650.7928333403644,579.1143333192713,755.06335134223
4.915,-13.110162,-29.053406,518.714102737896,650.4291182015477,579.8417635969046,755.5351980088029
4.92,-13.450118,-28.606267,518.0653135713583,650.0654030627311,580.5691938745377,756.0070446753758
4.925,-13.742751,-28.152887,517.4165244048205,649.7016879239145,581.296624152171,756.4788913419487
4.93,-13.990743,-27.708532,516.7677352382827,649.3379727850978,582.0240544298042,756.9507380085216
4.935,-14.201351,-27.283897,516.7,649.3,582.1,757
4.94,-14.385159,-26.88473,516.7,649.3,582.1,757
4.945,-14.554418,-26.512171,516.7,649.3,582.1,757
4.95,-14.72114,-26.16362,516.7,649.3,582.1,757
4.955,-14.895187,-25.833959,516.7,649.3,582.1,757
4.96,-15.082777,-25.516934,516.7,649.3,582.1,757
4.965,-15.285808,-25.206479,516.7,649.3,582.1,757
4.97,-15.502196,-24.8978,516.4534562332758,649.4004437568135,582.4835125260156,757.1369687592912
4.975,-15.727004,-24.588061,515.8299293037188,649.6544732466331,583.4534433053265,757.4833726090451
4.98,-15.953856,-24.276572,515.2064023741618,649.9085027364525,584.4233740846372,757.8297764587991
4.985,-16.176164,-23.964507,514.5828754446047,650.1625322262721,585.3933048639483,758.176180308553
4.99,-16.387906,-23.654275,513.8129076347243,650.466032599509,586.5091032317787,758.4889945667485
4.995,-16.584029,-23.348776,510.94321841671007,651.47886408822,589.7164029460299,758.32018931863
5,-16.760637,-23.050808,508.8260888061192,652.2119211603034,592.1168273709729,758.2429161770922
5.005,-16.915022,-22.762726,508.5241623421557,652.2606189770717,592.5940659753022,758.418228317458
5.01,-17.045568,-22.48632,508.2222358781923,652.30931679384,593.0713045796315,758.5935404578239
5.015,-17.151627,-22.22275,507.9203094142288,652.3580146106083,593.5485431839609,758.7688525981897
5.02,-17.233501,-21.972413,507.6183829502654,652.4067124273765,594.0257817882901,758.9441647385556
5.025,-17.292616,-21.734753,507.31645648630195,652.4554102441449,594.5030203926195,759.1194768789214
5.03,-17.331753,-21.50814,507.01453002233853,652.5041080609132,594.9802589969488,759.2947890192874
5.035,-17.355113,-21.289943,506.71260355837506,652.5528058776815,595.4574976012781,759.4701011596532
5.04,-17.368087,-21.076842,506.41067709441165,652.6015036944498,595.9347362056074,759.6454133000191
5.045,-17.37676,-20.865201,506.1087506304482,652.650201511218,596.4119748099367,759.8207254403849
5.05,-17.387273,-20.651394,505.8068241664848,652.6988993279864,596.889213414266,759.9960375807508
5.055,-17.405123,-20.432087,505.8,652.7,596.9,760
5.06,-17.434481,-20.204549,505.8,652.7,596.9,760
5.065,-17.477649,-19.966964,505.05415449192276,652.6278214024442,597.9586194308193,760.2887143902235
5.07,-17.534861,-19.718538,504.2744786347336,652.5523689001355,599.0652561313458,760.590524399458
5.075,-17.604518,-19.459297,503.4948027775445,652.4769163978269,600.1718928318722,760.8923344086925
5.08,-17.683723,-19.189678,502.71512692035543,652.4014638955182,601.2785295323987,761.194144417927
5.085,-17.768789,-18.910243,502.7,652.4,601.3,761.2
5.09,-17.855415,-18.621768,502.50718401051364,652.2831418245537,601.5921454386157,761.3402298105356
5.095,-17.938498,-18.325696,501.74926027817327,651.8237941079838,602.7405147300404,761.8914470704195
5.1,-18.01187,-18.024638,500.9913365458329,651.3644463914138,603.8888840214653,762.4426643303034
5.105,-18.068486,-17.722475,500.2334128134925,650.905098674844,605.03725331289,762.9938815901872
5.11,-18.101455,-17.423895,499.47548908115203,650.445750958274,606.1856226043151,763.5450988500712
5.115,-18.105897,-17.133571,499.4,650.4,606.3,763.6
5.12,-18.080968,-16.855415,499.4,650.4,606.3,763.6
5.125,-18.031102,-16.592204,499.0241963596249,650.1630803136766,606.70031257344294,763.7633928871196
5.13,-17.965677,-16.345549,498.5615042471042,649.8713831123048,607.1931802585194,763.9645633708243
5.135,-17.89687,-16.116037,498.09881213458357,649.5796859109331,607.6860479435958,764.1657338545289
