Time,L Foot Inversion,L Ankle Flexion,SSLeftPF,SSLeftINV,SSLeftDF,SSLeftEVR
4.015,2.917207,-5.303016,539.9,626.7,548.7,568.4
4.02,2.814089,-5.182305,539.8253036292917,627.1108300388955,548.5879554439376,567.9891699611045
4.025,2.681609,-5.067731,539.7297608528522,627.6363153093127,548.4446412792784,567.4636846906873
4.03,2.526296,-4.971983,539.6342180764127,628.16180057973,548.3013271146191,566.93819942027
4.035,2.356657,-4.907728,539.5386752999732,628.6872858501472,548.1580129499599,566.4127141498528
4.04,2.182745,-4.886242,539.5098231611586,628.9982316115857,547.8642441321944,565.9642441321944
4.045,2.015555,-4.916138,539.5263270074486,629.1632700744861,547.4681518212332,565.5681518212331
4.05,1.866223,-5.00247,539.5428308537387,629.3283085373866,547.0720595102719,565.1720595102719
4.055,1.74484,-5.146388,539.5593347000288,629.4933470002873,546.6759671993107,564.7759671993106
4.06,1.658738,-5.345523,539.5758385463188,629.6583854631878,546.2798748883494,564.3798748883494
4.065,1.610378,-5.595021,539.5923423926089,629.8234239260883,545.8837825773882,563.9837825773881
4.07,1.595441,-5.889018,539.6,629.9,545.7,563.8
4.075,1.601954,-6.222136,539.6,629.9,545.7,563.8
4.08,1.611065,-6.590605,539.6,629.9,545.7,563.8
4.085,1.599526,-6.992731,539.6,629.9,545.7,563.8
4.09,1.543374,-7.428759,539.6,629.9,545.7,563.8
4.095,1.421973,-7.900435,539.6,629.9,545.7,563.8
4.1,1.221533,-8.410598,539.6,629.9,545.7,563.8
4.105,0.937436,-8.962954,539.6042322170956,629.9304719630883,545.6162021015073,563.7661422632352
4.11,0.575082,-9.561993,539.7155808878576,630.7321823925752,543.4114984204182,562.8753528971386
4.115,0.149249,-10.212975,539.8269295586198,631.5338928220622,541.2067947393291,561.984563531042
4.12,-0.317869,-10.921936,539.9382782293818,632.3356032515491,539.0020910582401,561.0937741649454
4.125,-0.799676,-11.695652,540.049626900144,633.137313681036,536.797387377151,560.2029847988489
4.13,-1.268829,-12.541493,540.1,633.5,535.8,559.8
4.135,-1.700973,-13.467189,540.1,633.5,535.8,559.8
4.14,-2.077991,-14.480556,540.814180683342,634.7011220583478,532.7485007166299,558.6475720791528
4.145,-2.390304,-15.589114,541.8807427990199,636.4948856165335,528.1913716769149,556.9265286652178
4.15,-2.637949,-16.799273,542.947304914698,638.2886491747192,523.6342426371998,555.2054852512829
4.155,-2.830239,-18.114715,544.0138670303759,640.0824127329049,519.0771135974846,553.484441837348
4.16,-2.983954,-19.533903,546.715192845685,640.5613134905358,515.1051862848892,552.1141638755214
4.165,-3.120179,-21.047163,550.7856996150144,639.938963282002,511.62338917228107,551.0376662175169
4.17,-3.260163,-22.634053,554.8562063843439,639.3166130734681,508.14159205967286,549.9611685595124
4.175,-3.420938,-24.261779,558.9267131536732,638.6942628649343,504.65979494706465,548.8846709015079
4.18,-3.611748,-25.88522,562.9972199230034,638.0719126564004,501.1779978344558,547.8081732435032
4.185,-3.832356,-27.449075,567.0677266923327,637.4495624478666,497.6962007218476,546.7316755854987
4.19,-4.073874,-28.892344,568.7,637.2,496.3,546.3
4.195,-4.322055,-30.154731,568.7,637.2,496.3,546.3
4.2,-4.562217,-31.183875,568.7,637.2,496.3,546.3
4.205,-4.78447,-31.94186,568.7,637.2,496.3,546.3
4.21,-4.987742,-32.40964,568.7,637.2,496.3,546.3
4.215,-5.181367,-32.588594,568.7,637.2,496.3,546.3
4.22,-5.383665,-32.499195,568.7,637.2,496.3,546.3
4.225,-5.617878,-32.17736,568.7196635153917,637.1849896829071,496.2972981429233,546.2989492778034
4.23,-5.906628,-31.669297,571.6118910809789,634.9771823809322,495.8998928285678,546.1444027666652
4.235,-6.26652,-31.025838,574.504118646566,632.7693750789573,495.5024875142123,545.989856255527
4.24,-6.704388,-30.297095,577.3963462121532,630.5615677769823,495.10508219985684,545.8353097443887
4.245,-7.216095,-29.528136,580.2885737777403,628.3537604750074,494.7076768855013,545.6807632332506
4.25,-7.787834,-28.756044,581.8,627.2,494.5,545.6
4.255,-8.399161,-28.008438,581.8,627.2,494.5,545.6
4.26,-9.026693,-27.303287,579.3532561427054,625.1461639154097,494.7678916632074,547.0108960928925
4.265,-9.64755,-26.649783,576.0857540643353,622.4033701999896,495.12564736521875,548.8950761234855
4.27,-10.241977,-26.050072,572.8182519859657,619.6605764845699,495.48340306723003,550.7792561540781
4.275,-10.794921,-25.50156,569.5507499075962,616.9177827691502,495.8411587692413,552.6634361846708
4.28,-11.296562,-24.999364,566.815729323904,614.7945429765654,496.9886112398725,553.8326168657514
