Time,L Foot Inversion,L Ankle Flexion,SSLeftPF,SSLeftINV,SSLeftDF,SSLeftEVR
2.805,-18.605427,-0.438286,539.6,575.7,518.7,561.1
2.81,-18.520248,-0.099172,539.3783416883898,575.4598701624224,519.0879020453178,559.8808792861439
2.815,-18.404048,0.212223,538.7475560457189,574.7765190495288,520.191776919992,556.4115582514538
2.82,-18.258935,0.496766,538.4,574.4,520.8,554.5
2.825,-18.08826,0.756807,538.4,574.4,520.8,554.5
2.83,-17.895956,0.995472,538.4,574.4,520.8,554.5
2.835,-17.686061,1.215943,538.4,574.4,520.8,554.5
2.84,-17.462502,1.420871,538.220338614591,574.5026636488051,520.9539954732077,552.8317157069166
2.845,-17.229072,1.611921,537.8339804716286,574.723439730498,521.2851595957469,549.2441043794082
2.85,-16.989478,1.7894,537.7,574.8,521.4,548
2.855,-16.747331,1.951864,537.7,574.8,521.4,548
2.86,-16.506039,2.095641,537.7,574.8,521.4,548
2.865,-16.268616,2.214317,537.7,574.8,521.4,548
2.87,-16.037465,2.298323,537.7,574.8,521.4,548
2.875,-15.814163,2.334789,537.7,574.8,521.4,548
2.88,-15.599288,2.307765,537.7,574.8,521.4,548
2.885,-15.392221,2.198725,537.7,574.8,521.4,548
2.89,-15.190899,1.987118,537.7,574.8,521.4,548
2.895,-14.991588,1.650774,537.7,574.8,521.4,548
2.9,-14.78892,1.166161,537.6537672816485,574.9849308734063,520.6602765063749,546.2200403434647
2.905,-14.576462,0.508836,537.5498282429033,575.4006870283866,518.9972518864535,542.2183873517783
2.91,-14.347931,-0.345345,537.5,575.6,518.2,540.3
2.915,-14.09895,-1.417839,537.5,575.6,518.2,540.3
2.92,-13.828994,-2.72383,537.5,575.6,518.2,540.3
2.925,-13.542996,-4.268035,537.5,575.6,518.2,540.3
2.93,-13.252034,-6.040798,537.6893734977614,576.5679089885582,514.7702355405438,538.8060535176601
2.935,-12.972664,-8.015316,538.1835574581729,579.0937381195508,505.8200149242006,534.9074911633021
2.94,-12.7248,-10.14657,538.4,580.2,501.9,533.2
2.945,-12.528379,-12.372217,538.4,580.2,501.9,533.2
2.95,-12.399344,-14.615653,538.4,580.2,501.9,533.2
2.955,-12.345662,-16.791357,538.4,580.2,501.9,533.2
2.96,-12.364361,-18.812364,543.5895617314883,583.1833712369425,497.43747831785066,532.6985930694215
2.965,-12.440643,-20.599179,554.7450555448481,589.596432897763,487.8448314638505,531.6207675802079
2.97,-12.549886,-22.088842,561.3551876334604,591.0317532262557,484.0784192570961,531.512920772107
2.975,-12.662592,-23.242419,565.0545551945039,589.2794212236561,484.04301861057894,532.0262301466058
2.98,-12.751235,-24.04931,568.7539227555474,587.5270892210566,484.00761796406175,532.5395395211046
2.985,-12.796903,-24.527255,572.4532903165908,585.774757218457,483.97221731754456,533.0528488956036
