Time,L Foot Inversion,L Ankle Flexion,SSLeftPF,SSLeftINV,SSLeftDF,SSLeftEVR
1.73,-3.409796,-0.113257,543.7,612.2,526.2,543.8
1.735,-3.240675,0.061072,543.7,612.2,526.2,543.8
1.74,-3.0744,0.261186,543.6640748992537,612.5951761082096,526.1076211695095,543.5741850810231
1.745,-2.905075,0.482517,543.4853483326638,614.561168340699,525.6480385697067,542.4507609481719
1.75,-2.728154,0.717534,543.3066217660738,616.5271605731887,525.188455969904,541.3273368153208
1.755,-2.541429,0.95633,543.1278951994838,618.4931528056784,524.7288733701012,540.2039126824694
1.76,-2.345387,1.187453,543,619.9,524.4,539.4
1.765,-2.142887,1.39894,543,619.9,524.4,539.4
1.77,-1.938302,1.579335,543,619.9,524.4,539.4
1.775,-1.736375,1.718423,543,619.9,524.4,539.4
1.78,-1.54112,1.807523,543,619.9,524.4,539.4
1.785,-1.355089,1.839335,543,619.9,524.4,539.4
1.79,-1.179214,1.807457,543,619.9,524.4,539.4
1.795,-1.013244,1.705835,543,619.9,524.4,539.4
1.8,-0.85656,1.52837,543.2143551612509,621.3647602685478,523.4532647044753,538.3103612636413
1.805,-0.709069,1.268802,543.4819016494528,623.1929946045938,522.2716010482503,536.9503332819485
1.81,-0.571784,0.920767,543.7494481376547,625.0212289406398,521.0899373920255,535.5903053002556
1.815,-0.446905,0.477892,544.0169946258566,626.8494632766862,519.9082737358004,534.2302773185627
1.82,-0.337365,-0.066205,544.2,628.1,519.1,533.3
1.825,-0.246104,-0.71811,544.2,628.1,519.1,533.3
1.83,-0.175435,-1.48507,545.1608259941189,628.9103351757628,518.2723004990422,532.9874421464914
1.835,-0.126878,-2.375474,549.4085074856326,632.4927171565577,514.6131531900876,531.6056662396135
1.84,-0.101625,-3.398908,553.6561889771467,636.0750991373527,510.9540058811327,530.2238903327353
1.845,-0.101639,-4.565266,557.9038704686604,639.6574811181474,507.29485857217804,528.8421144258574
1.85,-0.131126,-5.882896,560.8,642.1,504.8,527.9
1.855,-0.197844,-7.356224,560.8,642.1,504.8,527.9
1.86,-0.313571,-8.983579,565.2792877371286,641.5978376976313,502.8716967589043,527.9301297381421
1.865,-0.493172,-10.755818,576.3069094639048,640.3615572349883,498.1243797823549,528.0043065659007
1.87,-0.752191,-12.655927,587.334531190681,639.1252767723452,493.37706280580545,528.0784833936593
1.875,-1.103386,-14.65934,598.3621529174573,637.8889963097021,488.6297458292561,528.1526602214179
1.88,-1.553018,-16.734467,605.4,637.1,485.6,528.2
1.885,-2.097787,-18.84299,605.4,637.1,485.6,528.2
1.89,-2.723208,-20.939805,605.4,637.1,485.6,528.2
1.895,-3.403938,-22.973069,605.4,637.1,485.6,528.2
1.9,-4.106211,-24.885245,605.4,637.1,485.6,528.2
1.905,-4.792073,-26.61617,605.4,637.1,485.6,528.2
1.91,-5.424773,-28.108574,605.4,637.1,485.6,528.2
1.915,-5.974424,-29.31548,605.4,637.1,485.6,528.2
1.92,-6.422978,-30.207827,611.7308023597235,632.6342177948977,485.6684411065916,528.8501905126203
1.925,-6.767509,-30.780067,620.091616302562,626.7364544460306,485.75882828435203,529.7088687013443
1.93,-7.02082,-31.051824,628.4524302454005,620.8386910971634,485.84921546211245,530.5675468900682
1.935,-7.208736,-31.064828,636.813244188239,614.9409277482963,485.9396026398729,531.4262250787921
1.94,-7.364232,-30.875844,642.4,611,486,532
1.945,-7.519637,-30.547456,642.4,611,486,532
1.95,-7.699041,-30.138927,641.8742852693305,610.2219421986091,485.9859809405155,532.1261715353606
1.955,-7.913084,-29.699005,639.9900629526029,607.4332931698523,485.9357350120694,532.5783848913753
1.96,-8.15746,-29.261669,638.1058406358752,604.6446441410953,485.8854890836233,533.0305982473899
1.965,-8.415246,-28.84504,636.2216183191474,601.8559951123382,485.8352431551773,533.4828116034046
1.97,-8.661974,-28.453055,634.9,599.9,485.8,533.8
1.975,-8.871813,-28.079102,634.9,599.9,485.8,533.8
1.98,-9.023196,-27.710613,633.9277574810345,599.6943333132957,485.7563737331234,533.7688383808023
1.985,-9.102782,-27.33351,629.9945101650695,598.8623002272262,485.57988186638136,533.6427727617009
1.99,-9.107278,-26.93565,626.0612628491048,598.0302671411569,485.40338999963933,533.5167071425994
1.995,-9.043216,-26.508803,622.1280155331401,597.1982340550874,485.22689813289736,533.3906415234981
2,-8.925113,-26.049247,619.3,596.6,485.1,533.3
2.005,-8.772549,-25.5574,619.3,596.6,485.1,533.3
2.01,-8.606765,-25.036987,619.3,596.6,485.1,533.3
2.015,-8.447401,-24.494056,619.3,596.6,485.1,533.3
2.02,-8.309959,-23.935931,619.3,596.6,485.1,533.3
2.025,-8.204431,-23.370106,619.3,596.6,485.1,533.3
2.03,-8.135189,-22.803178,619.3,596.6,485.1,533.3
2.035,-8.101836,-22.240039,619.3,596.6,485.1,533.3
2.04,-8.100511,-21.683551,615.798244758449,596.7935643600857,484.90643563991426,532.8776777598129
2.045,-8.125101,-21.134889,611.40241748079,597.0365497874941,484.663450212506,532.3475277363766
2.05,-8.167994,-20.594515,607.0065902031314,597.2795352149024,484.42046478509775,531.8173777129405
2.055,-8.220358,-20.063465,602.6107629254727,597.5225206423106,484.17747935768944,531.2872276895042
2.06,-8.272212,-19.544428,599.4,597.7,484,530.9
2.065,-8.31275,-19.042104,599.4,597.7,484,530.9
2.07,-8.331265,-18.562707,597.8172892192437,597.7961868430294,484.3760031136603,530.9437212922861
2.075,-8.318706,-18.112833,593.3740665574154,598.0662169495494,485.4315753482383,531.0664622497951
2.08,-8.269521,-17.69813,588.930843895587,598.3362470560693,486.48714758281636,531.1892032073042
2.085,-8.183194,-17.322166,584.4876212337588,598.6062771625892,487.54271981739436,531.3119441648133
2.09,-8.064975,-16.985739,581.3,598.8,488.3,531.4
2.095,-7.925504,-16.686711,581.3,598.8,488.3,531.4
2.1,-7.77937,-16.420299,580.2552280956337,598.9084197259248,488.8716676457853,531.331005628957
2.105,-7.642862,-16.179702,577.6537592772466,599.178383471229,490.295112848299,531.1592105183088
2.11,-7.531388,-15.956915,575.0522904588594,599.4483472165334,491.7185580508128,530.9874154076606
2.115,-7.457061,-15.743659,572.4508216404723,599.7183109618378,493.1420032533265,530.8156202970124
2.12,-7.426918,-15.532373,570.7,599.9,494.1,530.7
2.125,-7.442024,-15.317152,570.7,599.9,494.1,530.7
2.13,-7.497512,-15.094423,570.7,599.9,494.1,530.7
2.135,-7.583431,-14.863161,570.7,599.9,494.1,530.7
2.14,-7.686197,-14.624626,570.7,599.9,494.1,530.7
2.145,-7.79039,-14.381761,570.7,599.9,494.1,530.7
2.15,-7.88062,-14.138517,570.7,599.9,494.1,530.7
2.155,-7.943216,-13.899292,570.7,599.9,494.1,530.7
2.16,-7.967527,-13.668566,570.1705420012354,600.232802170652,494.8714959410571,530.9420379422925
2.165,-7.94674,-13.450673,569.3609558369365,600.7416849024971,496.051178637607,531.3121344745434
2.17,-7.878205,-13.249615,568.5513696726374,601.2505676343422,497.23086133415694,531.6822310067944
2.175,-7.763331,-13.06889,567.7417835083385,601.7594503661873,498.41054403070683,532.0523275390452
2.18,-7.607056,-12.911372,567.2,602.1,499.2,532.3
2.185,-7.416933,-12.779369,567.2,602.1,499.2,532.3
2.19,-7.201894,-12.674908,567.3660969266714,602.5855140933471,499.48747545000816,532.3702717766686
2.195,-6.970924,-12.600099,568.0210751184707,604.5000657309141,500.62109155119913,532.6473779347375
2.2,-6.731943,-12.557334000000001,568.6760533102698,606.4146173684811,501.75470765239015,532.9244840928064
2.205,-6.491118,-12.549121,569.3310315020691,608.3291690060482,502.8883237535811,533.2015902508754
2.21,-6.25267,-12.577608,569.8,609.7,503.7,533.4
2.215,-6.019075,-12.643933,569.8,609.7,503.7,533.4
2.22,-5.79154,-12.747605,571.1829920363917,610.8438280000233,504.06394527273466,533.951117127284
2.225,-5.570564,-12.886043,574.4280165670973,613.527682875043,504.9178990966045,535.2442472034297
2.23,-5.356471,-13.054379,577.6730410978028,616.2115377500625,505.77185292047443,536.5373772795756
2.235,-5.149813,-13.245642,580.9180656285085,618.8953926250823,506.62580674434435,537.8305073557215
2.24,-4.95156,-13.45139,583.1,620.7,507.2,538.7
2.245,-4.763033,-13.662737,583.1,620.7,507.2,538.7
2.25,-4.585677,-13.87154,583.1,620.7,507.2,538.7
2.255,-4.420807,-14.071394,583.1,620.7,507.2,538.7
2.26,-4.269456,-14.258181,583.1,620.7,507.2,538.7
2.265,-4.132248,-14.430044,583.1,620.7,507.2,538.7
2.27,-4.009258,-14.5869,583.1,620.7,507.2,538.7
2.275,-3.899865,-14.72973,583.1,620.7,507.2,538.7
2.28,-3.802708,-14.859904,586.2136023749571,622.7187092321151,506.89206130357564,539.1790157499935
2.285,-3.715881,-14.9787,590.2603769820023,625.3424422191005,506.49183084793384,539.8015964587696
2.29,-3.637421,-15.086978,594.3071515890475,627.9661752060858,506.091600392292,540.4241771675458
2.295,-3.565974,-15.184913,598.3539261960932,630.5899081930714,505.6913699366501,541.0467578763221
2.3,-3.501492,-15.271731,601.3,632.5,505.4,541.5
2.305,-3.445764,-15.345561,601.3,632.5,505.4,541.5
2.31,-3.402648,-15.403577,601.4763389888249,632.6191479654223,505.314213464896,541.5142977558506
2.315,-3.377915,-15.442554,602.4204101397347,633.2570338781991,504.85493560769663,541.5908440653839
2.32,-3.37862,-15.459877,603.3644812906444,633.894919790976,504.3956577504973,541.6673903749171
2.325,-3.412074,-15.455012,604.3085524415542,634.5328057037528,503.93637989329795,541.7439366844503
2.33,-3.484663,-15.431324,605,635,503.6,541.8
2.335,-3.600898,-15.398015,605,635,503.6,541.8
2.34,-3.76303,-15.371769,604.8438344132911,634.7278256917359,503.58215250437615,541.795538126094
2.345,-3.971273,-15.377561,603.9421936553757,633.1563946565119,503.47910784632865,541.7697769615821
2.35,-4.224325,-15.44797,603.0405528974603,631.584963621288,503.3760631882812,541.7440157970703
2.355,-4.519715,-15.620462,602.1389121395449,630.013532586064,503.2730185302337,541.7182546325585
2.36,-4.853524,-15.9324,601.5,628.9,503.2,541.7
2.365,-5.219223,-16.414098,601.5,628.9,503.2,541.7
2.37,-5.60571,-17.080926,601.5,628.9,503.2,541.7
2.375,-5.99495,-17.926311,601.5,628.9,503.2,541.7
2.38,-6.360187,-18.918165,601.5,628.9,503.2,541.7
2.385,-6.666177,-20.001105,601.5,628.9,503.2,541.7
2.39,-6.873063,-21.105209,601.5,628.9,503.2,541.7
2.395,-6.944561,-22.159174,601.5,628.9,503.2,541.7
2.4,-6.85897,-23.103162,604.8103299940825,627.2536861526755,500.03128840138623,542.8152448643166
2.405,-6.619249,-23.896422,608.9544611970582,625.1927011159015,496.06444623383203,544.2113960182603
2.41,-6.257622,-24.51742,613.0985924000339,623.1317160791276,492.09760406627777,545.6075471722039
2.415,-5.831931,-24.958247,617.2427236030095,621.0707310423536,488.13076189872356,547.0036983261476
2.42,-5.41423,-25.217706,621.0300445051525,618.8664722977722,485.2855224795613,548.4439772934537
2.425,-5.075163,-25.297253,623.9283041038107,616.3052196291907,485.23497144004983,549.9942091718057
2.43,-4.869063,-25.201374,626.8265637024688,613.743966960609,485.18442040053833,551.5444410501577
2.435,-4.82402,-24.940911,629.7248233011269,611.1827142920274,485.1338693610269,553.0946729285097
2.44,-4.939099,-24.536265,632.6230828997852,608.6214616234456,485.0833183215154,554.6449048068619
2.445,-5.188438,-24.017942,635.5213424984433,606.060208954864,485.0327672820039,556.1951366852139
2.45,-5.530091,-23.423743,636.1766760157991,604.2326585115951,485.10963752688593,557.2403927730633
2.455,-5.916725,-22.793677,632.6993288334442,603.7569836611787,485.42128656681393,557.3552108404052
2.46,-6.305431,-22.164472,629.2219816510892,603.2813088107622,485.732935606742,557.4700289077471
2.465,-6.664762,-21.565317,625.744634468734,602.8056339603456,486.04458464667005,557.584846975089
2.47,-6.978241,-21.015629,622.2672872863791,602.3299591099292,486.3562336865981,557.6996650424309
2.475,-7.24455,-20.524824,618.7899401040241,601.8542842595127,486.6678827265261,557.8144831097728
2.48,-7.475081,-20.093616,616.2,601.5,486.9,557.9
2.485,-7.689658,-19.716219,616.2,601.5,486.9,557.9
2.49,-7.911143,-19.382894,616.2,601.5,486.9,557.9
2.495,-8.159637,-19.082367,616.2,601.5,486.9,557.9
2.5,-8.447062,-18.803831,616.2,601.5,486.9,557.9
2.505,-8.773015,-18.53839,616.2,601.5,486.9,557.9
2.51,-9.122808,-18.279907,616.2,601.5,486.9,557.9
2.515,-9.468338,-18.025289,616.2,601.5,486.9,557.9
2.52,-9.771906,-17.774356,613.7247160056696,601.2922838606156,487.9212710186398,557.4326386863852
2.525,-9.992411,-17.529507,610.5167066349316,601.0230802770571,489.2448553044688,556.8269306233786
2.53,-10.092724,-17.295244,607.3086972641937,600.7538766934988,490.56843959029766,556.2212225603722
2.535,-10.046801,-17.07746,604.100687893456,600.4846731099403,491.8920238761266,555.6155144973659
2.54,-9.845146,-16.882253,601.9,600.3,492.8,555.2
2.545,-9.49765,-16.714214,601.9,600.3,492.8,555.2
2.55,-9.033396,-16.574498,601.4523764155497,600.4336189804329,493.1874950432555,555.1799571529351
2.555,-8.497565,-16.459283,599.7133798438099,600.9527224346836,494.6928950605825,555.1020916347975
2.56,-7.945998,-16.359326,597.9743832720702,601.4718258889342,496.1982950779094,555.0242261166599
2.565,-7.438205,-16.261016,596.2353867003304,601.9909293431849,497.7036950952364,554.9463605985222
