,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
1611785427911169,802.5,0.0,0.0,0.0,0.0
1611785427915169,804.6,0.0,0.0,0.0,0.0
1611785427919169,806.0,0.0,0.0,0.0,0.0
1611785427923169,808.3,0.0,0.0,0.0,0.0
1611785427927169,807.4,0.0,0.0,0.0,0.0
1611785427931169,810.5,0.0,0.0,0.0,0.0
1611785427935169,802.1,0.0,0.0,0.0,0.0
1611785427939169,802.8,0.0,0.0,0.0,0.0
1611785427943169,807.0,0.0,0.0,0.0,0.0
1611785427947169,804.0,0.0,0.0,0.0,0.0
1611785427951169,804.3,0.0,0.0,0.0,0.0
1611785427955169,804.6,0.0,0.0,0.0,0.0
1611785427959169,802.9,0.0,0.0,0.0,0.0
1611785427963169,803.4,0.0,0.0,0.0,0.0
1611785427967169,803.5,0.0,0.0,0.0,0.0
1611785427971169,803.2,0.0,0.0,0.0,0.0
1611785427975169,802.4,0.0,0.0,0.0,0.0
1611785427979169,803.2,0.0,0.0,0.0,0.0
1611785427983169,809.3,0.0,0.0,0.0,0.0
1611785427987169,810.0,0.0,0.0,0.0,0.0
1611785427991169,805.6,0.0,0.0,0.0,0.0
1611785427995169,804.8,0.0,0.0,0.0,0.0
1611785427999169,807.6,0.0,0.0,0.0,0.0
1611785428003169,807.7,0.0,0.0,0.0,0.0
1611785428007169,807.6,0.0,0.0,0.0,0.0
1611785428011169,807.8,0.0,0.0,0.0,0.0
1611785428015169,809.1,0.0,0.0,0.0,0.0
1611785428019169,803.1,0.0,0.0,0.0,0.0
1611785428023169,803.5,0.0,0.0,0.0,0.0
1611785428027169,803.6,0.0,0.0,0.0,0.0
1611785428031169,803.3,0.0,0.0,0.0,0.0
1611785428035169,803.4,0.0,0.0,0.0,0.0
1611785428039169,803.1,0.0,0.0,0.0,0.0
1611785428043169,802.8,0.0,0.0,0.0,0.0
1611785428047169,803.1,0.0,0.0,0.0,0.0
1611785428051169,802.5,0.0,0.0,0.0,0.0
1611785428055169,801.5,0.0,0.0,0.0,0.0
1611785428059169,805.9,0.0,0.0,0.0,0.0
1611785428063169,807.6,0.0,0.0,0.0,0.0
1611785428067169,803.6,0.0,0.0,0.0,0.0
1611785428071169,803.1,0.0,0.0,0.0,0.0
1611785428075169,805.3,0.0,0.0,0.0,0.0
1611785428079169,801.3,0.0,0.0,0.0,0.0
1611785428083169,802.1,0.0,0.0,0.0,0.0
1611785428087169,806.6,0.0,0.0,0.0,0.0
1611785428091169,803.9,0.0,0.0,0.0,0.0
1611785428095169,800.5,0.0,0.0,0.0,0.0
1611785428099169,799.8,0.0,0.0,0.0,0.0
1611785428103009,797.6,0.0,0.0,0.0,0.0
1611785428107009,799.2,0.0,0.0,0.0,0.0
1611785428111009,792.9,0.0,0.0,0.0,0.0
1611785428115009,800.0,0.0,0.0,0.0,0.0
1611785428119009,806.4,0.0,0.0,0.0,0.0
1611785428123009,800.2,0.0,0.0,0.0,0.0
1611785428127009,800.5,0.0,0.0,0.0,0.0
1611785428131009,800.8,0.0,0.0,0.0,0.0
1611785428135009,800.6,0.0,0.0,0.0,0.0
1611785428139009,802.7,0.0,0.0,0.0,0.0
1611785428143009,803.0,0.0,0.0,0.0,0.0
1611785428147009,799.0,0.0,0.0,0.0,0.0
1611785428151009,798.7,0.0,0.0,0.0,0.0
1611785428155009,796.0,0.0,0.0,0.0,0.0
1611785428159009,796.2,0.0,0.0,0.0,0.0
1611785428163009,797.1,0.0,0.0,0.0,0.0
1611785428167009,798.2,0.0,0.0,0.0,0.0
1611785428171009,798.9,0.0,0.0,0.0,0.0
1611785428175009,799.6,0.0,0.0,0.0,0.0
1611785428179009,799.6,0.0,0.0,0.0,0.0
1611785428183009,799.3,0.0,0.0,0.0,0.0
1611785428187009,798.7,0.0,0.0,0.0,0.0
1611785428191009,796.2,0.0,0.0,0.0,0.0
1611785428195009,796.1,0.0,0.0,0.0,0.0
1611785428199009,796.0,0.0,0.0,0.0,0.0
1611785428203009,797.5,0.0,0.0,0.0,0.0
1611785428207009,796.6,0.0,0.0,0.0,0.0
1611785428211009,797.4,0.0,0.0,0.0,0.0
1611785428215009,797.0,0.0,0.0,0.0,0.0
1611785428219009,795.6,0.0,0.0,0.0,0.0
