,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
1612037803847826,400.8,0.0,0.0,0.0,0.0
1612037803851826,401.6,0.0,0.0,0.0,0.0
1612037803855826,399.9,0.0,0.0,0.0,0.0
1612037803859826,400.8,0.0,0.0,0.0,0.0
1612037803863826,400.6,0.0,0.0,0.0,0.0
1612037803867826,400.8,0.0,0.0,0.0,0.0
1612037803871826,400.4,0.0,0.0,0.0,0.0
1612037803875826,400.6,0.0,0.0,0.0,0.0
1612037803879826,400.4,0.0,0.0,0.0,0.0
1612037803883826,400.6,0.0,0.0,0.0,0.0
1612037803887826,400.6,0.0,0.0,0.0,0.0
1612037803891826,400.4,0.0,0.0,0.0,0.0
1612037803895826,401.2,0.0,0.0,0.0,0.0
1612037803899826,400.4,0.0,0.0,0.0,0.0
1612037803903826,400.4,0.0,0.0,0.0,0.0
1612037803907826,400.6,0.0,0.0,0.0,0.0
1612037803911826,400.2,0.0,0.0,0.0,0.0
1612037803915826,400.6,0.0,0.0,0.0,0.0
1612037803919826,400.3,0.0,0.0,0.0,0.0
1612037803923826,400.5,0.0,0.0,0.0,0.0
1612037803927826,400.4,0.0,0.0,0.0,0.0
1612037803931826,400.5,0.0,0.0,0.0,0.0
1612037803935826,400.6,0.0,0.0,0.0,0.0
1612037803939826,400.7,0.0,0.0,0.0,0.0
1612037803943826,400.3,0.0,0.0,0.0,0.0
1612037803947826,400.5,0.0,0.0,0.0,0.0
1612037803951826,400.5,0.0,0.0,0.0,0.0
1612037803955826,400.8,0.0,0.0,0.0,0.0
1612037803959826,400.1,0.0,0.0,0.0,0.0
1612037803963826,399.9,0.0,0.0,0.0,0.0
1612037803967826,400.6,0.0,0.0,0.0,0.0
1612037803971826,400.9,0.0,0.0,0.0,0.0
1612037803975826,400.8,0.0,0.0,0.0,0.0
1612037803979826,400.7,0.0,0.0,0.0,0.0
1612037803983826,401.3,0.0,0.0,0.0,0.0
1612037803987826,400.2,0.0,0.0,0.0,0.0
1612037803991826,400.3,0.0,0.0,0.0,0.0
1612037803995826,400.5,0.0,0.0,0.0,0.0
1612037803999826,400.3,0.0,0.0,0.0,0.0
1612037804003826,400.9,0.0,0.0,0.0,0.0
1612037804007826,400.8,0.0,0.0,0.0,0.0
1612037804011826,401.0,0.0,0.0,0.0,0.0
1612037804015826,400.6,0.0,0.0,0.0,0.0
1612037804019826,400.9,0.0,0.0,0.0,0.0
1612037804023826,400.1,0.0,0.0,0.0,0.0
1612037804027826,401.2,0.0,0.0,0.0,0.0
1612037804031826,400.7,0.0,0.0,0.0,0.0
1612037804035826,401.4,0.0,0.0,0.0,0.0
1612037804039665,400.8,0.0,0.0,0.0,0.0
1612037804043665,400.6,0.0,0.0,0.0,0.0
1612037804047665,400.8,0.0,0.0,0.0,0.0
1612037804051665,400.6,0.0,0.0,0.0,0.0
1612037804055665,400.5,0.0,0.0,0.0,0.0
1612037804059665,400.9,0.0,0.0,0.0,0.0
1612037804063665,400.8,0.0,0.0,0.0,0.0
1612037804067665,400.4,0.0,0.0,0.0,0.0
1612037804071665,400.4,0.0,0.0,0.0,0.0
1612037804075665,400.4,0.0,0.0,0.0,0.0
1612037804079665,399.1,0.0,0.0,0.0,0.0
1612037804083665,400.5,0.0,0.0,0.0,0.0
1612037804087665,401.1,0.0,0.0,0.0,0.0
1612037804091665,400.7,0.0,0.0,0.0,0.0
1612037804095665,400.1,0.0,0.0,0.0,0.0
1612037804099665,400.1,0.0,0.0,0.0,0.0
1612037804103665,400.4,0.0,0.0,0.0,0.0
1612037804107665,400.4,0.0,0.0,0.0,0.0
1612037804111665,400.3,0.0,0.0,0.0,0.0
1612037804115665,400.6,0.0,0.0,0.0,0.0
1612037804119665,400.3,0.0,0.0,0.0,0.0
1612037804123665,405.0,0.0,0.0,0.0,0.0
1612037804127665,400.5,0.0,0.0,0.0,0.0
1612037804131665,400.2,0.0,0.0,0.0,0.0
1612037804135665,400.5,0.0,0.0,0.0,0.0
1612037804139665,399.8,0.0,0.0,0.0,0.0
1612037804143665,400.8,0.0,0.0,0.0,0.0
1612037804147665,400.4,0.0,0.0,0.0,0.0
1612037804151665,400.5,0.0,0.0,0.0,0.0
1612037804155665,401.0,0.0,0.0,0.0,0.0
1612037804159665,400.9,0.0,0.0,0.0,0.0
1612037804163665,401.0,0.0,0.0,0.0,0.0
1612037804167665,399.4,0.0,0.0,0.0,0.0
1612037804171665,400.4,0.0,0.0,0.0,0.0
1612037804175665,400.0,0.0,0.0,0.0,0.0
1612037804179665,400.5,0.0,0.0,0.0,0.0
1612037804183665,400.7,0.0,0.0,0.0,0.0
1612037804187665,400.7,0.0,0.0,0.0,0.0
1612037804191665,400.7,0.0,0.0,0.0,0.0
1612037804195665,400.6,0.0,0.0,0.0,0.0
1612037804199665,400.6,0.0,0.0,0.0,0.0
1612037804203665,400.4,0.0,0.0,0.0,0.0
1612037804207665,400.7,0.0,0.0,0.0,0.0
1612037804211665,399.0,0.0,0.0,0.0,0.0
1612037804215665,401.0,0.0,0.0,0.0,0.0
1612037804219665,401.4,0.0,0.0,0.0,0.0
1612037804223665,400.5,0.0,0.0,0.0,0.0
1612037804227665,401.0,0.0,0.0,0.0,0.0
1612037804231514,400.9,0.0,0.0,0.0,0.0
1612037804235514,400.9,0.0,0.0,0.0,0.0
1612037804239514,401.0,0.0,0.0,0.0,0.0
1612037804243514,400.7,0.0,0.0,0.0,0.0
1612037804247514,400.7,0.0,0.0,0.0,0.0
1612037804251514,400.9,0.0,0.0,0.0,0.0
1612037804255514,400.6,0.0,0.0,0.0,0.0
1612037804259514,401.2,0.0,0.0,0.0,0.0
1612037804263514,400.7,0.0,0.0,0.0,0.0
1612037804267514,400.4,0.0,0.0,0.0,0.0
1612037804271514,400.6,0.0,0.0,0.0,0.0
1612037804275514,400.7,0.0,0.0,0.0,0.0
1612037804279514,401.0,0.0,0.0,0.0,0.0
1612037804283514,401.0,0.0,0.0,0.0,0.0
1612037804287514,400.7,0.0,0.0,0.0,0.0
1612037804291514,400.8,0.0,0.0,0.0,0.0
1612037804295514,400.6,0.0,0.0,0.0,0.0
1612037804299514,400.4,0.0,0.0,0.0,0.0
1612037804303514,397.7,0.0,0.0,0.0,0.0
1612037804307514,400.5,0.0,0.0,0.0,0.0
1612037804311514,399.9,0.0,0.0,0.0,0.0
1612037804315514,400.6,0.0,0.0,0.0,0.0
1612037804319514,400.7,0.0,0.0,0.0,0.0
1612037804323514,400.6,0.0,0.0,0.0,0.0
1612037804327514,401.4,0.0,0.0,0.0,0.0
1612037804331514,401.0,0.0,0.0,0.0,0.0
1612037804335514,400.1,0.0,0.0,0.0,0.0
1612037804339514,401.1,0.0,0.0,0.0,0.0
1612037804343514,400.4,0.0,0.0,0.0,0.0
1612037804347514,402.9,0.0,0.0,0.0,0.0
1612037804351514,400.8,0.0,0.0,0.0,0.0
1612037804355514,401.2,0.0,0.0,0.0,0.0
1612037804359514,401.2,0.0,0.0,0.0,0.0
1612037804363514,401.2,0.0,0.0,0.0,0.0
1612037804367514,401.8,0.0,0.0,0.0,0.0
1612037804371514,401.8,0.0,0.0,0.0,0.0
1612037804375514,402.3,0.0,0.0,0.0,0.0
1612037804379514,402.3,0.0,0.0,0.0,0.0
1612037804383514,402.6,0.0,0.0,0.0,0.0
1612037804387514,402.3,0.0,0.0,0.0,0.0
1612037804391514,401.5,0.0,0.0,0.0,0.0
