,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
1612037746102606,401.8,0.0,0.0,0.0,0.0
1612037746106606,401.7,0.0,0.0,0.0,0.0
1612037746110606,401.6,0.0,0.0,0.0,0.0
1612037746114606,400.8,0.0,0.0,0.0,0.0
1612037746118606,402.0,0.0,0.0,0.0,0.0
1612037746122606,402.1,0.0,0.0,0.0,0.0
1612037746126606,401.9,0.0,0.0,0.0,0.0
1612037746130606,402.0,0.0,0.0,0.0,0.0
1612037746134606,402.0,0.0,0.0,0.0,0.0
1612037746138606,401.2,0.0,0.0,0.0,0.0
1612037746142606,401.8,0.0,0.0,0.0,0.0
1612037746146606,401.2,0.0,0.0,0.0,0.0
1612037746150606,401.5,0.0,0.0,0.0,0.0
1612037746154606,401.8,0.0,0.0,0.0,0.0
1612037746158606,401.7,0.0,0.0,0.0,0.0
1612037746162606,402.7,0.0,0.0,0.0,0.0
1612037746166606,401.8,0.0,0.0,0.0,0.0
1612037746170606,401.9,0.0,0.0,0.0,0.0
1612037746174606,401.5,0.0,0.0,0.0,0.0
1612037746178606,401.7,0.0,0.0,0.0,0.0
1612037746182606,401.8,0.0,0.0,0.0,0.0
1612037746186606,401.3,0.0,0.0,0.0,0.0
1612037746190606,401.7,0.0,0.0,0.0,0.0
1612037746194606,401.2,0.0,0.0,0.0,0.0
1612037746198606,401.2,0.0,0.0,0.0,0.0
1612037746202606,402.2,0.0,0.0,0.0,0.0
1612037746206606,402.2,0.0,0.0,0.0,0.0
1612037746210606,402.6,0.0,0.0,0.0,0.0
1612037746214606,401.4,0.0,0.0,0.0,0.0
1612037746218606,401.4,0.0,0.0,0.0,0.0
1612037746222606,401.5,0.0,0.0,0.0,0.0
1612037746226606,401.9,0.0,0.0,0.0,0.0
1612037746230606,402.4,0.0,0.0,0.0,0.0
1612037746234606,401.8,0.0,0.0,0.0,0.0
1612037746238606,401.6,0.0,0.0,0.0,0.0
1612037746242606,401.4,0.0,0.0,0.0,0.0
1612037746246606,402.2,0.0,0.0,0.0,0.0
1612037746250606,403.6,0.0,0.0,0.0,0.0
