PARTICIPANT	TRIAL	R^2	RMSE	MAE
P001	FLEX	0.9819525429627787	5.9013264921943325	4.90914132614944
P001	SQUAT	0.9494471204967662	9.040341960854866	7.408968570218605
P001	WALK1	0.9539858865717156	3.913255626813997	3.183689893119513
P001	WALK2	0.9094108188426079	4.898272827896442	4.017958572722746
P001	WALK3	0.9362803726458944	4.3938762904785635	3.718521604092562
P001	WALK4	0.9413225384281798	4.072928352029097	3.2753916370322065
P001	WALK5	0.9269759664301337	3.4219798706530127	2.6730783517699988
P001	WALK6	0.9487095916206014	3.2150637709169287	2.7549607837477246
P002	FLEX	0.9843726840649484	4.778162408910647	3.716889406425399
P002	SQUAT	0.9723346392099319	7.699984734857625	6.197863592922287
P002	WALK1	0.895234427538482	4.932222512325944	3.931242365814263
P002	WALK2	0.9069246832718985	5.624402582202338	4.357692321811748
P002	WALK3	0.8850911159274795	5.936373893579291	4.514805054737697
P002	WALK4	0.8771309167028527	5.989236787739334	4.533929385550864
P002	WALK5	0.8115832973768946	7.559757815022972	5.664757975490098
P002	WALK6	0.792515587216	8.236638745414428	5.9765038731864415
P003	FLEX	-	-	-
P003	SQUAT	0.9907289872082319	3.989973091225999	3.284742323601966
P003	WALK1	0.9479839774946397	3.8646640027899726	3.270968197863094
P003	WALK2	0.6453500056461045	10.362680369300815	7.116709457976593
P003	WALK3	0.888952338527686	5.953468119358949	5.173551848740833
P003	WALK4	0.8864900464974649	6.275371423116729	5.37668630159568
P003	WALK5	0.885942606911491	5.68343386853433	4.542190866785606
P003	WALK6	0.9171833591858322	5.499776739451399	4.31891667038518
P004	FLEX	0.9635771463174604	7.66422814556873	6.723649488034165
P004	SQUAT	0.9883027905061919	4.237173057572595	3.6175619374295294
P004	WALK1	0.8977429335774212	5.9550946093402946	4.5580913523261835
P004	WALK2	0.9332285728034645	4.619462918345043	3.8144810134806644
P004	WALK3	0.9550141614010903	3.9449829970011803	3.036941259834721
P004	WALK4	0.9205991248341064	5.089897233783853	4.217198932337486
P004	WALK5	0.8537361057206381	7.082520416411046	5.426366517651555
P004	WALK6	0.9363427785655767	4.555419556633811	3.6541523033374035
P005	FLEX	0.9921367475814847	4.184128371101676	3.4860424439808493
P005	SQUAT	0.9916826952625787	3.3385323961004256	2.7014503078641035
P005	WALK1	0.9624388774238398	3.7274886603078246	2.6000283123438157
P005	WALK2	0.9838575059007431	2.504588325495629	1.9801119302846264
P005	WALK3	0.868382688386227	7.085133320389848	4.646942011041272
P005	WALK4	0.969747173850419	3.130290245419574	2.455412447324045
P005	WALK5	0.9795600045629704	2.76536726155542	2.146230251080101
P005	WALK6	0.12113711528383353	16.991239350649714	10.600640239859429
P006	FLEX	0.8068918646061853	3.887347573191234	3.403498415562549
P006	SQUAT	0.9633417422585783	9.565470037405078	7.936890539452319
P006	WALK1	0.46729112638830395	8.59956719207681	7.33155372455556
P006	WALK2	0.49636115687010895	8.86020857727865	7.7073333710433465
P006	WALK3	0.4823935928439732	9.05880521789721	7.726107149841502
P006	WALK4	0.5126350572581999	9.22154858019752	7.655953515349314
P006	WALK5	0.07179964303651509	34.91279434797442	30.682029695399773
P006	WALK6	-	-	-
P007	FLEX	0.8126705356632382	5.375881218020491	4.427826536664553
